model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
audi-a1,2011,1.4TC I4 TFSI 122,90000,120000,105000,"AED 90,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2011/,2026-06-12T11:24:36Z
audi-a1,2011,1.4TSC I4 TFSI 185,130000,140000,135000,"AED 130,000 - 140,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2011/,2026-06-12T11:24:36Z
audi-a1,2012,1.4TC I4 TFSI 122,90000,120000,105000,"AED 90,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2012/,2026-06-12T11:24:38Z
audi-a1,2012,1.4TSC I4 TFSI 185,130000,140000,135000,"AED 130,000 - 140,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2012/,2026-06-12T11:24:38Z
audi-a1,2013,1.4TC I4 TFSI 122,90000,120000,105000,"AED 90,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2013/,2026-06-12T11:24:40Z
audi-a1,2013,1.4TSC I4 TFSI 185,130000,140000,135000,"AED 130,000 - 140,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2013/,2026-06-12T11:24:40Z
audi-a1,2014,1.4TC I4 TFSI 122,90000,120000,105000,"AED 90,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2014/,2026-06-12T11:24:42Z
audi-a1,2014,1.4TSC I4 TFSI 185,130000,140000,135000,"AED 130,000 - 140,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2014/,2026-06-12T11:24:42Z
audi-a1,2015,1.4TC I4 TFSI 122,90000,120000,105000,"AED 90,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2015/,2026-06-12T11:24:44Z
audi-a1,2015,1.4TSC I4 TFSI 185,130000,140000,135000,"AED 130,000 - 140,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2015/,2026-06-12T11:24:44Z
audi-a1,2016,1.4TC I4 TFSI 122,90000,120000,105000,"AED 90,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2016/,2026-06-12T11:24:46Z
audi-a1,2016,1.4TSC I4 TFSI 185,130000,140000,135000,"AED 130,000 - 140,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2016/,2026-06-12T11:24:46Z
audi-a3,2004,1.8 I4 1.8 FSI,86000,101000,93500,"AED 86,000 - 101,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2004/,2026-06-12T11:25:41Z
audi-a3,2004,2.0 I4 2.0 FSI,99000,121000,110000,"AED 99,000 - 121,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2004/,2026-06-12T11:25:41Z
audi-a3,2004,3.2 V6 3.2 VR6 Quattro,133000,138600,135800,"AED 133,000 - 138,600",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2004/,2026-06-12T11:25:41Z
audi-a3,2005,1.8 I4 1.8 FSI,86000,101000,93500,"AED 86,000 - 101,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2005/,2026-06-12T11:25:43Z
audi-a3,2005,2.0 I4 2.0 FSI,99000,121000,110000,"AED 99,000 - 121,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2005/,2026-06-12T11:25:43Z
audi-a3,2005,3.2 V6 3.2 VR6 Quattro,133000,138600,135800,"AED 133,000 - 138,600",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2005/,2026-06-12T11:25:43Z
audi-a3,2006,1.8 I4 1.8 FSI,86000,101000,93500,"AED 86,000 - 101,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2006/,2026-06-12T11:25:45Z
audi-a3,2006,2.0 I4 2.0 FSI,99000,121000,110000,"AED 99,000 - 121,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2006/,2026-06-12T11:25:45Z
audi-a3,2006,3.2 V6 3.2 VR6 Quattro,133000,138600,135800,"AED 133,000 - 138,600",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2006/,2026-06-12T11:25:45Z
audi-a3,2007,1.8 I4 1.8 FSI,86000,101000,93500,"AED 86,000 - 101,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2007/,2026-06-12T11:25:47Z
audi-a3,2007,2.0 I4 2.0 FSI,99000,121000,110000,"AED 99,000 - 121,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2007/,2026-06-12T11:25:47Z
audi-a3,2007,3.2 V6 3.2 VR6 Quattro,133000,138600,135800,"AED 133,000 - 138,600",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2007/,2026-06-12T11:25:47Z
audi-a3,2008,1.8 I4 1.8 FSI,86000,101000,93500,"AED 86,000 - 101,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2008/,2026-06-12T11:25:49Z
audi-a3,2008,2.0 I4 2.0 FSI,99000,121000,110000,"AED 99,000 - 121,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2008/,2026-06-12T11:25:49Z
audi-a3,2008,3.2 V6 3.2 VR6 Quattro,133000,138600,135800,"AED 133,000 - 138,600",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2008/,2026-06-12T11:25:49Z
audi-a3,2009,1.8TC I4 1.8 TFSI,108400,112000,110200,"AED 108,400 - 112,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2009/,2026-06-12T11:25:51Z
audi-a3,2009,2.0TC I4 2.0 TFSI,120000,125000,122500,"AED 120,000 - 125,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2009/,2026-06-12T11:25:51Z
audi-a3,2010,1.8TC I4 1.8 TFSI,108400,112000,110200,"AED 108,400 - 112,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2010/,2026-06-12T11:25:53Z
audi-a3,2010,2.0TC I4 2.0 TFSI,120000,125000,122500,"AED 120,000 - 125,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2010/,2026-06-12T11:25:53Z
audi-a3,2011,1.8TC I4 1.8 TFSI,108400,112000,110200,"AED 108,400 - 112,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2011/,2026-06-12T11:25:55Z
audi-a3,2011,2.0TC I4 2.0 TFSI,120000,125000,122500,"AED 120,000 - 125,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2011/,2026-06-12T11:25:55Z
audi-a3,2012,1.8TC I4 1.8 TFSI,108400,112000,110200,"AED 108,400 - 112,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2012/,2026-06-12T11:25:57Z
audi-a3,2012,2.0TC I4 2.0 TFSI,120000,125000,122500,"AED 120,000 - 125,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2012/,2026-06-12T11:25:57Z
audi-a3-sedan,2014,1.4TC I4 30 TFSI,92000,99500,95750,"AED 92,000 - 99,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2014/,2026-06-12T11:26:46Z
audi-a3-sedan,2014,1.8TC I4 40 TFSI,109500,132500,121000,"AED 109,500 - 132,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2014/,2026-06-12T11:26:46Z
audi-a3-sedan,2014,1.8TC I4 40 TFSI Quattro,119500,142500,131000,"AED 119,500 - 142,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2014/,2026-06-12T11:26:46Z
audi-a3-sedan,2015,1.4TC I4 30 TFSI,92000,99500,95750,"AED 92,000 - 99,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2015/,2026-06-12T11:26:48Z
audi-a3-sedan,2015,1.8TC I4 40 TFSI,109500,132500,121000,"AED 109,500 - 132,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2015/,2026-06-12T11:26:48Z
audi-a3-sedan,2015,1.8TC I4 40 TFSI Quattro,119500,142500,131000,"AED 119,500 - 142,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2015/,2026-06-12T11:26:48Z
audi-a3-sedan,2016,1.4TC I4 30 TFSI,92000,99500,95750,"AED 92,000 - 99,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2016/,2026-06-12T11:26:50Z
audi-a3-sedan,2016,1.8TC I4 40 TFSI,109500,132500,121000,"AED 109,500 - 132,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2016/,2026-06-12T11:26:50Z
audi-a3-sedan,2016,1.8TC I4 40 TFSI Quattro,119500,142500,131000,"AED 119,500 - 142,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2016/,2026-06-12T11:26:50Z
audi-a3-sedan,2017,1.4TC I4 30 TFSI,92000,99500,95750,"AED 92,000 - 99,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2017/,2026-06-12T11:26:52Z
audi-a3-sedan,2017,1.8TC I4 40 TFSI,109500,132500,121000,"AED 109,500 - 132,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2017/,2026-06-12T11:26:52Z
audi-a3-sedan,2017,1.8TC I4 40 TFSI Quattro,119500,142500,131000,"AED 119,500 - 142,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2017/,2026-06-12T11:26:52Z
audi-a3-sedan,2018,1.4TC I4 30 TFSI,92000,99500,95750,"AED 92,000 - 99,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2018/,2026-06-12T11:26:54Z
audi-a3-sedan,2018,1.8TC I4 40 TFSI,109500,132500,121000,"AED 109,500 - 132,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2018/,2026-06-12T11:26:54Z
audi-a3-sedan,2018,1.8TC I4 40 TFSI Quattro,119500,142500,131000,"AED 119,500 - 142,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2018/,2026-06-12T11:26:54Z
audi-a3-sedan,2019,1.4TC I4 30 TFSI,92000,99500,95750,"AED 92,000 - 99,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2019/,2026-06-12T11:26:56Z
audi-a3-sedan,2019,1.8TC I4 40 TFSI,109500,132500,121000,"AED 109,500 - 132,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2019/,2026-06-12T11:26:56Z
audi-a3-sedan,2019,1.8TC I4 40 TFSI Quattro,119500,142500,131000,"AED 119,500 - 142,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2019/,2026-06-12T11:26:56Z
audi-a3-sedan,2020,1.4TC I4 30 TFSI,92000,99500,95750,"AED 92,000 - 99,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2020/,2026-06-12T11:26:58Z
