model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
bmw-1-series,2024,2.0TC I4 FWD,204510,210000,207255,"AED 204,510 - 210,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-1-series/2024/,2026-06-16T10:07:35Z
bmw-1-series,2025,1.5TC I3 118i FWD,204510,210000,207255,"AED 204,510 - 210,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-1-series/2025/,2026-06-16T10:07:36Z
bmw-1-series,2026,1.5TC I3 118i FWD,204510,210000,207255,"AED 204,510 - 210,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-1-series/2026/,2026-06-16T10:07:38Z
bmw-2-series,2025,1.5TC I3 218i RWD,195000,220000,207500,"AED 195,000 - 220,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-2-series/2025/,2026-06-16T10:07:46Z
bmw-2-series,2025,2.0TC I4 230i RWD,220000,240000,230000,"AED 220,000 - 240,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-2-series/2025/,2026-06-16T10:07:46Z
bmw-2-series,2025,3.0TC I6 M240i 4WD,280000,300000,290000,"AED 280,000 - 300,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-2-series/2025/,2026-06-16T10:07:46Z
bmw-2-series,2026,1.5TC I3 218i RWD,195000,220000,207500,"AED 195,000 - 220,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-2-series/2026/,2026-06-16T10:07:48Z
bmw-2-series,2026,2.0TC I4 230i RWD,220000,240000,230000,"AED 220,000 - 240,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-2-series/2026/,2026-06-16T10:07:48Z
bmw-2-series,2026,3.0TC I6 M240i 4WD,280000,300000,290000,"AED 280,000 - 300,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-2-series/2026/,2026-06-16T10:07:48Z
bmw-2-series-convertible,2022,2.0TC I4 220i Convertible,195000,220000,207500,"AED 195,000 - 220,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-2-series-convertible/2022/,2026-06-16T10:07:57Z
bmw-2-series-convertible,2022,2.0TC I4 230i Convertible,220000,240000,230000,"AED 220,000 - 240,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-2-series-convertible/2022/,2026-06-16T10:07:57Z
bmw-2-series-convertible,2022,3.0TC I6 M240i Convertible,280000,300000,290000,"AED 280,000 - 300,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-2-series-convertible/2022/,2026-06-16T10:07:57Z
bmw-3-series,2022,2.0TC I4 320I M Sport,175000,185000,180000,"AED 175,000 - 185,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-3-series/2022/,2026-06-16T10:08:10Z
bmw-3-series,2023,2.0TC I4 320i M Sport RWD,175000,185000,180000,"AED 175,000 - 185,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-3-series/2023/,2026-06-16T10:08:12Z
bmw-3-series,2023,2.0TC I4 330i RWD,199000,235000,217000,"AED 199,000 - 235,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-3-series/2023/,2026-06-16T10:08:12Z
bmw-3-series,2024,2.0TC I4 320i M Sport RWD,175000,185000,180000,"AED 175,000 - 185,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-3-series/2024/,2026-06-16T10:08:14Z
bmw-3-series,2024,2.0TC I4 330i RWD,199000,235000,217000,"AED 199,000 - 235,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-3-series/2024/,2026-06-16T10:08:14Z
bmw-3-series,2025,2.0TC I4 320i M Sport RWD,175000,185000,180000,"AED 175,000 - 185,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-3-series/2025/,2026-06-16T10:08:16Z
bmw-3-series,2025,2.0TC I4 330i RWD,199000,235000,217000,"AED 199,000 - 235,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-3-series/2025/,2026-06-16T10:08:16Z
bmw-3-series,2026,2.0TC I4 320i M Sport RWD,175000,185000,180000,"AED 175,000 - 185,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-3-series/2026/,2026-06-16T10:08:17Z
bmw-3-series,2026,2.0TC I4 330i RWD,199000,235000,217000,"AED 199,000 - 235,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-3-series/2026/,2026-06-16T10:08:17Z
bmw-4-series,2022,3.0TC I6 M 440i,250000,275000,262500,"AED 250,000 - 275,000",AED,https://www.drivearabia.com/carprices/uae/bmw/bmw-4-series/2022/,2026-06-16T10:08:31Z
