model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
changan-alsvin,2022,1.5 I4 Standard,32900,35000,33950,"AED 32,900 - 35,000",AED,https://www.drivearabia.com/carprices/uae/changan/changan-alsvin/2022/,2026-06-16T10:33:50Z
changan-alsvin,2022,1.5 I4 Full option,36900,40000,38450,"AED 36,900 - 40,000",AED,https://www.drivearabia.com/carprices/uae/changan/changan-alsvin/2022/,2026-06-16T10:33:50Z
changan-alsvin,2023,1.5 I4 Standard FWD,32900,35000,33950,"AED 32,900 - 35,000",AED,https://www.drivearabia.com/carprices/uae/changan/changan-alsvin/2023/,2026-06-16T10:33:52Z
changan-alsvin,2023,1.5 I4 Full Option FWD,36900,40000,38450,"AED 36,900 - 40,000",AED,https://www.drivearabia.com/carprices/uae/changan/changan-alsvin/2023/,2026-06-16T10:33:52Z
changan-alsvin,2024,1.5 I4 Advance FWD,42900,43900,43400,"AED 42,900 - 43,900",AED,https://www.drivearabia.com/carprices/uae/changan/changan-alsvin/2024/,2026-06-16T10:33:54Z
changan-alsvin,2025,1.5 I4 Advance FWD,42900,43900,43400,"AED 42,900 - 43,900",AED,https://www.drivearabia.com/carprices/uae/changan/changan-alsvin/2025/,2026-06-16T10:33:56Z
changan-alsvin,2026,1.5 I4 Advance FWD,42900,43900,43400,"AED 42,900 - 43,900",AED,https://www.drivearabia.com/carprices/uae/changan/changan-alsvin/2026/,2026-06-16T10:33:58Z
changan-cs35-plus,2022,1.4TC I4 Trend,53600,54000,53800,"AED 53,600 - 54,000",AED,https://www.drivearabia.com/carprices/uae/changan/changan-cs35-plus/2022/,2026-06-16T10:34:06Z
changan-cs35-plus,2022,1.4TC I4 Smart,57600,58000,57800,"AED 57,600 - 58,000",AED,https://www.drivearabia.com/carprices/uae/changan/changan-cs35-plus/2022/,2026-06-16T10:34:06Z
changan-cs35-plus,2022,1.4TC I4 Limited,70000,73000,71500,"AED 70,000 - 73,000",AED,https://www.drivearabia.com/carprices/uae/changan/changan-cs35-plus/2022/,2026-06-16T10:34:06Z
changan-cs35-plus,2023,1.4TC I4 Trend,53600,54000,53800,"AED 53,600 - 54,000",AED,https://www.drivearabia.com/carprices/uae/changan/changan-cs35-plus/2023/,2026-06-16T10:34:08Z
changan-cs35-plus,2023,1.4TC I4 Smart,57600,58000,57800,"AED 57,600 - 58,000",AED,https://www.drivearabia.com/carprices/uae/changan/changan-cs35-plus/2023/,2026-06-16T10:34:08Z
changan-cs35-plus,2023,1.4TC I4 Limited,70000,73000,71500,"AED 70,000 - 73,000",AED,https://www.drivearabia.com/carprices/uae/changan/changan-cs35-plus/2023/,2026-06-16T10:34:08Z
changan-cs35-plus,2024,1.4TC I4 Trend FWD,61900,62900,62400,"AED 61,900 - 62,900",AED,https://www.drivearabia.com/carprices/uae/changan/changan-cs35-plus/2024/,2026-06-16T10:34:10Z
changan-cs35-plus,2024,1.4TC I4 Limited FWD,74000,75000,74500,"AED 74,000 - 75,000",AED,https://www.drivearabia.com/carprices/uae/changan/changan-cs35-plus/2024/,2026-06-16T10:34:10Z
changan-cs35-plus,2025,1.4TC I4 Trend FWD,63000,64000,63500,"AED 63,000 - 64,000",AED,https://www.drivearabia.com/carprices/uae/changan/changan-cs35-plus/2025/,2026-06-16T10:34:12Z
changan-cs35-plus,2025,1.4TC I4 Limited FWD,73500,75000,74250,"AED 73,500 - 75,000",AED,https://www.drivearabia.com/carprices/uae/changan/changan-cs35-plus/2025/,2026-06-16T10:34:12Z
changan-cs35-plus,2026,1.4TC I4 Trend FWD,63000,64000,63500,"AED 63,000 - 64,000",AED,https://www.drivearabia.com/carprices/uae/changan/changan-cs35-plus/2026/,2026-06-16T10:34:14Z
changan-cs35-plus,2026,1.4TC I4 Limited FWD,73500,75000,74250,"AED 73,500 - 75,000",AED,https://www.drivearabia.com/carprices/uae/changan/changan-cs35-plus/2026/,2026-06-16T10:34:14Z
changan-cs75-plus,2022,2.0TC I4 CS75 Plus Sport,128000,131250,129625,"AED 128,000 - 131,250",AED,https://www.drivearabia.com/carprices/uae/changan/changan-cs75-plus/2022/,2026-06-16T10:34:21Z
changan-cs75-plus,2023,2.0TC I4 CS75 Plus Sport,128000,131250,129625,"AED 128,000 - 131,250",AED,https://www.drivearabia.com/carprices/uae/changan/changan-cs75-plus/2023/,2026-06-16T10:34:23Z
