model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
toyota-avalon,2022,Unknown,,,144900,"Original Starting PriceAED 144,900",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-12T05:45:00Z
toyota-avalon,2022,Unknown,,,144900,"Original Starting PriceAED 144,900",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-12T05:45:00Z
toyota-avalon,2022,Unknown,,,144900,"AED 144,900",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-12T05:45:00Z
toyota-avalon,2022,Original Trim Prices,144900,164900,154900,"Avalon SE PlusAED 144,900 - 145,000Avalon LimitedAED 164,900 - 165,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-12T05:45:00Z
toyota-avalon,2022,Original Trim Prices,144900,164900,154900,"Avalon SE PlusAED 144,900 - 145,000Avalon LimitedAED 164,900 - 165,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-12T05:45:00Z
toyota-avalon,2022,Unknown,144900,145000,144950,"Avalon SE PlusAED 144,900 - 145,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-12T05:45:00Z
toyota-avalon,2022,Avalon SE Plus,144900,145000,144950,"AED 144,900 - 145,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-12T05:45:00Z
toyota-avalon,2022,"Avalon SE PlusAED 144,900 - 145,000",164900,165000,164950,"Avalon LimitedAED 164,900 - 165,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-12T05:45:00Z
toyota-avalon,2022,Avalon Limited,164900,165000,164950,"AED 164,900 - 165,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-12T05:45:00Z
toyota-avalon,2022,Unknown,2019,142000,72010,"2019 Chevrolet ImpalaAED 109,600 - 142,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-12T05:45:00Z
toyota-avalon,2022,Unknown,2019,142000,72010,"2019 Chevrolet ImpalaAED 109,600 - 142,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-12T05:45:00Z
toyota-avalon,2022,Unknown,109600,142000,125800,"AED 109,600 - 142,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-12T05:45:00Z
toyota-avalon,2022,Unknown,2022,191000,96511,"2022 Dodge ChargerAED 109,900 - 191,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-12T05:45:00Z
toyota-avalon,2022,Unknown,2022,191000,96511,"2022 Dodge ChargerAED 109,900 - 191,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-12T05:45:00Z
toyota-avalon,2022,Unknown,109900,191000,150450,"AED 109,900 - 191,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-12T05:45:00Z
