model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
toyota-avalon,2022,SE Plus,144900,145000,144950,"AED 144,900 - 145,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-12T07:46:16Z
toyota-avalon,2022,Limited,164900,165000,164950,"AED 164,900 - 165,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-12T07:46:16Z
toyota-c-hr,2022,1.8L GX Hybrid,86900,87000,86950,"AED 86,900 - 87,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-c-hr/2022/,2026-06-12T07:46:20Z
toyota-c-hr,2022,1.8L VX Hybrid,93900,94000,93950,"AED 93,900 - 94,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-c-hr/2022/,2026-06-12T07:46:20Z
toyota-c-hr,2023,1.8L GX,92900,93000,92950,"AED 92,900 - 93,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-c-hr/2023/,2026-06-12T07:46:20Z
toyota-c-hr,2023,1.8L VX,99900,100000,99950,"AED 99,900 - 100,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-c-hr/2023/,2026-06-12T07:46:20Z
toyota-camry,2022,2.5 S,98900,99000,98950,"AED 98,900 - 99,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2022/,2026-06-12T07:46:22Z
toyota-camry,2022,2.5 SE,106900,107000,106950,"AED 106,900 - 107,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2022/,2026-06-12T07:46:22Z
toyota-camry,2022,3.5 SE,126900,127000,126950,"AED 126,900 - 127,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2022/,2026-06-12T07:46:22Z
toyota-camry,2022,3.5 Sport,132900,133000,132950,"AED 132,900 - 133,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2022/,2026-06-12T07:46:22Z
toyota-camry,2022,Hybrid,137900,138000,137950,"AED 137,900 - 138,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2022/,2026-06-12T07:46:22Z
toyota-camry,2023,2.5 S,98900,99000,98950,"AED 98,900 - 99,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2023/,2026-06-12T07:46:22Z
toyota-camry,2023,2.5 SE,107900,108000,107950,"AED 107,900 - 108,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2023/,2026-06-12T07:46:22Z
toyota-camry,2023,3.5 SE,126900,127000,126950,"AED 126,900 - 127,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2023/,2026-06-12T07:46:22Z
toyota-camry,2023,3.5 Sport,132900,133000,132950,"AED 132,900 - 133,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2023/,2026-06-12T07:46:22Z
toyota-camry,2023,Hybrid,139900,140000,139950,"AED 139,900 - 140,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2023/,2026-06-12T07:46:22Z
toyota-camry,2024,2.5L I4 SE FWD,111900,112000,111950,"AED 111,900 - 112,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2024/,2026-06-12T07:46:23Z
toyota-camry,2024,3.5L V6 40th Anniversary FWD,133900,134000,133950,"AED 133,900 - 134,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2024/,2026-06-12T07:46:23Z
toyota-camry,2024,3.5L V6 Sport FWD,130000,138900,134450,"AED 138,900 - 130,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2024/,2026-06-12T07:46:23Z
toyota-camry,2024,2.5H I4 Limited FWD,142900,143000,142950,"AED 142,900 - 143,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2024/,2026-06-12T07:46:23Z
toyota-camry,2025,2.5L I4 E FWD,109900,110000,109950,"AED 109,900 - 110,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2025/,2026-06-12T07:46:23Z
toyota-camry,2025,2.5L I4 XLE FWD,119900,120000,119950,"AED 119,900 - 120,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2025/,2026-06-12T07:46:23Z
toyota-camry,2025,2.5H I4 XLE FWD,123900,124000,123950,"AED 123,900 - 124,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2025/,2026-06-12T07:46:23Z
toyota-camry,2025,2.5L I4 GLE FWD,136900,137000,136950,"AED 136,900 - 137,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2025/,2026-06-12T07:46:23Z
toyota-camry,2025,2.5H I4 GLE FWD,139900,140000,139950,"AED 139,900 - 140,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2025/,2026-06-12T07:46:23Z
toyota-camry,2026,XLE,122900,124000,123450,"AED 122,900 - 124,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2026/,2026-06-12T07:46:24Z
toyota-camry,2026,XLE Hybrid,125900,127000,126450,"AED 125,900 - 127,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2026/,2026-06-12T07:46:24Z
toyota-camry,2026,GLE,139900,140000,139950,"AED 139,900 - 140,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2026/,2026-06-12T07:46:24Z
toyota-camry,2026,Sport,141900,142000,141950,"AED 141,900 - 142,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2026/,2026-06-12T07:46:24Z
toyota-camry,2026,GLE Hybrid,141900,143000,142450,"AED 141,900 - 143,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2026/,2026-06-12T07:46:24Z
toyota-camry,2026,Sport Hybrid,143900,144000,143950,"AED 143,900 - 144,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2026/,2026-06-12T07:46:24Z
toyota-camry,2026,Limited Hybrid,151900,152000,151950,"AED 151,900 - 152,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-camry/2026/,2026-06-12T07:46:24Z
