model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
ford-bronco,2021,2.3T Big Bend,193095,193100,193098,"AED 193,095 - 193,100",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2021/,2026-06-15T08:10:34Z
ford-bronco,2021,2.7T Outer Banks,256095,256100,256098,"AED 256,095 - 256,100",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2021/,2026-06-15T08:10:34Z
ford-bronco,2021,2.7T WildTrak,273945,274000,273972,"AED 273,945 - 274,000",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2021/,2026-06-15T08:10:34Z
ford-bronco,2021,2.7T Badlands,283395,284000,283698,"AED 283,395 - 284,000",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2021/,2026-06-15T08:10:34Z
ford-bronco,2022,2.3T Big Bend,193095,193100,193098,"AED 193,095 - 193,100",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2022/,2026-06-15T08:10:36Z
ford-bronco,2022,2.7T Outer Banks,256095,256100,256098,"AED 256,095 - 256,100",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2022/,2026-06-15T08:10:36Z
ford-bronco,2022,2.7T WildTrak,273945,274000,273972,"AED 273,945 - 274,000",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2022/,2026-06-15T08:10:36Z
ford-bronco,2022,2.7T Badlands,283395,284000,283698,"AED 283,395 - 284,000",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2022/,2026-06-15T08:10:36Z
ford-bronco,2023,2.3T Big Bend,193095,193100,193098,"AED 193,095 - 193,100",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2023/,2026-06-15T08:10:38Z
ford-bronco,2023,2.7T Outer Banks,256095,256100,256098,"AED 256,095 - 256,100",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2023/,2026-06-15T08:10:38Z
ford-bronco,2023,2.7T WildTrak,273945,274000,273972,"AED 273,945 - 274,000",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2023/,2026-06-15T08:10:38Z
ford-bronco,2023,2.7T Badlands,283395,284000,283698,"AED 283,395 - 284,000",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2023/,2026-06-15T08:10:38Z
ford-bronco,2024,2.3T Big Bend,193095,193100,193098,"AED 193,095 - 193,100",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2024/,2026-06-15T08:10:40Z
ford-bronco,2024,2.7T Outer Banks,256095,256100,256098,"AED 256,095 - 256,100",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2024/,2026-06-15T08:10:40Z
ford-bronco,2024,2.7T WildTrak,273945,274000,273972,"AED 273,945 - 274,000",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2024/,2026-06-15T08:10:40Z
ford-bronco,2024,2.7T Badlands,283395,284000,283698,"AED 283,395 - 284,000",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2024/,2026-06-15T08:10:40Z
ford-bronco,2025,2.3TC Big Bend 4WD,193095,193100,193098,"AED 193,095 - 193,100",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2025/,2026-06-15T08:10:41Z
