model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
geely-cityray,2026,1.5TC I4 GC FWD,86500,87000,86750,"AED 86,500 - 87,000",AED,https://www.drivearabia.com/carprices/uae/geely/geely-cityray/2026/,2026-06-16T11:12:49Z
geely-cityray,2026,1.5TC I4 GK FWD,91500,92000,91750,"AED 91,500 - 92,000",AED,https://www.drivearabia.com/carprices/uae/geely/geely-cityray/2026/,2026-06-16T11:12:49Z
geely-cityray,2026,1.5TC I4 GF+ FWD,97900,98000,97950,"AED 97,900 - 98,000",AED,https://www.drivearabia.com/carprices/uae/geely/geely-cityray/2026/,2026-06-16T11:12:49Z
geely-coolray,2023,GL,67500,68000,67750,"AED 67,500 - 68,000",AED,https://www.drivearabia.com/carprices/uae/geely/geely-coolray/2023/,2026-06-16T11:12:58Z
geely-coolray,2023,GK,73000,74000,73500,"AED 73,000 - 74,000",AED,https://www.drivearabia.com/carprices/uae/geely/geely-coolray/2023/,2026-06-16T11:12:58Z
geely-coolray,2023,GF,79235,82000,80618,"AED 79,235 - 82,000",AED,https://www.drivearabia.com/carprices/uae/geely/geely-coolray/2023/,2026-06-16T11:12:58Z
geely-coolray,2024,1.5TC I4 GL FWD,74500,75500,75000,"AED 74,500 - 75,500",AED,https://www.drivearabia.com/carprices/uae/geely/geely-coolray/2024/,2026-06-16T11:13:00Z
geely-coolray,2024,1.5TC I4 GK FWD,80500,81500,81000,"AED 80,500 - 81,500",AED,https://www.drivearabia.com/carprices/uae/geely/geely-coolray/2024/,2026-06-16T11:13:00Z
geely-coolray,2024,1.5TC I4 GF FWD,86900,87900,87400,"AED 86,900 - 87,900",AED,https://www.drivearabia.com/carprices/uae/geely/geely-coolray/2024/,2026-06-16T11:13:00Z
geely-coolray,2024,1.5TC I4 GF+ FWD,88900,89900,89400,"AED 88,900 - 89,900",AED,https://www.drivearabia.com/carprices/uae/geely/geely-coolray/2024/,2026-06-16T11:13:00Z
geely-coolray,2025,1.5TC I4 GL FWD,74500,75500,75000,"AED 74,500 - 75,500",AED,https://www.drivearabia.com/carprices/uae/geely/geely-coolray/2025/,2026-06-16T11:13:02Z
geely-coolray,2025,1.5TC I4 GK FWD,80500,81500,81000,"AED 80,500 - 81,500",AED,https://www.drivearabia.com/carprices/uae/geely/geely-coolray/2025/,2026-06-16T11:13:02Z
geely-coolray,2025,1.5TC I4 GF FWD,86900,87900,87400,"AED 86,900 - 87,900",AED,https://www.drivearabia.com/carprices/uae/geely/geely-coolray/2025/,2026-06-16T11:13:02Z
geely-coolray,2025,1.5TC I4 GF+ FWD,88900,89900,89400,"AED 88,900 - 89,900",AED,https://www.drivearabia.com/carprices/uae/geely/geely-coolray/2025/,2026-06-16T11:13:02Z
geely-coolray,2026,1.5TC I4 GL FWD,74500,75500,75000,"AED 74,500 - 75,500",AED,https://www.drivearabia.com/carprices/uae/geely/geely-coolray/2026/,2026-06-16T11:13:04Z
