model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
honda-accord,2011,2.4L sedan,89000,119900,104450,"AED 89,000 - 119,900",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2011/,2026-06-15T09:20:39Z
honda-accord,2011,3.5L sedan,120000,138000,129000,"AED 120,000 - 138,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2011/,2026-06-15T09:20:39Z
honda-accord,2012,2.4L sedan,89000,119900,104450,"AED 89,000 - 119,900",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2012/,2026-06-15T09:20:41Z
honda-accord,2012,3.5L sedan,120000,138000,129000,"AED 120,000 - 138,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2012/,2026-06-15T09:20:41Z
honda-accord,2013,2.4 DX/LX,85500,92500,89000,"AED 85,500 - 92,500",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2013/,2026-06-15T09:20:43Z
honda-accord,2013,2.4 EX,103500,113500,108500,"AED 103,500 - 113,500",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2013/,2026-06-15T09:20:43Z
honda-accord,2013,3.5 EX/Sport,126500,133500,130000,"AED 126,500 - 133,500",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2013/,2026-06-15T09:20:43Z
honda-accord,2014,2.4 DX/LX,85500,92500,89000,"AED 85,500 - 92,500",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2014/,2026-06-15T09:20:44Z
honda-accord,2014,2.4 EX,103500,113500,108500,"AED 103,500 - 113,500",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2014/,2026-06-15T09:20:44Z
honda-accord,2014,3.5 EX/Sport,126500,133500,130000,"AED 126,500 - 133,500",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2014/,2026-06-15T09:20:44Z
honda-accord,2015,2.4 LX,91000,96000,93500,"AED 91,000 - 96,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2015/,2026-06-15T09:20:46Z
honda-accord,2015,2.4 EX,104000,116000,110000,"AED 104,000 - 116,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2015/,2026-06-15T09:20:46Z
honda-accord,2015,3.5 EX/Sport,126000,129000,127500,"AED 126,000 - 129,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2015/,2026-06-15T09:20:46Z
honda-accord,2016,2.4 LX,91000,96000,93500,"AED 91,000 - 96,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2016/,2026-06-15T09:20:48Z
honda-accord,2016,2.4 EX,104000,116000,110000,"AED 104,000 - 116,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2016/,2026-06-15T09:20:48Z
honda-accord,2016,3.5 EX/Sport,126000,129000,127500,"AED 126,000 - 129,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2016/,2026-06-15T09:20:48Z
honda-accord,2017,2.4 DX,80000,85000,82500,"AED 80,000 - 85,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2017/,2026-06-15T09:20:50Z
honda-accord,2017,2.4 LX,91000,96000,93500,"AED 91,000 - 96,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2017/,2026-06-15T09:20:50Z
honda-accord,2017,2.4 EX,104000,116000,110000,"AED 104,000 - 116,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2017/,2026-06-15T09:20:50Z
honda-accord,2017,3.5 EX/Sport,126000,129000,127500,"AED 126,000 - 129,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2017/,2026-06-15T09:20:50Z
honda-accord,2018,1.5T LX,94900,95000,94950,"AED 94,900 - 95,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2018/,2026-06-15T09:20:52Z
honda-accord,2018,1.5T LX Sport,104900,105000,104950,"AED 104,900 - 105,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2018/,2026-06-15T09:20:52Z
honda-accord,2018,1.5T EX,119900,120000,119950,"AED 119,900 - 120,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2018/,2026-06-15T09:20:52Z
honda-accord,2018,2.0T Sport,141900,142000,141950,"AED 141,900 - 142,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2018/,2026-06-15T09:20:52Z
honda-accord,2019,1.5T LX,94900,95000,94950,"AED 94,900 - 95,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2019/,2026-06-15T09:20:54Z
honda-accord,2019,1.5T LX Sport,104900,105000,104950,"AED 104,900 - 105,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2019/,2026-06-15T09:20:54Z
honda-accord,2019,1.5T EX,119900,120000,119950,"AED 119,900 - 120,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2019/,2026-06-15T09:20:54Z
honda-accord,2019,2.0T Sport,129900,142000,135950,"AED 129,900 - 142,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2019/,2026-06-15T09:20:54Z
honda-accord,2020,1.5T LX,92900,95000,93950,"AED 92,900 - 95,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2020/,2026-06-15T09:20:56Z
honda-accord,2020,1.5T LX Sport,104900,105000,104950,"AED 104,900 - 105,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2020/,2026-06-15T09:20:56Z
honda-accord,2020,1.5T EX,115000,116000,115500,"AED 115,000 - 116,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2020/,2026-06-15T09:20:56Z
honda-accord,2020,1.5T EXL,120000,121000,120500,"AED 120,000 - 121,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2020/,2026-06-15T09:20:56Z
honda-accord,2020,2.0T Sport,141900,142000,141950,"AED 141,900 - 142,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2020/,2026-06-15T09:20:56Z
honda-accord,2021,1.5T LX,94900,95000,94950,"AED 94,900 - 95,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2021/,2026-06-15T09:20:57Z
honda-accord,2021,1.5T LX Sport,104900,105000,104950,"AED 104,900 - 105,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2021/,2026-06-15T09:20:57Z
honda-accord,2021,1.5T EX,115000,116000,115500,"AED 115,000 - 116,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2021/,2026-06-15T09:20:57Z
honda-accord,2021,1.5T EXL,120000,121000,120500,"AED 120,000 - 121,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2021/,2026-06-15T09:20:57Z
honda-accord,2021,2.0T Sport,141900,142000,141950,"AED 141,900 - 142,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2021/,2026-06-15T09:20:57Z
honda-accord,2022,1.5T LX,102900,103000,102950,"AED 102,900 - 103,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2022/,2026-06-15T09:20:59Z
honda-accord,2022,1.5T LX Sport,109900,110000,109950,"AED 109,900 - 110,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2022/,2026-06-15T09:20:59Z
honda-accord,2022,1.5T EX,119900,120000,119950,"AED 119,900 - 120,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2022/,2026-06-15T09:20:59Z
honda-accord,2022,1.5T EX-L,124900,125000,124950,"AED 124,900 - 125,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2022/,2026-06-15T09:20:59Z
honda-accord,2022,2.0T Sport,154900,155000,154950,"AED 154,900 - 155,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2022/,2026-06-15T09:20:59Z
honda-accord,2023,1.5TC I4 LX,124900,125000,124950,"AED 124,900 - 125,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2023/,2026-06-15T09:21:01Z
honda-accord,2023,1.5TC I4 EX,134900,135000,134950,"AED 134,900 - 135,000",AED,https://www.drivearabia.com/carprices/uae/honda/honda-accord/2023/,2026-06-15T09:21:01Z
