model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
hyundai-accent,2019,1.4L 11-GL,50800,51000,50900,"AED 50,800 - 51,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2019/,2026-06-12T10:40:06Z
hyundai-accent,2019,1.6L 13-GL,52300,53000,52650,"AED 52,300 - 53,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2019/,2026-06-12T10:40:06Z
hyundai-accent,2019,1.6L 16A-GL,59900,60000,59950,"AED 59,900 - 60,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2019/,2026-06-12T10:40:06Z
hyundai-accent,2020,1.4L 11-GL,50800,51000,50900,"AED 50,800 - 51,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2020/,2026-06-12T10:40:07Z
hyundai-accent,2020,1.6L 13-GL,52300,53000,52650,"AED 52,300 - 53,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2020/,2026-06-12T10:40:07Z
hyundai-accent,2020,1.6L Comfort,59900,60000,59950,"AED 59,900 - 60,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2020/,2026-06-12T10:40:07Z
hyundai-accent,2021,1.4L Smart,62000,63000,62500,"AED 62,000 - 63,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2021/,2026-06-12T10:40:10Z
hyundai-accent,2021,1.6L Smart,65000,66000,65500,"AED 65,000 - 66,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2021/,2026-06-12T10:40:10Z
hyundai-accent,2021,1.4L Smart Plus,70000,71000,70500,"AED 70,000 - 71,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2021/,2026-06-12T10:40:10Z
hyundai-accent,2021,1.6L Comfort,73000,74000,73500,"AED 73,000 - 74,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2021/,2026-06-12T10:40:10Z
hyundai-accent,2022,1.4L Smart,62000,63000,62500,"AED 62,000 - 63,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2022/,2026-06-12T10:40:12Z
hyundai-accent,2022,1.6L Smart,65000,66000,65500,"AED 65,000 - 66,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2022/,2026-06-12T10:40:12Z
hyundai-accent,2022,1.4L Smart Plus,70000,71000,70500,"AED 70,000 - 71,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2022/,2026-06-12T10:40:12Z
hyundai-accent,2022,1.6L Comfort,73000,74000,73500,"AED 73,000 - 74,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2022/,2026-06-12T10:40:12Z
hyundai-accent,2023,1.4L Smart,62000,63000,62500,"AED 62,000 - 63,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2023/,2026-06-12T10:40:14Z
hyundai-accent,2023,1.6L Smart,65000,66000,65500,"AED 65,000 - 66,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2023/,2026-06-12T10:40:14Z
hyundai-accent,2023,1.4L Smart Plus,70000,71000,70500,"AED 70,000 - 71,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2023/,2026-06-12T10:40:14Z
hyundai-accent,2023,1.6L Comfort,73000,74000,73500,"AED 73,000 - 74,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2023/,2026-06-12T10:40:14Z
hyundai-accent,2024,1.5 I4 Smart FWD,63000,64000,63500,"AED 63,000 - 64,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2024/,2026-06-12T10:40:16Z
hyundai-accent,2024,1.5 I4 Comfort FWD,73000,75000,74000,"AED 73,000 - 75,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2024/,2026-06-12T10:40:16Z
hyundai-accent,2024,1.5 I4 Premium FWD,92000,93000,92500,"AED 92,000 - 93,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2024/,2026-06-12T10:40:16Z
hyundai-accent,2025,1.5 I4 Comfort FWD,73999,74999,74499,"AED 73,999 - 74,999",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2025/,2026-06-12T10:40:18Z
hyundai-accent,2025,1.5 I4 Smart FWD,82000,83000,82500,"AED 82,000 - 83,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2025/,2026-06-12T10:40:18Z
hyundai-accent,2026,1.5 I4 Comfort FWD,73999,74999,74499,"AED 73,999 - 74,999",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2026/,2026-06-12T10:40:20Z
hyundai-accent,2026,1.5 I4 Smart FWD,82000,83000,82500,"AED 82,000 - 83,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-accent/2026/,2026-06-12T10:40:20Z
hyundai-azera,2020,3.5L base,119400,120000,119700,"AED 119,400 - 120,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-azera/2020/,2026-06-12T10:41:49Z
hyundai-azera,2020,3.5L mid options,136290,137000,136645,"AED 136,290 - 137,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-azera/2020/,2026-06-12T10:41:49Z
hyundai-azera,2020,3.5 full options,149940,150000,149970,"AED 149,940 - 150,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-azera/2020/,2026-06-12T10:41:49Z
hyundai-azera,2021,3.5L base,119400,120000,119700,"AED 119,400 - 120,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-azera/2021/,2026-06-12T10:41:51Z
hyundai-azera,2021,3.5L mid options,136290,137000,136645,"AED 136,290 - 137,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-azera/2021/,2026-06-12T10:41:51Z
hyundai-azera,2021,3.5 full options,149940,150000,149970,"AED 149,940 - 150,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-azera/2021/,2026-06-12T10:41:51Z
hyundai-azera,2022,3.5L base,119400,120000,119700,"AED 119,400 - 120,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-azera/2022/,2026-06-12T10:41:54Z
hyundai-azera,2022,3.5L mid options,136290,137000,136645,"AED 136,290 - 137,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-azera/2022/,2026-06-12T10:41:54Z
hyundai-azera,2022,3.5 full options,149940,150000,149970,"AED 149,940 - 150,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-azera/2022/,2026-06-12T10:41:54Z
hyundai-azera,2023,3.5L V6 Base FWD,180000,190000,185000,"AED 180,000 - 190,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-azera/2023/,2026-06-12T10:41:56Z
hyundai-azera,2023,3.5L V6 Calligraphy FWD,190000,200000,195000,"AED 190,000 - 200,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-azera/2023/,2026-06-12T10:41:56Z
hyundai-azera,2024,3.5L V6 Base FWD,180000,190000,185000,"AED 180,000 - 190,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-azera/2024/,2026-06-12T10:41:57Z
hyundai-azera,2024,3.5L V6 Calligraphy FWD,190000,200000,195000,"AED 190,000 - 200,000",AED,https://www.drivearabia.com/carprices/uae/hyundai/hyundai-azera/2024/,2026-06-12T10:41:57Z
