model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
kia-carens,2024,I.5 I4 GL FWD,67250,68250,67750,"AED 68,250 - 67,250",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carens/2024/,2026-06-16T09:23:18Z
kia-carens,2024,I.5 I4 GLS FWD,78700,79700,79200,"AED 78,700 - 79,700",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carens/2024/,2026-06-16T09:23:18Z
kia-carens,2024,1.4TC I4 Top FWD,94500,95500,95000,"AED 94,500 - 95,500",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carens/2024/,2026-06-16T09:23:18Z
kia-carens,2025,I.5 I4 GL FWD,78750,79750,79250,"AED 78,750 - 79,750",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carens/2025/,2026-06-16T09:23:20Z
kia-carens,2025,1.4TC I4 Top FWD,94500,95500,95000,"AED 94,500 - 95,500",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carens/2025/,2026-06-16T09:23:20Z
kia-carens,2026,I.5 I4 GL FWD,78750,79750,79250,"AED 78,750 - 79,750",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carens/2026/,2026-06-16T09:23:22Z
kia-carens,2026,1.4TC I4 Top FWD,94500,95500,95000,"AED 94,500 - 95,500",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carens/2026/,2026-06-16T09:23:22Z
kia-carnival,2022,GDI L,122900,123000,122950,"AED 122,900 - 123,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carnival/2022/,2026-06-16T09:23:24Z
kia-carnival,2022,GDI EX,160000,161000,160500,"AED 160,000 - 161,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carnival/2022/,2026-06-16T09:23:24Z
kia-carnival,2023,GDI L,122900,123000,122950,"AED 122,900 - 123,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carnival/2023/,2026-06-16T09:23:26Z
kia-carnival,2023,GDI EX,160000,161000,160500,"AED 160,000 - 161,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carnival/2023/,2026-06-16T09:23:26Z
kia-carnival,2024,GDI L,139000,140000,139500,"AED 139,000 - 140,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carnival/2024/,2026-06-16T09:23:27Z
kia-carnival,2024,GDI EX,179000,180000,179500,"AED 179,000 - 180,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carnival/2024/,2026-06-16T09:23:27Z
kia-carnival,2025,3.5 V6 EX FWD,205000,206000,205500,"AED 205,000 - 206,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carnival/2025/,2026-06-16T09:23:29Z
kia-carnival,2026,3.5 V6 EX FWD,205000,206000,205500,"AED 205,000 - 206,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carnival/2026/,2026-06-16T09:23:31Z
kia-cerato,2022,1.6 LX,59900,60000,59950,"AED 59,900 - 60,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-cerato/2022/,2026-06-16T09:23:33Z
kia-cerato,2022,1.6 SX,66000,67000,66500,"AED 66,000 - 67,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-cerato/2022/,2026-06-16T09:23:33Z
kia-cerato,2022,2.0 SX,76000,78000,77000,"AED 76,000 - 78,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-cerato/2022/,2026-06-16T09:23:33Z
kia-cerato,2023,1.6 I4 SX FWD,67190,68190,67690,"AED 67,190 - 68,190",AED,https://www.drivearabia.com/carprices/uae/kia/kia-cerato/2023/,2026-06-16T09:23:35Z
kia-cerato,2023,2.0 I4 SX FWD,73490,74490,73990,"AED 73,490 - 74,490",AED,https://www.drivearabia.com/carprices/uae/kia/kia-cerato/2023/,2026-06-16T09:23:35Z
kia-cerato,2023,1.6TC I4 GT FWD,86000,87000,86500,"AED 86,000 - 87,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-cerato/2023/,2026-06-16T09:23:35Z
kia-cerato,2024,1.6 I4 FWD,74500,76000,75250,"AED 74,500 - 76,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-cerato/2024/,2026-06-16T09:23:37Z
kia-cerato,2024,2.0 I4 FWD,75790,77000,76395,"AED 75,790 - 77,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-cerato/2024/,2026-06-16T09:23:37Z
kia-cerato,2025,1.6 I4 FWD,74500,76000,75250,"AED 74,500 - 76,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-cerato/2025/,2026-06-16T09:23:38Z
kia-cerato,2025,2.0 I4 FWD,75790,77000,76395,"AED 75,790 - 77,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-cerato/2025/,2026-06-16T09:23:38Z
kia-ev5,2025,64.2 kWh single-motor FWD,160000,162000,161000,"AED 160,000 - 162,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-ev5/2025/,2026-06-16T09:23:56Z
kia-ev5,2025,88.1 kWh single-motor long-range FWD,186000,187000,186500,"AED 186,000 - 187,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-ev5/2025/,2026-06-16T09:23:56Z
kia-ev5,2025,88.1 kWh GT-Line 4WD,234000,235000,234500,"AED 234,000 - 235,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-ev5/2025/,2026-06-16T09:23:56Z
kia-ev5,2026,64.2 kWh single-motor FWD,160000,162000,161000,"AED 160,000 - 162,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-ev5/2026/,2026-06-16T09:23:58Z
