model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
mini-clubman,2022,Cooper,146000,150000,148000,"AED 146,000 - 150,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-clubman/2022/,2026-06-16T09:38:22Z
mini-clubman,2022,Cooper S,175000,185000,180000,"AED 175,000 - 185,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-clubman/2022/,2026-06-16T09:38:22Z
mini-clubman,2023,Cooper,146000,150000,148000,"AED 146,000 - 150,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-clubman/2023/,2026-06-16T09:38:24Z
mini-clubman,2023,Cooper S,175000,185000,180000,"AED 175,000 - 185,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-clubman/2023/,2026-06-16T09:38:24Z
mini-cooper,2022,Cooper,145950,146000,145975,"AED 145,950 - 146,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2022/,2026-06-16T09:38:29Z
mini-cooper,2022,Cooper S,166950,167000,166975,"AED 166,950 - 167,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2022/,2026-06-16T09:38:29Z
mini-cooper,2022,Paddy Hopkirk,182600,183000,182800,"AED 182,600 - 183,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2022/,2026-06-16T09:38:29Z
mini-cooper,2022,John Cooper Works,198450,199000,198725,"AED 198,450 - 199,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2022/,2026-06-16T09:38:29Z
mini-cooper,2023,Cooper,145950,146000,145975,"AED 145,950 - 146,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2023/,2026-06-16T09:38:31Z
mini-cooper,2023,Cooper S,166950,167000,166975,"AED 166,950 - 167,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2023/,2026-06-16T09:38:31Z
mini-cooper,2023,Paddy Hopkirk,182600,183000,182800,"AED 182,600 - 183,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2023/,2026-06-16T09:38:31Z
mini-cooper,2023,John Cooper Works,198450,199000,198725,"AED 198,450 - 199,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2023/,2026-06-16T09:38:31Z
mini-cooper,2024,1.5TC I4 Cooper FWD,145950,146000,145975,"AED 145,950 - 146,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2024/,2026-06-16T09:38:33Z
mini-cooper,2024,2.0TC I4 Cooper S FWD,166950,167000,166975,"AED 166,950 - 167,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2024/,2026-06-16T09:38:33Z
mini-cooper,2024,2.0TC I4 John Cooper Works FWD,198450,199000,198725,"AED 198,450 - 199,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2024/,2026-06-16T09:38:33Z
mini-cooper,2025,1.5TC I3 Cooper C FWD,140000,150000,145000,"AED 140,000 - 150,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2025/,2026-06-16T09:38:35Z
mini-cooper,2025,2.0TC I4 Cooper S Luxury FWD,180000,190000,185000,"AED 180,000 - 190,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2025/,2026-06-16T09:38:35Z
mini-cooper,2026,1.5TC I3 Cooper C FWD,140000,150000,145000,"AED 140,000 - 150,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2026/,2026-06-16T09:38:37Z
