model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
peugeot-2008,2022,1.6 I4 Active Plus,69900,70000,69950,"AED 69,900 - 70,000",AED,https://www.drivearabia.com/carprices/uae/peugeot/peugeot-2008/2022/,2026-06-16T11:08:44Z
peugeot-2008,2022,1.2TC I3 Allure Turbo,89900,90000,89950,"AED 89,900 - 90,000",AED,https://www.drivearabia.com/carprices/uae/peugeot/peugeot-2008/2022/,2026-06-16T11:08:44Z
peugeot-2008,2022,1.2TC I3 GT,99900,100000,99950,"AED 99,900 - 100,000",AED,https://www.drivearabia.com/carprices/uae/peugeot/peugeot-2008/2022/,2026-06-16T11:08:44Z
peugeot-2008,2023,1.6 I4 Active Plus,81900,82000,81950,"AED 81,900 - 82,000",AED,https://www.drivearabia.com/carprices/uae/peugeot/peugeot-2008/2023/,2026-06-16T11:08:47Z
peugeot-2008,2023,1.2TC I3 Allure Turbo,101900,102000,101950,"AED 101,900 - 102,000",AED,https://www.drivearabia.com/carprices/uae/peugeot/peugeot-2008/2023/,2026-06-16T11:08:47Z
peugeot-2008,2023,1.2TC I3 GT,111900,112000,111950,"AED 111,900 - 112,000",AED,https://www.drivearabia.com/carprices/uae/peugeot/peugeot-2008/2023/,2026-06-16T11:08:47Z
peugeot-2008,2024,1.6 I4 Active Plus,81900,82000,81950,"AED 81,900 - 82,000",AED,https://www.drivearabia.com/carprices/uae/peugeot/peugeot-2008/2024/,2026-06-16T11:08:49Z
peugeot-2008,2024,1.2TC I3 Allure Turbo,101900,102000,101950,"AED 101,900 - 102,000",AED,https://www.drivearabia.com/carprices/uae/peugeot/peugeot-2008/2024/,2026-06-16T11:08:49Z
peugeot-2008,2024,1.2TC I3 GT,111900,112000,111950,"AED 111,900 - 112,000",AED,https://www.drivearabia.com/carprices/uae/peugeot/peugeot-2008/2024/,2026-06-16T11:08:49Z
peugeot-2008,2025,1.6 I4 Active Plus,81900,82000,81950,"AED 81,900 - 82,000",AED,https://www.drivearabia.com/carprices/uae/peugeot/peugeot-2008/2025/,2026-06-16T11:08:51Z
