model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
renault-arkana,2025,1.3TC I4 evolution FWD,83900,84000,83950,"AED 83,900 - 84,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-arkana/2025/,2026-06-16T10:37:30Z
renault-arkana,2026,1.3TC I4 evolution FWD,83900,84000,83950,"AED 83,900 - 84,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-arkana/2026/,2026-06-16T10:37:32Z
renault-duster,2022,1.6L 4x2 PE,51900,52000,51950,"AED 51,900 - 52,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2022/,2026-06-16T10:37:57Z
renault-duster,2022,1.6L 4x2 Sport,56000,57000,56500,"AED 56,000 - 57,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2022/,2026-06-16T10:37:57Z
renault-duster,2022,2.0L 4x4 PE,60100,61000,60550,"AED 60,100 - 61,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2022/,2026-06-16T10:37:57Z
renault-duster,2022,1.6L 4x2 SE,61000,62000,61500,"AED 61,000 - 62,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2022/,2026-06-16T10:37:57Z
renault-duster,2022,2.0L 4x4 SE,66900,67000,66950,"AED 66,900 - 67,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2022/,2026-06-16T10:37:57Z
renault-duster,2022,1.6L 4x2 LE,66900,67000,66950,"AED 66,900 - 67,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2022/,2026-06-16T10:37:57Z
renault-duster,2022,2.0L 4x4 LE,71900,72000,71950,"AED 71,900 - 72,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2022/,2026-06-16T10:37:57Z
renault-duster,2023,1.6L 4x2 PE,51900,52000,51950,"AED 51,900 - 52,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2023/,2026-06-16T10:37:59Z
renault-duster,2023,1.6L 4x2 Sport,56000,57000,56500,"AED 56,000 - 57,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2023/,2026-06-16T10:37:59Z
renault-duster,2023,2.0L 4x4 PE,60100,61000,60550,"AED 60,100 - 61,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2023/,2026-06-16T10:37:59Z
renault-duster,2023,1.6L 4x2 SE,61000,62000,61500,"AED 61,000 - 62,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2023/,2026-06-16T10:37:59Z
renault-duster,2023,2.0L 4x4 SE,66900,67000,66950,"AED 66,900 - 67,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2023/,2026-06-16T10:37:59Z
renault-duster,2023,1.6L 4x2 LE,66900,67000,66950,"AED 66,900 - 67,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2023/,2026-06-16T10:37:59Z
renault-duster,2023,2.0L 4x4 LE,71900,72000,71950,"AED 71,900 - 72,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2023/,2026-06-16T10:37:59Z
renault-duster,2024,1.6L 4x2 PE,51900,52000,51950,"AED 51,900 - 52,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2024/,2026-06-16T10:38:01Z
renault-duster,2024,1.6L 4x2 Sport,56000,57000,56500,"AED 56,000 - 57,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2024/,2026-06-16T10:38:01Z
renault-duster,2024,2.0L 4x4 PE,60100,61000,60550,"AED 60,100 - 61,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2024/,2026-06-16T10:38:01Z
renault-duster,2024,1.6L 4x2 SE,61000,62000,61500,"AED 61,000 - 62,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2024/,2026-06-16T10:38:01Z
renault-duster,2024,2.0L 4x4 SE,66900,67000,66950,"AED 66,900 - 67,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2024/,2026-06-16T10:38:01Z
renault-duster,2024,1.6L 4x2 LE,66900,67000,66950,"AED 66,900 - 67,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2024/,2026-06-16T10:38:01Z
renault-duster,2024,2.0L 4x4 LE,71900,72000,71950,"AED 71,900 - 72,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2024/,2026-06-16T10:38:01Z
renault-duster,2025,1.6L I4 PE FWD,69900,70000,69950,"AED 69,900 - 70,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2025/,2026-06-16T10:38:03Z
renault-duster,2025,1.6L I4 SE FWD,72000,73000,72500,"AED 72,000 - 73,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2025/,2026-06-16T10:38:03Z
renault-duster,2025,1.6L I4 LE FWD,75500,76000,75750,"AED 75,500 - 76,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-duster/2025/,2026-06-16T10:38:03Z
renault-express-van,2023,1.6 I4 FWD,75000,80000,77500,"AED 75,000 - 80,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-express-van/2023/,2026-06-16T10:38:13Z
renault-express-van,2024,1.6 I4 FWD,75000,80000,77500,"AED 75,000 - 80,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-express-van/2024/,2026-06-16T10:38:15Z
renault-express-van,2025,1.6 I4 FWD,75000,80000,77500,"AED 75,000 - 80,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-express-van/2025/,2026-06-16T10:38:17Z
renault-express-van,2026,1.6 I4 FWD,75000,80000,77500,"AED 75,000 - 80,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-express-van/2026/,2026-06-16T10:38:19Z
renault-koleos,2023,PE 4x2,85075,86000,85538,"AED 85,075 - 86,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-koleos/2023/,2026-06-16T10:38:28Z
renault-koleos,2023,PE 4x4,95000,96000,95500,"AED 95,000 - 96,000",AED,https://www.drivearabia.com/carprices/uae/renault/renault-koleos/2023/,2026-06-16T10:38:28Z
