model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
tesla-cybertruck,2025,123 kWh Cybertruck 4WD,405000,430000,417500,"AED 405,000 - 430,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-cybertruck/2025/,2026-06-16T10:20:54Z
tesla-cybertruck,2025,123 kWh Cyberbeast 4WD,455000,475000,465000,"AED 455,000 - 475,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-cybertruck/2025/,2026-06-16T10:20:54Z
tesla-cybertruck,2026,123 kWh Cybertruck 4WD,405000,430000,417500,"AED 405,000 - 430,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-cybertruck/2026/,2026-06-16T10:20:56Z
tesla-cybertruck,2026,123 kWh Cyberbeast 4WD,455000,475000,465000,"AED 455,000 - 475,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-cybertruck/2026/,2026-06-16T10:20:56Z
tesla-model-3,2022,Standard Range Plus RWD,163580,200000,181790,"AED 163,580 - 200,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2022/,2026-06-16T10:20:58Z
tesla-model-3,2022,Long Range AWD,193580,240000,216790,"AED 193,580 - 240,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2022/,2026-06-16T10:20:58Z
tesla-model-3,2022,Performance AWD,219580,260000,239790,"AED 219,580 - 260,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2022/,2026-06-16T10:20:58Z
tesla-model-3,2023,Standard Range Plus RWD,163580,200000,181790,"AED 163,580 - 200,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2023/,2026-06-16T10:21:00Z
tesla-model-3,2023,Long Range AWD,193580,240000,216790,"AED 193,580 - 240,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2023/,2026-06-16T10:21:00Z
tesla-model-3,2023,Performance AWD,219580,260000,239790,"AED 219,580 - 260,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2023/,2026-06-16T10:21:00Z
