model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
volkswagen-amarok,2023,2.3TC I4 Comfortline 4WD,149900,153000,151450,"AED 149,900 - 153,000",AED,https://www.drivearabia.com/carprices/uae/volkswagen/volkswagen-amarok/2023/,2026-06-16T09:46:19Z
volkswagen-amarok,2023,2.3TC I4 Highline 4WD,173728,176000,174864,"AED 173,728 - 176,000",AED,https://www.drivearabia.com/carprices/uae/volkswagen/volkswagen-amarok/2023/,2026-06-16T09:46:19Z
volkswagen-amarok,2023,2.3TC I4 PanAmericana 4WD,190423,192000,191212,"AED 190,423 - 192,000",AED,https://www.drivearabia.com/carprices/uae/volkswagen/volkswagen-amarok/2023/,2026-06-16T09:46:19Z
volkswagen-amarok,2023,2.3TC I4 Aventura 4WD,197405,200000,198702,"AED 197,405 - 200,000",AED,https://www.drivearabia.com/carprices/uae/volkswagen/volkswagen-amarok/2023/,2026-06-16T09:46:19Z
volkswagen-amarok,2024,2.3TC I4 Comfortline 4WD,149900,153000,151450,"AED 149,900 - 153,000",AED,https://www.drivearabia.com/carprices/uae/volkswagen/volkswagen-amarok/2024/,2026-06-16T09:46:21Z
volkswagen-amarok,2024,2.3TC I4 Highline 4WD,173728,176000,174864,"AED 173,728 - 176,000",AED,https://www.drivearabia.com/carprices/uae/volkswagen/volkswagen-amarok/2024/,2026-06-16T09:46:21Z
volkswagen-amarok,2024,2.3TC I4 PanAmericana 4WD,190423,192000,191212,"AED 190,423 - 192,000",AED,https://www.drivearabia.com/carprices/uae/volkswagen/volkswagen-amarok/2024/,2026-06-16T09:46:21Z
volkswagen-amarok,2024,2.3TC I4 Aventura 4WD,197405,200000,198702,"AED 197,405 - 200,000",AED,https://www.drivearabia.com/carprices/uae/volkswagen/volkswagen-amarok/2024/,2026-06-16T09:46:21Z
volkswagen-amarok,2025,2.3TC I4 Comfortline 4WD,149900,153000,151450,"AED 149,900 - 153,000",AED,https://www.drivearabia.com/carprices/uae/volkswagen/volkswagen-amarok/2025/,2026-06-16T09:46:23Z
volkswagen-amarok,2025,2.3TC I4 Highline 4WD,173728,176000,174864,"AED 173,728 - 176,000",AED,https://www.drivearabia.com/carprices/uae/volkswagen/volkswagen-amarok/2025/,2026-06-16T09:46:23Z
volkswagen-amarok,2025,2.3TC I4 PanAmericana 4WD,190423,192000,191212,"AED 190,423 - 192,000",AED,https://www.drivearabia.com/carprices/uae/volkswagen/volkswagen-amarok/2025/,2026-06-16T09:46:23Z
volkswagen-amarok,2025,2.3TC I4 Aventura 4WD,197405,200000,198702,"AED 197,405 - 200,000",AED,https://www.drivearabia.com/carprices/uae/volkswagen/volkswagen-amarok/2025/,2026-06-16T09:46:23Z
volkswagen-amarok,2026,Life,144400,146400,145400,"AED 144,400 - 146,400",AED,https://www.drivearabia.com/carprices/uae/volkswagen/volkswagen-amarok/2026/,2026-06-16T09:46:25Z
volkswagen-amarok,2026,Style,147900,149900,148900,"AED 147,900 - 149,900",AED,https://www.drivearabia.com/carprices/uae/volkswagen/volkswagen-amarok/2026/,2026-06-16T09:46:25Z
volkswagen-amarok,2026,PanAmericana,169000,171000,170000,"AED 169,000 - 171,000",AED,https://www.drivearabia.com/carprices/uae/volkswagen/volkswagen-amarok/2026/,2026-06-16T09:46:25Z
volkswagen-amarok,2026,Aventura,170400,172400,171400,"AED 170,400 - 172,400",AED,https://www.drivearabia.com/carprices/uae/volkswagen/volkswagen-amarok/2026/,2026-06-16T09:46:25Z
volkswagen-golf-gti,2022,Sport,144900,145000,144950,"AED 144,900 - 145,000",AED,https://www.drivearabia.com/carprices/uae/volkswagen/volkswagen-golf-gti/2022/,2026-06-16T09:46:55Z
volkswagen-golf-gti,2022,SEL,182000,183000,182500,"AED 182,000 - 183,000",AED,https://www.drivearabia.com/carprices/uae/volkswagen/volkswagen-golf-gti/2022/,2026-06-16T09:46:55Z
volkswagen-golf-gti,2023,Sport,144900,145000,144950,"AED 144,900 - 145,000",AED,https://www.drivearabia.com/carprices/uae/volkswagen/volkswagen-golf-gti/2023/,2026-06-16T09:46:57Z
volkswagen-golf-gti,2023,SEL,182000,183000,182500,"AED 182,000 - 183,000",AED,https://www.drivearabia.com/carprices/uae/volkswagen/volkswagen-golf-gti/2023/,2026-06-16T09:46:57Z
