make,model,annual_dep_rate
ABARTH,124 SPIDER,0.0783008575554378
ABARTH,595,0.0834792636416521
ABARTH,695,0.0736978299232473
ACURA,INTEGRA,0.1042780748663085
ACURA,RDX,0.1042780748663085
ACURA,RSX,0.1042780748663085
ACURA,TL,0.1042780748663085
ACURA,TLX,0.1042780748663085
AEOLUS,AX7,0.015416007556818
AEOLUS,MAGE,0.081105903798035
AEOLUS,SHINE,0.1303733259789478
AITO,M7,0.0492035119934515
AITO,M9,0.1764784782343593
AL DAMANI,DMV 300,-0.1171938361719397
ALFA ROMEO,156,0.1146006314665102
ALFA ROMEO,159,0.2273776706281236
ALFA ROMEO,4C,0.1146006314665102
ALFA ROMEO,BRERA,0.1146006314665102
ALFA ROMEO,GIULIA,0.0798304459688923
ALFA ROMEO,GIULIETTA,0.1213284057201533
ALFA ROMEO,H9,0.1146006314665102
ALFA ROMEO,MITO,0.3039647577092512
ALFA ROMEO,SPIDER,0.1146006314665102
ALFA ROMEO,STELVIO,0.1196582928554891
ALFA ROMEO,TONALE,0.1146006314665102
ARCFOX,A S,0.1195580092498166
ASHOK LEYLAND,2021,0.086235412457418
ASHOK LEYLAND,ASHOK LEYLAND,0.086235412457418
ASHOK LEYLAND,FALCON,0.086235412457418
ASHOK LEYLAND,OYSTER,0.086235412457418
ASHOK LEYLAND,PARTNER,0.086235412457418
ASTON MARTIN,ASTON MARTIN,0.0968402517723158
ASTON MARTIN,DB11,0.1414739731823727
ASTON MARTIN,DB12,-0.0538708220867796
ASTON MARTIN,DB9,0.1538693433451334
ASTON MARTIN,DBS,0.1229951028043782
ASTON MARTIN,DBX,-0.0031716680401312
ASTON MARTIN,DBX707,0.0312738719166312
ASTON MARTIN,RAPIDE,0.1407845224122432
ASTON MARTIN,RAPIDE S,0.0968402517723158
ASTON MARTIN,VALHALLA,0.0968402517723158
ASTON MARTIN,VALOUR,0.0968402517723158
ASTON MARTIN,VANQUISH,0.0535020104069521
ASTON MARTIN,VANTAGE,0.1176865663201546
ASTON MARTIN,VIRAGE,0.0968402517723158
AUDI,A1,0.08212
AUDI,A3,0.141746988619814
AUDI,A3 SEDAN,0.141747
AUDI,A4,0.1602480186730174
AUDI,A5,0.125825127597949
AUDI,A5 CABRIOLET,0.125825
