model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at,make,model_name,model,annual_dep_rate,car_age,depreciated_value
abarth-595-competizione,2022,1.4T I4 coupe,110000.0,115000.0,112500,"AED 110,000 - 115,000",AED,https://www.drivearabia.com/carprices/uae/abarth/abarth-595-competizione/2022/,2026-06-16T10:01:13Z,ABARTH,595 COMPETIZIONE,595 COMPETIZIONE,0.0834792636416521,4,79382.0
abarth-595-competizione,2022,1.4T I4 cabriolet,120000.0,125000.0,122500,"AED 120,000 - 125,000",AED,https://www.drivearabia.com/carprices/uae/abarth/abarth-595-competizione/2022/,2026-06-16T10:01:13Z,ABARTH,595 COMPETIZIONE,595 COMPETIZIONE,0.0834792636416521,4,86438.0
abarth-595-competizione,2023,1.4T I4 coupe,110000.0,115000.0,112500,"AED 110,000 - 115,000",AED,https://www.drivearabia.com/carprices/uae/abarth/abarth-595-competizione/2023/,2026-06-16T10:01:15Z,ABARTH,595 COMPETIZIONE,595 COMPETIZIONE,0.0834792636416521,3,86612.0
abarth-595-competizione,2023,1.4T I4 cabriolet,120000.0,125000.0,122500,"AED 120,000 - 125,000",AED,https://www.drivearabia.com/carprices/uae/abarth/abarth-595-competizione/2023/,2026-06-16T10:01:15Z,ABARTH,595 COMPETIZIONE,595 COMPETIZIONE,0.0834792636416521,3,94311.0
abarth-695,2022,1.4T I4 695 70th Anniversario,126900.0,139900.0,133400,"AED 126,900 - 139,900",AED,https://www.drivearabia.com/carprices/uae/abarth/abarth-695/2022/,2026-06-16T10:01:28Z,ABARTH,695,695,0.0736978299232473,4,98212.0
abarth-695,2023,1.4T I4 695 70th Anniversario,126900.0,139900.0,133400,"AED 126,900 - 139,900",AED,https://www.drivearabia.com/carprices/uae/abarth/abarth-695/2023/,2026-06-16T10:01:29Z,ABARTH,695,695,0.0736978299232473,3,106026.0
abarth-695,2024,1.4T I4 695 70th Anniversario,126900.0,139900.0,133400,"AED 126,900 - 139,900",AED,https://www.drivearabia.com/carprices/uae/abarth/abarth-695/2024/,2026-06-16T10:01:32Z,ABARTH,695,695,0.0736978299232473,2,114462.0
abarth-695,2025,1.4T I4 695 70th Anniversario,126900.0,139900.0,133400,"AED 126,900 - 139,900",AED,https://www.drivearabia.com/carprices/uae/abarth/abarth-695/2025/,2026-06-16T10:01:34Z,ABARTH,695,695,0.0736978299232473,1,123569.0
audi-a1,2011,1.4TC I4 TFSI 122,90000.0,120000.0,105000,"AED 90,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2011/,2026-06-12T11:24:36Z,AUDI,A1,A1,0.08212,15,29039.0
audi-a1,2011,1.4TSC I4 TFSI 185,130000.0,140000.0,135000,"AED 130,000 - 140,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2011/,2026-06-12T11:24:36Z,AUDI,A1,A1,0.08212,15,37336.0
audi-a1,2012,1.4TC I4 TFSI 122,90000.0,120000.0,105000,"AED 90,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2012/,2026-06-12T11:24:38Z,AUDI,A1,A1,0.08212,14,31637.0
audi-a1,2012,1.4TSC I4 TFSI 185,130000.0,140000.0,135000,"AED 130,000 - 140,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2012/,2026-06-12T11:24:38Z,AUDI,A1,A1,0.08212,14,40676.0
audi-a1,2013,1.4TC I4 TFSI 122,90000.0,120000.0,105000,"AED 90,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2013/,2026-06-12T11:24:40Z,AUDI,A1,A1,0.08212,13,34467.0
audi-a1,2013,1.4TSC I4 TFSI 185,130000.0,140000.0,135000,"AED 130,000 - 140,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2013/,2026-06-12T11:24:40Z,AUDI,A1,A1,0.08212,13,44315.0
audi-a1,2014,1.4TC I4 TFSI 122,90000.0,120000.0,105000,"AED 90,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2014/,2026-06-12T11:24:42Z,AUDI,A1,A1,0.08212,12,37551.0
audi-a1,2014,1.4TSC I4 TFSI 185,130000.0,140000.0,135000,"AED 130,000 - 140,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2014/,2026-06-12T11:24:42Z,AUDI,A1,A1,0.08212,12,48280.0
audi-a1,2015,1.4TC I4 TFSI 122,90000.0,120000.0,105000,"AED 90,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2015/,2026-06-12T11:24:44Z,AUDI,A1,A1,0.08212,11,40910.0
audi-a1,2015,1.4TSC I4 TFSI 185,130000.0,140000.0,135000,"AED 130,000 - 140,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2015/,2026-06-12T11:24:44Z,AUDI,A1,A1,0.08212,11,52599.0
audi-a1,2016,1.4TC I4 TFSI 122,90000.0,120000.0,105000,"AED 90,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2016/,2026-06-12T11:24:46Z,AUDI,A1,A1,0.08212,10,44571.0
audi-a1,2016,1.4TSC I4 TFSI 185,130000.0,140000.0,135000,"AED 130,000 - 140,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2016/,2026-06-12T11:24:46Z,AUDI,A1,A1,0.08212,10,57305.0
audi-a3,2004,1.8 I4 1.8 FSI,86000.0,101000.0,93500,"AED 86,000 - 101,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2004/,2026-06-12T11:25:41Z,AUDI,A3,A3,0.1327324268680578,22,4075.0
audi-a3,2004,2.0 I4 2.0 FSI,99000.0,121000.0,110000,"AED 99,000 - 121,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2004/,2026-06-12T11:25:41Z,AUDI,A3,A3,0.1327324268680578,22,4795.0
audi-a3,2004,3.2 V6 3.2 VR6 Quattro,133000.0,138600.0,135800,"AED 133,000 - 138,600",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2004/,2026-06-12T11:25:41Z,AUDI,A3,A3,0.1327324268680578,22,5919.0
audi-a3,2005,1.8 I4 1.8 FSI,86000.0,101000.0,93500,"AED 86,000 - 101,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2005/,2026-06-12T11:25:43Z,AUDI,A3,A3,0.1327324268680578,21,4699.0
audi-a3,2005,2.0 I4 2.0 FSI,99000.0,121000.0,110000,"AED 99,000 - 121,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2005/,2026-06-12T11:25:43Z,AUDI,A3,A3,0.1327324268680578,21,5529.0
audi-a3,2005,3.2 V6 3.2 VR6 Quattro,133000.0,138600.0,135800,"AED 133,000 - 138,600",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2005/,2026-06-12T11:25:43Z,AUDI,A3,A3,0.1327324268680578,21,6825.0
audi-a3,2006,1.8 I4 1.8 FSI,86000.0,101000.0,93500,"AED 86,000 - 101,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2006/,2026-06-12T11:25:45Z,AUDI,A3,A3,0.1327324268680578,20,5418.0
audi-a3,2006,2.0 I4 2.0 FSI,99000.0,121000.0,110000,"AED 99,000 - 121,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2006/,2026-06-12T11:25:45Z,AUDI,A3,A3,0.1327324268680578,20,6375.0
audi-a3,2006,3.2 V6 3.2 VR6 Quattro,133000.0,138600.0,135800,"AED 133,000 - 138,600",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2006/,2026-06-12T11:25:45Z,AUDI,A3,A3,0.1327324268680578,20,7870.0
audi-a3,2007,1.8 I4 1.8 FSI,86000.0,101000.0,93500,"AED 86,000 - 101,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2007/,2026-06-12T11:25:47Z,AUDI,A3,A3,0.1327324268680578,19,6248.0
audi-a3,2007,2.0 I4 2.0 FSI,99000.0,121000.0,110000,"AED 99,000 - 121,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2007/,2026-06-12T11:25:47Z,AUDI,A3,A3,0.1327324268680578,19,7350.0
audi-a3,2007,3.2 V6 3.2 VR6 Quattro,133000.0,138600.0,135800,"AED 133,000 - 138,600",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2007/,2026-06-12T11:25:47Z,AUDI,A3,A3,0.1327324268680578,19,9074.0
audi-a3,2008,1.8 I4 1.8 FSI,86000.0,101000.0,93500,"AED 86,000 - 101,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2008/,2026-06-12T11:25:49Z,AUDI,A3,A3,0.1327324268680578,18,7204.0
audi-a3,2008,2.0 I4 2.0 FSI,99000.0,121000.0,110000,"AED 99,000 - 121,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2008/,2026-06-12T11:25:49Z,AUDI,A3,A3,0.1327324268680578,18,8475.0
audi-a3,2008,3.2 V6 3.2 VR6 Quattro,133000.0,138600.0,135800,"AED 133,000 - 138,600",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2008/,2026-06-12T11:25:49Z,AUDI,A3,A3,0.1327324268680578,18,10463.0
audi-a3,2009,1.8TC I4 1.8 TFSI,108400.0,112000.0,110200,"AED 108,400 - 112,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2009/,2026-06-12T11:25:51Z,AUDI,A3,A3,0.1327324268680578,17,9790.0
audi-a3,2009,2.0TC I4 2.0 TFSI,120000.0,125000.0,122500,"AED 120,000 - 125,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2009/,2026-06-12T11:25:51Z,AUDI,A3,A3,0.1327324268680578,17,10883.0
audi-a3,2010,1.8TC I4 1.8 TFSI,108400.0,112000.0,110200,"AED 108,400 - 112,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2010/,2026-06-12T11:25:53Z,AUDI,A3,A3,0.1327324268680578,16,11288.0
audi-a3,2010,2.0TC I4 2.0 TFSI,120000.0,125000.0,122500,"AED 120,000 - 125,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2010/,2026-06-12T11:25:53Z,AUDI,A3,A3,0.1327324268680578,16,12548.0
audi-a3,2011,1.8TC I4 1.8 TFSI,108400.0,112000.0,110200,"AED 108,400 - 112,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2011/,2026-06-12T11:25:55Z,AUDI,A3,A3,0.1327324268680578,15,13016.0
audi-a3,2011,2.0TC I4 2.0 TFSI,120000.0,125000.0,122500,"AED 120,000 - 125,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2011/,2026-06-12T11:25:55Z,AUDI,A3,A3,0.1327324268680578,15,14469.0
audi-a3,2012,1.8TC I4 1.8 TFSI,108400.0,112000.0,110200,"AED 108,400 - 112,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2012/,2026-06-12T11:25:57Z,AUDI,A3,A3,0.1327324268680578,14,15008.0
audi-a3,2012,2.0TC I4 2.0 TFSI,120000.0,125000.0,122500,"AED 120,000 - 125,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2012/,2026-06-12T11:25:57Z,AUDI,A3,A3,0.1327324268680578,14,16683.0
audi-a3-sedan,2014,1.4TC I4 30 TFSI,92000.0,99500.0,95750,"AED 92,000 - 99,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2014/,2026-06-12T11:26:46Z,AUDI,A3 SEDAN,A3 SEDAN,0.141747,12,15294.0
audi-a3-sedan,2014,1.8TC I4 40 TFSI,109500.0,132500.0,121000,"AED 109,500 - 132,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2014/,2026-06-12T11:26:46Z,AUDI,A3 SEDAN,A3 SEDAN,0.141747,12,19327.0
audi-a3-sedan,2014,1.8TC I4 40 TFSI Quattro,119500.0,142500.0,131000,"AED 119,500 - 142,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2014/,2026-06-12T11:26:46Z,AUDI,A3 SEDAN,A3 SEDAN,0.141747,12,20925.0
audi-a3-sedan,2015,1.4TC I4 30 TFSI,92000.0,99500.0,95750,"AED 92,000 - 99,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2015/,2026-06-12T11:26:48Z,AUDI,A3 SEDAN,A3 SEDAN,0.141747,11,17820.0
audi-a3-sedan,2015,1.8TC I4 40 TFSI,109500.0,132500.0,121000,"AED 109,500 - 132,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2015/,2026-06-12T11:26:48Z,AUDI,A3 SEDAN,A3 SEDAN,0.141747,11,22519.0
audi-a3-sedan,2015,1.8TC I4 40 TFSI Quattro,119500.0,142500.0,131000,"AED 119,500 - 142,500",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3-sedan/2015/,2026-06-12T11:26:48Z,AUDI,A3 SEDAN,A3 SEDAN,0.141747,11,24380.0
