model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at,make,model_name,model,annual_dep_rate,car_age,depreciated_value
audi-a1,2011.0,1.4TC I4 TFSI 122,90000.0,120000.0,105000.0,"AED 90,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2011/,2026-06-12T11:24:36Z,AUDI,A1,A1,0.08212,15.0,29039.0
audi-a1,2011.0,1.4TSC I4 TFSI 185,130000.0,140000.0,135000.0,"AED 130,000 - 140,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2011/,2026-06-12T11:24:36Z,AUDI,A1,A1,0.08212,15.0,37336.0
audi-a1,2012.0,1.4TC I4 TFSI 122,90000.0,120000.0,105000.0,"AED 90,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2012/,2026-06-12T11:24:38Z,AUDI,A1,A1,0.08212,14.0,31637.0
audi-a1,2012.0,1.4TSC I4 TFSI 185,130000.0,140000.0,135000.0,"AED 130,000 - 140,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2012/,2026-06-12T11:24:38Z,AUDI,A1,A1,0.08212,14.0,40676.0
audi-a1,2013.0,1.4TC I4 TFSI 122,90000.0,120000.0,105000.0,"AED 90,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2013/,2026-06-12T11:24:40Z,AUDI,A1,A1,0.08212,13.0,34467.0
audi-a1,2013.0,1.4TSC I4 TFSI 185,130000.0,140000.0,135000.0,"AED 130,000 - 140,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2013/,2026-06-12T11:24:40Z,AUDI,A1,A1,0.08212,13.0,44315.0
audi-a1,2014.0,1.4TC I4 TFSI 122,90000.0,120000.0,105000.0,"AED 90,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2014/,2026-06-12T11:24:42Z,AUDI,A1,A1,0.08212,12.0,37551.0
audi-a1,2014.0,1.4TSC I4 TFSI 185,130000.0,140000.0,135000.0,"AED 130,000 - 140,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2014/,2026-06-12T11:24:42Z,AUDI,A1,A1,0.08212,12.0,48280.0
audi-a1,2015.0,1.4TC I4 TFSI 122,90000.0,120000.0,105000.0,"AED 90,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2015/,2026-06-12T11:24:44Z,AUDI,A1,A1,0.08212,11.0,40910.0
audi-a1,2015.0,1.4TSC I4 TFSI 185,130000.0,140000.0,135000.0,"AED 130,000 - 140,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2015/,2026-06-12T11:24:44Z,AUDI,A1,A1,0.08212,11.0,52599.0
audi-a1,2016.0,1.4TC I4 TFSI 122,90000.0,120000.0,105000.0,"AED 90,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2016/,2026-06-12T11:24:46Z,AUDI,A1,A1,0.08212,10.0,44571.0
audi-a1,2016.0,1.4TSC I4 TFSI 185,130000.0,140000.0,135000.0,"AED 130,000 - 140,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a1/2016/,2026-06-12T11:24:46Z,AUDI,A1,A1,0.08212,10.0,57305.0
audi-a3,2004.0,1.8 I4 1.8 FSI,86000.0,101000.0,93500.0,"AED 86,000 - 101,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2004/,2026-06-12T11:25:41Z,AUDI,A3,A3,0.1327324268680578,22.0,4075.0
audi-a3,2004.0,2.0 I4 2.0 FSI,99000.0,121000.0,110000.0,"AED 99,000 - 121,000",AED,https://www.drivearabia.com/carprices/uae/audi/audi-a3/2004/,2026-06-12T11:25:41Z,AUDI,A3,A3,0.1327324268680578,22.0,4795.0
