model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at,make,model_name,model,annual_dep_rate,car_age,depreciated_value
baic-bj30,2025,1.5T I4 LV2 FWD,97800.0,98000.0,97900,"AED 97,800 - 98,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj30/2025/,2026-06-17T05:24:15Z,BAIC,BJ30,BJ30,0.2780249110320266,1,70681.0
baic-bj30,2025,1.5T I4 LV3 FWD,107100.0,108000.0,107550,"AED 107,100 - 108,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj30/2025/,2026-06-17T05:24:15Z,BAIC,BJ30,BJ30,0.2780249110320266,1,77648.0
baic-bj30,2025,1.5T I4 LV5 4WD,119700.0,120000.0,119850,"AED 119,700 - 120,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj30/2025/,2026-06-17T05:24:15Z,BAIC,BJ30,BJ30,0.2780249110320266,1,86529.0
baic-bj30,2026,1.5T I4 LV2 FWD,97800.0,98000.0,97900,"AED 97,800 - 98,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj30/2026/,2026-06-17T05:24:17Z,BAIC,BJ30,BJ30,0.2780249110320266,0,97900.0
baic-bj30,2026,1.5T I4 LV3 FWD,116900.0,117000.0,116950,"AED 116,900 - 117,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj30/2026/,2026-06-17T05:24:17Z,BAIC,BJ30,BJ30,0.2780249110320266,0,116950.0
baic-bj30,2026,1.5T I4 LV5 4WD,125900.0,126000.0,125950,"AED 125,900 - 126,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj30/2026/,2026-06-17T05:24:17Z,BAIC,BJ30,BJ30,0.2780249110320266,0,125950.0
baic-bj40,2022,2.3TC I4 Premium,118000.0,121000.0,119500,"AED 118,000 - 121,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj40/2022/,2026-06-17T05:24:19Z,BAIC,BJ40,BJ40,0.0816083151142126,4,85012.0
baic-bj40,2022,2.3TC I4 Flagship,135000.0,138000.0,136500,"AED 135,000 - 138,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj40/2022/,2026-06-17T05:24:19Z,BAIC,BJ40,BJ40,0.0816083151142126,4,97106.0
baic-bj40,2022,2.3TC I4 Champion,145000.0,148000.0,146500,"AED 145,000 - 148,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj40/2022/,2026-06-17T05:24:19Z,BAIC,BJ40,BJ40,0.0816083151142126,4,104220.0
baic-bj40,2023,2.3TC I4 Premium,118000.0,121000.0,119500,"AED 118,000 - 121,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj40/2023/,2026-06-17T05:24:21Z,BAIC,BJ40,BJ40,0.0816083151142126,3,92566.0
baic-bj40,2023,2.3TC I4 Flagship,135000.0,138000.0,136500,"AED 135,000 - 138,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj40/2023/,2026-06-17T05:24:21Z,BAIC,BJ40,BJ40,0.0816083151142126,3,105734.0
baic-bj40,2023,2.3TC I4 Champion,145000.0,148000.0,146500,"AED 145,000 - 148,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj40/2023/,2026-06-17T05:24:21Z,BAIC,BJ40,BJ40,0.0816083151142126,3,113481.0
baic-bj40,2024,2.3TC I4 Premium 4WD,118000.0,121000.0,119500,"AED 118,000 - 121,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj40/2024/,2026-06-17T05:24:23Z,BAIC,BJ40,BJ40,0.0816083151142126,2,100791.0
