model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at,make,model_name,model,annual_dep_rate,car_age,depreciated_value
dodge-challenger,2022,3.6 V6 Challenger SE,130000,131000,130500,"AED 130,000 - 131,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-challenger/2022/,2026-06-16T10:32:24Z,DODGE,CHALLENGER,CHALLENGER,0.1688063933534491,4,62290.0
dodge-challenger,2022,3.6 V6 Challenger Rallye,165000,166000,165500,"AED 165,000 - 166,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-challenger/2022/,2026-06-16T10:32:24Z,DODGE,CHALLENGER,CHALLENGER,0.1688063933534491,4,78996.0
dodge-challenger,2022,5.7 V8 Challenger R/T,173000,174000,173500,"AED 173,000 - 174,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-challenger/2022/,2026-06-16T10:32:24Z,DODGE,CHALLENGER,CHALLENGER,0.1688063933534491,4,82815.0
dodge-challenger,2023,3.6 V6 Challenger SE,130000,131000,130500,"AED 130,000 - 131,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-challenger/2023/,2026-06-16T10:32:26Z,DODGE,CHALLENGER,CHALLENGER,0.1688063933534491,3,74941.0
dodge-challenger,2023,3.6 V6 Challenger Rallye,165000,166000,165500,"AED 165,000 - 166,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-challenger/2023/,2026-06-16T10:32:26Z,DODGE,CHALLENGER,CHALLENGER,0.1688063933534491,3,95040.0
dodge-challenger,2023,5.7 V8 Challenger R/T,173000,174000,173500,"AED 173,000 - 174,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-challenger/2023/,2026-06-16T10:32:26Z,DODGE,CHALLENGER,CHALLENGER,0.1688063933534491,3,99634.0
dodge-challenger-srt,2022,6.4 V8 Challenger SRT,220000,221000,220500,"AED 220,000 - 221,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-challenger-srt/2022/,2026-06-16T10:32:32Z,DODGE,CHALLENGER SRT,CHALLENGER SRT,0.1688063933534491,4,105249.0
dodge-challenger-srt,2022,6.2SC V8 Challenger SRT Hellcat,300000,310000,305000,"AED 300,000 - 310,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-challenger-srt/2022/,2026-06-16T10:32:32Z,DODGE,CHALLENGER SRT,CHALLENGER SRT,0.1688063933534491,4,145582.0
dodge-challenger-srt,2023,6.4 V8 Challenger SRT,220000,221000,220500,"AED 220,000 - 221,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-challenger-srt/2023/,2026-06-16T10:32:34Z,DODGE,CHALLENGER SRT,CHALLENGER SRT,0.1688063933534491,3,126624.0
dodge-challenger-srt,2023,6.2SC V8 Challenger SRT Hellcat,300000,310000,305000,"AED 300,000 - 310,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-challenger-srt/2023/,2026-06-16T10:32:34Z,DODGE,CHALLENGER SRT,CHALLENGER SRT,0.1688063933534491,3,175148.0
dodge-charger,2022,3.6 V6 SXT,109900,110000,109950,"AED 109,900 - 110,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-charger/2022/,2026-06-16T10:32:39Z,DODGE,CHARGER,CHARGER,0.1641638823884936,4,53664.0
dodge-charger,2022,3.6 V6 GT,124900,125000,124950,"AED 124,900 - 125,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-charger/2022/,2026-06-16T10:32:39Z,DODGE,CHARGER,CHARGER,0.1641638823884936,4,60985.0
dodge-charger,2022,3.6 V6 GTS,139900,140000,139950,"AED 139,900 - 140,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-charger/2022/,2026-06-16T10:32:39Z,DODGE,CHARGER,CHARGER,0.1641638823884936,4,68306.0
dodge-charger,2022,5.7 V8 R/T,149900,150000,149950,"AED 149,900 - 150,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-charger/2022/,2026-06-16T10:32:39Z,DODGE,CHARGER,CHARGER,0.1641638823884936,4,73187.0
dodge-charger,2022,5.7 V8 R/T Daytona 392,159900,160000,159950,"AED 159,900 - 160,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-charger/2022/,2026-06-16T10:32:39Z,DODGE,CHARGER,CHARGER,0.1641638823884936,4,78067.0
dodge-charger,2022,5.7 V8 R/T Highline,169900,170000,169950,"AED 169,900 - 170,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-charger/2022/,2026-06-16T10:32:39Z,DODGE,CHARGER,CHARGER,0.1641638823884936,4,82948.0
dodge-charger,2022,6.4 V8 R/T Scatpack,190900,191000,190950,"AED 190,900 - 191,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-charger/2022/,2026-06-16T10:32:39Z,DODGE,CHARGER,CHARGER,0.1641638823884936,4,93197.0
dodge-charger,2023,3.6 V6 SXT,109900,110000,109950,"AED 109,900 - 110,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-charger/2023/,2026-06-16T10:32:41Z,DODGE,CHARGER,CHARGER,0.1641638823884936,3,64203.0
dodge-charger,2023,3.6 V6 GT,124900,125000,124950,"AED 124,900 - 125,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-charger/2023/,2026-06-16T10:32:41Z,DODGE,CHARGER,CHARGER,0.1641638823884936,3,72962.0
dodge-charger,2023,3.6 V6 GTS,139900,140000,139950,"AED 139,900 - 140,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-charger/2023/,2026-06-16T10:32:41Z,DODGE,CHARGER,CHARGER,0.1641638823884936,3,81721.0
dodge-charger,2023,5.7 V8 R/T,149900,150000,149950,"AED 149,900 - 150,000",AED,https://www.drivearabia.com/carprices/uae/dodge/dodge-charger/2023/,2026-06-16T10:32:41Z,DODGE,CHARGER,CHARGER,0.1641638823884936,3,87561.0
