model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at,make,model_name,model,annual_dep_rate,car_age,depreciated_value
ford-bronco,2021,2.3T Big Bend,193095,193100,193098,"AED 193,095 - 193,100",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2021/,2026-06-15T08:10:34Z,FORD,BRONCO,BRONCO,-0.0970119793956429,5,306785.0
ford-bronco,2021,2.7T Outer Banks,256095,256100,256098,"AED 256,095 - 256,100",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2021/,2026-06-15T08:10:34Z,FORD,BRONCO,BRONCO,-0.0970119793956429,5,406877.0
ford-bronco,2021,2.7T WildTrak,273945,274000,273972,"AED 273,945 - 274,000",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2021/,2026-06-15T08:10:34Z,FORD,BRONCO,BRONCO,-0.0970119793956429,5,435274.0
ford-bronco,2021,2.7T Badlands,283395,284000,283698,"AED 283,395 - 284,000",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2021/,2026-06-15T08:10:34Z,FORD,BRONCO,BRONCO,-0.0970119793956429,5,450727.0
ford-bronco,2022,2.3T Big Bend,193095,193100,193098,"AED 193,095 - 193,100",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2022/,2026-06-15T08:10:36Z,FORD,BRONCO,BRONCO,-0.0970119793956429,4,279655.0
ford-bronco,2022,2.7T Outer Banks,256095,256100,256098,"AED 256,095 - 256,100",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2022/,2026-06-15T08:10:36Z,FORD,BRONCO,BRONCO,-0.0970119793956429,4,370896.0
ford-bronco,2022,2.7T WildTrak,273945,274000,273972,"AED 273,945 - 274,000",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2022/,2026-06-15T08:10:36Z,FORD,BRONCO,BRONCO,-0.0970119793956429,4,396782.0
ford-bronco,2022,2.7T Badlands,283395,284000,283698,"AED 283,395 - 284,000",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2022/,2026-06-15T08:10:36Z,FORD,BRONCO,BRONCO,-0.0970119793956429,4,410867.0
ford-bronco,2023,2.3T Big Bend,193095,193100,193098,"AED 193,095 - 193,100",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2023/,2026-06-15T08:10:38Z,FORD,BRONCO,BRONCO,-0.0970119793956429,3,254925.0
ford-bronco,2023,2.7T Outer Banks,256095,256100,256098,"AED 256,095 - 256,100",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2023/,2026-06-15T08:10:38Z,FORD,BRONCO,BRONCO,-0.0970119793956429,3,338096.0
ford-bronco,2023,2.7T WildTrak,273945,274000,273972,"AED 273,945 - 274,000",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2023/,2026-06-15T08:10:38Z,FORD,BRONCO,BRONCO,-0.0970119793956429,3,361693.0
ford-bronco,2023,2.7T Badlands,283395,284000,283698,"AED 283,395 - 284,000",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2023/,2026-06-15T08:10:38Z,FORD,BRONCO,BRONCO,-0.0970119793956429,3,374533.0
ford-bronco,2024,2.3T Big Bend,193095,193100,193098,"AED 193,095 - 193,100",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2024/,2026-06-15T08:10:40Z,FORD,BRONCO,BRONCO,-0.0970119793956429,2,232381.0
ford-bronco,2024,2.7T Outer Banks,256095,256100,256098,"AED 256,095 - 256,100",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2024/,2026-06-15T08:10:40Z,FORD,BRONCO,BRONCO,-0.0970119793956429,2,308197.0
ford-bronco,2024,2.7T WildTrak,273945,274000,273972,"AED 273,945 - 274,000",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2024/,2026-06-15T08:10:40Z,FORD,BRONCO,BRONCO,-0.0970119793956429,2,329708.0
ford-bronco,2024,2.7T Badlands,283395,284000,283698,"AED 283,395 - 284,000",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2024/,2026-06-15T08:10:40Z,FORD,BRONCO,BRONCO,-0.0970119793956429,2,341412.0
ford-bronco,2025,2.3TC Big Bend 4WD,193095,193100,193098,"AED 193,095 - 193,100",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2025/,2026-06-15T08:10:41Z,FORD,BRONCO,BRONCO,-0.0970119793956429,1,211831.0
ford-bronco,2025,2.7TC Outer Banks 4WD,256095,256100,256098,"AED 256,095 - 256,100",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2025/,2026-06-15T08:10:41Z,FORD,BRONCO,BRONCO,-0.0970119793956429,1,280943.0
ford-bronco,2025,2.7TC WildTrak 4WD,273945,274000,273972,"AED 273,945 - 274,000",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2025/,2026-06-15T08:10:41Z,FORD,BRONCO,BRONCO,-0.0970119793956429,1,300551.0
ford-bronco,2025,2.7TC Badlands 4WD,283395,284000,283698,"AED 283,395 - 284,000",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2025/,2026-06-15T08:10:41Z,FORD,BRONCO,BRONCO,-0.0970119793956429,1,311220.0
ford-bronco,2026,2.3TC Big Bend 4WD,193095,193100,193098,"AED 193,095 - 193,100",AED,https://www.drivearabia.com/carprices/uae/ford/ford-bronco/2026/,2026-06-15T08:10:43Z,FORD,BRONCO,BRONCO,-0.0970119793956429,0,193098.0
