model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at,make,model_name,model,annual_dep_rate,car_age,depreciated_value
geely-cityray,2026,1.5TC I4 GC FWD,86500,87000,86750,"AED 86,500 - 87,000",AED,https://www.drivearabia.com/carprices/uae/geely/geely-cityray/2026/,2026-06-16T11:12:49Z,GEELY,CITYRAY,CITYRAY,0.283296071542636,0,86750.0
geely-cityray,2026,1.5TC I4 GK FWD,91500,92000,91750,"AED 91,500 - 92,000",AED,https://www.drivearabia.com/carprices/uae/geely/geely-cityray/2026/,2026-06-16T11:12:49Z,GEELY,CITYRAY,CITYRAY,0.283296071542636,0,91750.0
geely-cityray,2026,1.5TC I4 GF+ FWD,97900,98000,97950,"AED 97,900 - 98,000",AED,https://www.drivearabia.com/carprices/uae/geely/geely-cityray/2026/,2026-06-16T11:12:49Z,GEELY,CITYRAY,CITYRAY,0.283296071542636,0,97950.0
geely-coolray,2023,GL,67500,68000,67750,"AED 67,500 - 68,000",AED,https://www.drivearabia.com/carprices/uae/geely/geely-coolray/2023/,2026-06-16T11:12:58Z,GEELY,COOLRAY,COOLRAY,0.1003733329953031,3,49328.0
geely-coolray,2023,GK,73000,74000,73500,"AED 73,000 - 74,000",AED,https://www.drivearabia.com/carprices/uae/geely/geely-coolray/2023/,2026-06-16T11:12:58Z,GEELY,COOLRAY,COOLRAY,0.1003733329953031,3,53515.0
geely-coolray,2023,GF,79235,82000,80618,"AED 79,235 - 82,000",AED,https://www.drivearabia.com/carprices/uae/geely/geely-coolray/2023/,2026-06-16T11:12:58Z,GEELY,COOLRAY,COOLRAY,0.1003733329953031,3,58697.0
geely-coolray,2024,1.5TC I4 GL FWD,74500,75500,75000,"AED 74,500 - 75,500",AED,https://www.drivearabia.com/carprices/uae/geely/geely-coolray/2024/,2026-06-16T11:13:00Z,GEELY,COOLRAY,COOLRAY,0.1003733329953031,2,60700.0
geely-coolray,2024,1.5TC I4 GK FWD,80500,81500,81000,"AED 80,500 - 81,500",AED,https://www.drivearabia.com/carprices/uae/geely/geely-coolray/2024/,2026-06-16T11:13:00Z,GEELY,COOLRAY,COOLRAY,0.1003733329953031,2,65556.0
geely-coolray,2024,1.5TC I4 GF FWD,86900,87900,87400,"AED 86,900 - 87,900",AED,https://www.drivearabia.com/carprices/uae/geely/geely-coolray/2024/,2026-06-16T11:13:00Z,GEELY,COOLRAY,COOLRAY,0.1003733329953031,2,70735.0
geely-coolray,2024,1.5TC I4 GF+ FWD,88900,89900,89400,"AED 88,900 - 89,900",AED,https://www.drivearabia.com/carprices/uae/geely/geely-coolray/2024/,2026-06-16T11:13:00Z,GEELY,COOLRAY,COOLRAY,0.1003733329953031,2,72354.0
geely-coolray,2025,1.5TC I4 GL FWD,74500,75500,75000,"AED 74,500 - 75,500",AED,https://www.drivearabia.com/carprices/uae/geely/geely-coolray/2025/,2026-06-16T11:13:02Z,GEELY,COOLRAY,COOLRAY,0.1003733329953031,1,67472.0
