model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at,make,model_name,model,annual_dep_rate,car_age,depreciated_value
kia-carens,2024,I.5 I4 GL FWD,67250,68250,67750,"AED 68,250 - 67,250",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carens/2024/,2026-06-16T09:23:18Z,KIA,CARENS,CARENS,0.135022426093636,2,50690.0
kia-carens,2024,I.5 I4 GLS FWD,78700,79700,79200,"AED 78,700 - 79,700",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carens/2024/,2026-06-16T09:23:18Z,KIA,CARENS,CARENS,0.135022426093636,2,59256.0
kia-carens,2024,1.4TC I4 Top FWD,94500,95500,95000,"AED 94,500 - 95,500",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carens/2024/,2026-06-16T09:23:18Z,KIA,CARENS,CARENS,0.135022426093636,2,71078.0
kia-carens,2025,I.5 I4 GL FWD,78750,79750,79250,"AED 78,750 - 79,750",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carens/2025/,2026-06-16T09:23:20Z,KIA,CARENS,CARENS,0.135022426093636,1,68549.0
kia-carens,2025,1.4TC I4 Top FWD,94500,95500,95000,"AED 94,500 - 95,500",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carens/2025/,2026-06-16T09:23:20Z,KIA,CARENS,CARENS,0.135022426093636,1,82173.0
kia-carens,2026,I.5 I4 GL FWD,78750,79750,79250,"AED 78,750 - 79,750",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carens/2026/,2026-06-16T09:23:22Z,KIA,CARENS,CARENS,0.135022426093636,0,79250.0
kia-carens,2026,1.4TC I4 Top FWD,94500,95500,95000,"AED 94,500 - 95,500",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carens/2026/,2026-06-16T09:23:22Z,KIA,CARENS,CARENS,0.135022426093636,0,95000.0
kia-carnival,2022,GDI L,122900,123000,122950,"AED 122,900 - 123,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carnival/2022/,2026-06-16T09:23:24Z,KIA,CARNIVAL,CARNIVAL,0.1445052529821421,4,65856.0
kia-carnival,2022,GDI EX,160000,161000,160500,"AED 160,000 - 161,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carnival/2022/,2026-06-16T09:23:24Z,KIA,CARNIVAL,CARNIVAL,0.1445052529821421,4,85970.0
kia-carnival,2023,GDI L,122900,123000,122950,"AED 122,900 - 123,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carnival/2023/,2026-06-16T09:23:26Z,KIA,CARNIVAL,CARNIVAL,0.1445052529821421,3,76980.0
kia-carnival,2023,GDI EX,160000,161000,160500,"AED 160,000 - 161,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carnival/2023/,2026-06-16T09:23:26Z,KIA,CARNIVAL,CARNIVAL,0.1445052529821421,3,100491.0
kia-carnival,2024,GDI L,139000,140000,139500,"AED 139,000 - 140,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carnival/2024/,2026-06-16T09:23:27Z,KIA,CARNIVAL,CARNIVAL,0.1445052529821421,2,102096.0
kia-carnival,2024,GDI EX,179000,180000,179500,"AED 179,000 - 180,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carnival/2024/,2026-06-16T09:23:27Z,KIA,CARNIVAL,CARNIVAL,0.1445052529821421,2,131371.0
kia-carnival,2025,3.5 V6 EX FWD,205000,206000,205500,"AED 205,000 - 206,000",AED,https://www.drivearabia.com/carprices/uae/kia/kia-carnival/2025/,2026-06-16T09:23:29Z,KIA,CARNIVAL,CARNIVAL,0.1445052529821421,1,175804.0
