model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at,make,model_name,model,annual_dep_rate,car_age,depreciated_value
lincoln-aviator,2022,Aviator Base,243495,245000,244248,"AED 243,495 - 245,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2022/,2026-06-16T10:47:36Z,LINCOLN,AVIATOR,AVIATOR,0.1372493014820618,4,135323.0
lincoln-aviator,2022,Aviator Reserve,280245,282000,281122,"AED 280,245 - 282,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2022/,2026-06-16T10:47:36Z,LINCOLN,AVIATOR,AVIATOR,0.1372493014820618,4,155753.0
lincoln-aviator,2022,Aviator Reserve 2,295995,296000,295998,"AED 295,995 - 296,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2022/,2026-06-16T10:47:36Z,LINCOLN,AVIATOR,AVIATOR,0.1372493014820618,4,163995.0
lincoln-aviator,2022,Aviator Presidential,325395,326000,325698,"AED 325,395 - 326,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2022/,2026-06-16T10:47:36Z,LINCOLN,AVIATOR,AVIATOR,0.1372493014820618,4,180450.0
lincoln-aviator,2023,Aviator Base,243495,245000,244248,"AED 243,495 - 245,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2023/,2026-06-16T10:47:38Z,LINCOLN,AVIATOR,AVIATOR,0.1372493014820618,3,156851.0
lincoln-aviator,2023,Aviator Reserve,280245,282000,281122,"AED 280,245 - 282,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2023/,2026-06-16T10:47:38Z,LINCOLN,AVIATOR,AVIATOR,0.1372493014820618,3,180531.0
lincoln-aviator,2023,Aviator Reserve 2,295995,296000,295998,"AED 295,995 - 296,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2023/,2026-06-16T10:47:38Z,LINCOLN,AVIATOR,AVIATOR,0.1372493014820618,3,190084.0
lincoln-aviator,2023,Aviator Presidential,325395,326000,325698,"AED 325,395 - 326,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2023/,2026-06-16T10:47:38Z,LINCOLN,AVIATOR,AVIATOR,0.1372493014820618,3,209156.0
lincoln-aviator,2024,Aviator Base,243495,245000,244248,"AED 243,495 - 245,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2024/,2026-06-16T10:47:40Z,LINCOLN,AVIATOR,AVIATOR,0.1372493014820618,2,181803.0
lincoln-aviator,2024,Aviator Reserve,280245,282000,281122,"AED 280,245 - 282,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2024/,2026-06-16T10:47:40Z,LINCOLN,AVIATOR,AVIATOR,0.1372493014820618,2,209250.0
lincoln-aviator,2024,Aviator Reserve 2,295995,296000,295998,"AED 295,995 - 296,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2024/,2026-06-16T10:47:40Z,LINCOLN,AVIATOR,AVIATOR,0.1372493014820618,2,220323.0
lincoln-aviator,2024,Aviator Presidential,325395,326000,325698,"AED 325,395 - 326,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2024/,2026-06-16T10:47:40Z,LINCOLN,AVIATOR,AVIATOR,0.1372493014820618,2,242430.0
lincoln-aviator,2025,3.0TC V6 Reserve 4WD,296000,300000,298000,"AED 296,000 - 300,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2025/,2026-06-16T10:47:42Z,LINCOLN,AVIATOR,AVIATOR,0.1372493014820618,1,257100.0
lincoln-aviator,2025,3.0TC V6 Presidential 4WD,325395,326000,325698,"AED 325,395 - 326,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2025/,2026-06-16T10:47:42Z,LINCOLN,AVIATOR,AVIATOR,0.1372493014820618,1,280996.0
lincoln-aviator,2026,3.0TC V6 Reserve 4WD,296000,300000,298000,"AED 296,000 - 300,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2026/,2026-06-16T10:47:44Z,LINCOLN,AVIATOR,AVIATOR,0.1372493014820618,0,298000.0
lincoln-aviator,2026,3.0TC V6 Presidential 4WD,325395,326000,325698,"AED 325,395 - 326,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2026/,2026-06-16T10:47:44Z,LINCOLN,AVIATOR,AVIATOR,0.1372493014820618,0,325698.0
lincoln-corsair,2022,2.0T Premier AWD,184695,185000,184848,"AED 184,695 - 185,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-corsair/2022/,2026-06-16T10:47:52Z,LINCOLN,CORSAIR,CORSAIR,0.1888791762794411,4,80012.0
lincoln-corsair,2022,2.0T Reserve AWD,209895,210000,209948,"AED 209,895 - 210,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-corsair/2022/,2026-06-16T10:47:52Z,LINCOLN,CORSAIR,CORSAIR,0.1888791762794411,4,90877.0
lincoln-corsair,2023,2.0T Base AWD,184695,185000,184848,"AED 184,695 - 185,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-corsair/2023/,2026-06-16T10:47:53Z,LINCOLN,CORSAIR,CORSAIR,0.1888791762794411,3,98644.0
lincoln-corsair,2023,2.0T Reserve AWD,209895,210000,209948,"AED 209,895 - 210,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-corsair/2023/,2026-06-16T10:47:53Z,LINCOLN,CORSAIR,CORSAIR,0.1888791762794411,3,112039.0
lincoln-nautilus,2022,2.0T Base,213045,214000,213522,"AED 213,045 - 214,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-nautilus/2022/,2026-06-16T10:48:27Z,LINCOLN,NAUTILUS,NAUTILUS,0.117613065339465,4,129443.0
lincoln-nautilus,2022,2.7T Reserve 1,239295,240000,239648,"AED 239,295 - 240,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-nautilus/2022/,2026-06-16T10:48:27Z,LINCOLN,NAUTILUS,NAUTILUS,0.117613065339465,4,145281.0
lincoln-nautilus,2022,2.7T Reserve 2,261345,262000,261672,"AED 261,345 - 262,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-nautilus/2022/,2026-06-16T10:48:27Z,LINCOLN,NAUTILUS,NAUTILUS,0.117613065339465,4,158633.0
lincoln-nautilus,2023,2.0T Base,213045,214000,213522,"AED 213,045 - 214,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-nautilus/2023/,2026-06-16T10:48:29Z,LINCOLN,NAUTILUS,NAUTILUS,0.117613065339465,3,146697.0
lincoln-nautilus,2023,2.7T Reserve 1,239295,240000,239648,"AED 239,295 - 240,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-nautilus/2023/,2026-06-16T10:48:29Z,LINCOLN,NAUTILUS,NAUTILUS,0.117613065339465,3,164646.0
lincoln-nautilus,2023,2.7T Reserve 2,261345,262000,261672,"AED 261,345 - 262,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-nautilus/2023/,2026-06-16T10:48:29Z,LINCOLN,NAUTILUS,NAUTILUS,0.117613065339465,3,179777.0
lincoln-nautilus,2024,2.0TC I4 Reserve 1 4WD,250845,251000,250922,"AED 250,845 - 251,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-nautilus/2024/,2026-06-16T10:48:31Z,LINCOLN,NAUTILUS,NAUTILUS,0.117613065339465,2,195370.0
lincoln-nautilus,2024,2.0TC I4 Reserve 2 4WD,257145,258000,257572,"AED 257,145 - 258,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-nautilus/2024/,2026-06-16T10:48:31Z,LINCOLN,NAUTILUS,NAUTILUS,0.117613065339465,2,200547.0
lincoln-nautilus,2024,2.0TC I4 Reserve 3 4WD,283395,285000,284198,"AED 283,395 - 285,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-nautilus/2024/,2026-06-16T10:48:31Z,LINCOLN,NAUTILUS,NAUTILUS,0.117613065339465,2,221278.0
lincoln-nautilus,2024,2.0TC+E I4 Presidential 4WD,314895,316000,315448,"AED 314,895 - 316,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-nautilus/2024/,2026-06-16T10:48:31Z,LINCOLN,NAUTILUS,NAUTILUS,0.117613065339465,2,245610.0
lincoln-nautilus,2025,2.0TC I4 Reserve 1 4WD,250845,251000,250922,"AED 250,845 - 251,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-nautilus/2025/,2026-06-16T10:48:33Z,LINCOLN,NAUTILUS,NAUTILUS,0.117613065339465,1,221410.0
lincoln-nautilus,2025,2.0TC I4 Reserve 2 4WD,257145,258000,257572,"AED 257,145 - 258,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-nautilus/2025/,2026-06-16T10:48:33Z,LINCOLN,NAUTILUS,NAUTILUS,0.117613065339465,1,227278.0
lincoln-nautilus,2025,2.0TC I4 Reserve 3 4WD,283395,285000,284198,"AED 283,395 - 285,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-nautilus/2025/,2026-06-16T10:48:33Z,LINCOLN,NAUTILUS,NAUTILUS,0.117613065339465,1,250773.0
lincoln-nautilus,2025,2.0TC+E I4 Presidential 4WD,314895,316000,315448,"AED 314,895 - 316,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-nautilus/2025/,2026-06-16T10:48:33Z,LINCOLN,NAUTILUS,NAUTILUS,0.117613065339465,1,278347.0
lincoln-nautilus,2026,2.0TC I4 Reserve 1 4WD,250845,251000,250922,"AED 250,845 - 251,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-nautilus/2026/,2026-06-16T10:48:35Z,LINCOLN,NAUTILUS,NAUTILUS,0.117613065339465,0,250922.0
lincoln-nautilus,2026,2.0TC I4 Reserve 2 4WD,257145,258000,257572,"AED 257,145 - 258,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-nautilus/2026/,2026-06-16T10:48:35Z,LINCOLN,NAUTILUS,NAUTILUS,0.117613065339465,0,257572.0
lincoln-nautilus,2026,2.0TC I4 Reserve 3 4WD,283395,285000,284198,"AED 283,395 - 285,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-nautilus/2026/,2026-06-16T10:48:35Z,LINCOLN,NAUTILUS,NAUTILUS,0.117613065339465,0,284198.0
lincoln-nautilus,2026,2.0TC+E I4 Presidential 4WD,314895,316000,315448,"AED 314,895 - 316,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-nautilus/2026/,2026-06-16T10:48:35Z,LINCOLN,NAUTILUS,NAUTILUS,0.117613065339465,0,315448.0
lincoln-navigator,2022,Select,364245,365000,364622,"AED 364,245 - 365,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-navigator/2022/,2026-06-16T10:48:37Z,LINCOLN,NAVIGATOR,NAVIGATOR,0.1780754510970073,4,166407.0
lincoln-navigator,2022,Reserve,364245,365000,364622,"AED 364,245 - 365,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-navigator/2022/,2026-06-16T10:48:37Z,LINCOLN,NAVIGATOR,NAVIGATOR,0.1780754510970073,4,166407.0
lincoln-navigator,2022,Presidential,398895,400000,399448,"AED 398,895 - 400,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-navigator/2022/,2026-06-16T10:48:37Z,LINCOLN,NAVIGATOR,NAVIGATOR,0.1780754510970073,4,182301.0
lincoln-navigator,2023,Select,369495,370000,369748,"AED 369,495 - 370,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-navigator/2023/,2026-06-16T10:48:39Z,LINCOLN,NAVIGATOR,NAVIGATOR,0.1780754510970073,3,205306.0
lincoln-navigator,2023,Reserve,411495,412000,411748,"AED 411,495 - 412,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-navigator/2023/,2026-06-16T10:48:39Z,LINCOLN,NAVIGATOR,NAVIGATOR,0.1780754510970073,3,228627.0
lincoln-navigator,2023,Presidential,447195,448000,447598,"AED 447,195 - 448,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-navigator/2023/,2026-06-16T10:48:39Z,LINCOLN,NAVIGATOR,NAVIGATOR,0.1780754510970073,3,248533.0
lincoln-navigator,2024,Select,369495,370000,369748,"AED 369,495 - 370,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-navigator/2024/,2026-06-16T10:48:41Z,LINCOLN,NAVIGATOR,NAVIGATOR,0.1780754510970073,2,249787.0
lincoln-navigator,2024,Reserve,411495,412000,411748,"AED 411,495 - 412,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-navigator/2024/,2026-06-16T10:48:41Z,LINCOLN,NAVIGATOR,NAVIGATOR,0.1780754510970073,2,278160.0
lincoln-navigator,2024,Presidential,447195,448000,447598,"AED 447,195 - 448,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-navigator/2024/,2026-06-16T10:48:41Z,LINCOLN,NAVIGATOR,NAVIGATOR,0.1780754510970073,2,302379.0
lincoln-navigator,2025,Select,369495,370000,369748,"AED 369,495 - 370,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-navigator/2025/,2026-06-16T10:48:43Z,LINCOLN,NAVIGATOR,NAVIGATOR,0.1780754510970073,1,303905.0
lincoln-navigator,2025,Reserve,411495,412000,411748,"AED 411,495 - 412,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-navigator/2025/,2026-06-16T10:48:43Z,LINCOLN,NAVIGATOR,NAVIGATOR,0.1780754510970073,1,338426.0
lincoln-navigator,2025,Presidential,447195,448000,447598,"AED 447,195 - 448,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-navigator/2025/,2026-06-16T10:48:43Z,LINCOLN,NAVIGATOR,NAVIGATOR,0.1780754510970073,1,367892.0
lincoln-navigator,2026,Select,369495,370000,369748,"AED 369,495 - 370,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-navigator/2026/,2026-06-16T10:48:45Z,LINCOLN,NAVIGATOR,NAVIGATOR,0.1780754510970073,0,369748.0
lincoln-navigator,2026,Reserve,411495,412000,411748,"AED 411,495 - 412,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-navigator/2026/,2026-06-16T10:48:45Z,LINCOLN,NAVIGATOR,NAVIGATOR,0.1780754510970073,0,411748.0
lincoln-navigator,2026,Presidential,447195,448000,447598,"AED 447,195 - 448,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-navigator/2026/,2026-06-16T10:48:45Z,LINCOLN,NAVIGATOR,NAVIGATOR,0.1780754510970073,0,447598.0
