model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at,make,model_name,model,annual_dep_rate,car_age,depreciated_value
mazda-2,2022,S Grade,47900,48000,47950,"AED 47,900 - 48,000",AED,https://www.drivearabia.com/carprices/uae/mazda/mazda-2/2022/,2026-06-16T09:27:24Z,MAZDA,2,2,0.1721571365832204,4,22521.0
mazda-2,2022,V Grade,51900,52000,51950,"AED 51,900 - 52,000",AED,https://www.drivearabia.com/carprices/uae/mazda/mazda-2/2022/,2026-06-16T09:27:24Z,MAZDA,2,2,0.1721571365832204,4,24399.0
mazda-2,2022,R Grade,58900,59000,58950,"AED 58,900 - 59,000",AED,https://www.drivearabia.com/carprices/uae/mazda/mazda-2/2022/,2026-06-16T09:27:24Z,MAZDA,2,2,0.1721571365832204,4,27687.0
mazda-3,2023,2.0 Allure,99900,100000,99950,"AED 99,900 - 100,000",AED,https://www.drivearabia.com/carprices/uae/mazda/mazda-3/2023/,2026-06-16T09:27:40Z,MAZDA,3,3,0.1335688359555302,3,65011.0
mazda-3,2023,2.0 Intense,110000,115000,112500,"AED 110,000 - 115,000",AED,https://www.drivearabia.com/carprices/uae/mazda/mazda-3/2023/,2026-06-16T09:27:40Z,MAZDA,3,3,0.1335688359555302,3,73174.0
mazda-3,2024,2.0 Allure,99900,100000,99950,"AED 99,900 - 100,000",AED,https://www.drivearabia.com/carprices/uae/mazda/mazda-3/2024/,2026-06-16T09:27:42Z,MAZDA,3,3,0.1335688359555302,2,75033.0
mazda-3,2024,2.0 Intense,110000,115000,112500,"AED 110,000 - 115,000",AED,https://www.drivearabia.com/carprices/uae/mazda/mazda-3/2024/,2026-06-16T09:27:42Z,MAZDA,3,3,0.1335688359555302,2,84454.0
mazda-3,2025,2.0 l4 Allure FWD,89900,90000,89950,"AED 89,900 - 90,000",AED,https://www.drivearabia.com/carprices/uae/mazda/mazda-3/2025/,2026-06-16T09:27:44Z,MAZDA,3,3,0.1335688359555302,1,77935.0
mazda-3,2025,2.0 l4 Intense FWD,109000,110000,109500,"AED 109,000 - 110,000",AED,https://www.drivearabia.com/carprices/uae/mazda/mazda-3/2025/,2026-06-16T09:27:44Z,MAZDA,3,3,0.1335688359555302,1,94874.0
mazda-3,2026,Intense FWD,109000,110000,109500,"AED 109,000 - 110,000",AED,https://www.drivearabia.com/carprices/uae/mazda/mazda-3/2026/,2026-06-16T09:27:45Z,MAZDA,3,3,0.1335688359555302,0,109500.0
mazda-3-sedan,2022,2.0L Evolve,81000,82000,81500,"AED 81,000 - 82,000",AED,https://www.drivearabia.com/carprices/uae/mazda/mazda-3-sedan/2022/,2026-06-16T09:27:47Z,MAZDA,3 SEDAN,3 SEDAN,0.1335688359555302,4,45930.0
mazda-3-sedan,2022,2.0L Avant,95900,96000,95950,"AED 95,900 - 96,000",AED,https://www.drivearabia.com/carprices/uae/mazda/mazda-3-sedan/2022/,2026-06-16T09:27:47Z,MAZDA,3 SEDAN,3 SEDAN,0.1335688359555302,4,54073.0
mazda-3-sedan,2023,2.0L Evolve,81000,82000,81500,"AED 81,000 - 82,000",AED,https://www.drivearabia.com/carprices/uae/mazda/mazda-3-sedan/2023/,2026-06-16T09:27:49Z,MAZDA,3 SEDAN,3 SEDAN,0.1335688359555302,3,53010.0
mazda-3-sedan,2023,2.0L Avant,95900,96000,95950,"AED 95,900 - 96,000",AED,https://www.drivearabia.com/carprices/uae/mazda/mazda-3-sedan/2023/,2026-06-16T09:27:49Z,MAZDA,3 SEDAN,3 SEDAN,0.1335688359555302,3,62409.0
mazda-3-sedan,2024,2.0L l4 Evolve FWD,82000,86000,84000,"AED 86,000 - 82,000",AED,https://www.drivearabia.com/carprices/uae/mazda/mazda-3-sedan/2024/,2026-06-16T09:27:51Z,MAZDA,3 SEDAN,3 SEDAN,0.1335688359555302,2,63059.0
