model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at,make,model_name,model,annual_dep_rate,car_age,depreciated_value
mini-clubman,2022.0,Cooper,146000.0,150000.0,148000.0,"AED 146,000 - 150,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-clubman/2022/,2026-06-16T09:38:22Z,MINI,CLUBMAN,CLUBMAN,0.1309192362491011,4.0,84431.0
mini-clubman,2022.0,Cooper S,175000.0,185000.0,180000.0,"AED 175,000 - 185,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-clubman/2022/,2026-06-16T09:38:22Z,MINI,CLUBMAN,CLUBMAN,0.1309192362491011,4.0,102686.0
mini-clubman,2023.0,Cooper,146000.0,150000.0,148000.0,"AED 146,000 - 150,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-clubman/2023/,2026-06-16T09:38:24Z,MINI,CLUBMAN,CLUBMAN,0.1309192362491011,3.0,97150.0
mini-clubman,2023.0,Cooper S,175000.0,185000.0,180000.0,"AED 175,000 - 185,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-clubman/2023/,2026-06-16T09:38:24Z,MINI,CLUBMAN,CLUBMAN,0.1309192362491011,3.0,118155.0
mini-cooper,2022.0,Cooper,145950.0,146000.0,145975.0,"AED 145,950 - 146,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2022/,2026-06-16T09:38:29Z,MINI,COOPER,COOPER,0.1139599608604562,4.0,89969.0
mini-cooper,2022.0,Cooper S,166950.0,167000.0,166975.0,"AED 166,950 - 167,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2022/,2026-06-16T09:38:29Z,MINI,COOPER,COOPER,0.1139599608604562,4.0,102912.0
mini-cooper,2022.0,Paddy Hopkirk,182600.0,183000.0,182800.0,"AED 182,600 - 183,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2022/,2026-06-16T09:38:29Z,MINI,COOPER,COOPER,0.1139599608604562,4.0,112665.0
mini-cooper,2022.0,John Cooper Works,198450.0,199000.0,198725.0,"AED 198,450 - 199,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2022/,2026-06-16T09:38:29Z,MINI,COOPER,COOPER,0.1139599608604562,4.0,122480.0
mini-cooper,2023.0,Cooper,145950.0,146000.0,145975.0,"AED 145,950 - 146,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2023/,2026-06-16T09:38:31Z,MINI,COOPER,COOPER,0.1139599608604562,3.0,101540.0
mini-cooper,2023.0,Cooper S,166950.0,167000.0,166975.0,"AED 166,950 - 167,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2023/,2026-06-16T09:38:31Z,MINI,COOPER,COOPER,0.1139599608604562,3.0,116148.0
mini-cooper,2023.0,Paddy Hopkirk,182600.0,183000.0,182800.0,"AED 182,600 - 183,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2023/,2026-06-16T09:38:31Z,MINI,COOPER,COOPER,0.1139599608604562,3.0,127156.0
mini-cooper,2023.0,John Cooper Works,198450.0,199000.0,198725.0,"AED 198,450 - 199,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2023/,2026-06-16T09:38:31Z,MINI,COOPER,COOPER,0.1139599608604562,3.0,138233.0
mini-cooper,2024.0,1.5TC I4 Cooper FWD,145950.0,146000.0,145975.0,"AED 145,950 - 146,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2024/,2026-06-16T09:38:33Z,MINI,COOPER,COOPER,0.1139599608604562,2.0,114600.0
mini-cooper,2024.0,2.0TC I4 Cooper S FWD,166950.0,167000.0,166975.0,"AED 166,950 - 167,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2024/,2026-06-16T09:38:33Z,MINI,COOPER,COOPER,0.1139599608604562,2.0,131087.0
mini-cooper,2024.0,2.0TC I4 John Cooper Works FWD,198450.0,199000.0,198725.0,"AED 198,450 - 199,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2024/,2026-06-16T09:38:33Z,MINI,COOPER,COOPER,0.1139599608604562,2.0,156012.0
mini-cooper,2025.0,1.5TC I3 Cooper C FWD,140000.0,150000.0,145000.0,"AED 140,000 - 150,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2025/,2026-06-16T09:38:35Z,MINI,COOPER,COOPER,0.1139599608604562,1.0,128476.0
mini-cooper,2025.0,2.0TC I4 Cooper S Luxury FWD,180000.0,190000.0,185000.0,"AED 180,000 - 190,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2025/,2026-06-16T09:38:35Z,MINI,COOPER,COOPER,0.1139599608604562,1.0,163917.0
mini-cooper,2026.0,1.5TC I3 Cooper C FWD,140000.0,150000.0,145000.0,"AED 140,000 - 150,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2026/,2026-06-16T09:38:37Z,MINI,COOPER,COOPER,0.1139599608604562,0.0,145000.0
mini-cooper,2026.0,2.0TC I4 Cooper S Luxury FWD,180000.0,190000.0,185000.0,"AED 180,000 - 190,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper/2026/,2026-06-16T09:38:37Z,MINI,COOPER,COOPER,0.1139599608604562,0.0,185000.0
mini-cooper-5-door,2022.0,Cooper,140000.0,145000.0,142500.0,"AED 140,000 - 145,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper-5-door/2022/,2026-06-16T09:38:39Z,MINI,COOPER 5-DOOR,COOPER 5-DOOR,0.1238820122312649,4.0,83959.0
mini-cooper-5-door,2022.0,Cooper S,170000.0,175000.0,172500.0,"AED 170,000 - 175,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper-5-door/2022/,2026-06-16T09:38:39Z,MINI,COOPER 5-DOOR,COOPER 5-DOOR,0.1238820122312649,4.0,101634.0
mini-cooper-5-door,2023.0,Cooper,140000.0,145000.0,142500.0,"AED 140,000 - 145,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper-5-door/2023/,2026-06-16T09:38:41Z,MINI,COOPER 5-DOOR,COOPER 5-DOOR,0.1238820122312649,3.0,95830.0
mini-cooper-5-door,2023.0,Cooper S,170000.0,175000.0,172500.0,"AED 170,000 - 175,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper-5-door/2023/,2026-06-16T09:38:41Z,MINI,COOPER 5-DOOR,COOPER 5-DOOR,0.1238820122312649,3.0,116005.0
mini-cooper-5-door,2024.0,Cooper,140000.0,145000.0,142500.0,"AED 140,000 - 145,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper-5-door/2024/,2026-06-16T09:38:43Z,MINI,COOPER 5-DOOR,COOPER 5-DOOR,0.1238820122312649,2.0,109381.0
mini-cooper-5-door,2024.0,Cooper S,170000.0,175000.0,172500.0,"AED 170,000 - 175,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper-5-door/2024/,2026-06-16T09:38:43Z,MINI,COOPER 5-DOOR,COOPER 5-DOOR,0.1238820122312649,2.0,132408.0
mini-cooper-5-door,2025.0,1.5TC I3 Cooper C FWD,129000.0,139000.0,134000.0,"AED 129,000 - 139,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper-5-door/2025/,2026-06-16T09:38:45Z,MINI,COOPER 5-DOOR,COOPER 5-DOOR,0.1238820122312649,1.0,117400.0
mini-cooper-5-door,2025.0,2.0TC I4 Cooper S FWD,159600.0,169600.0,164600.0,"AED 159,600 - 169,600",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper-5-door/2025/,2026-06-16T09:38:45Z,MINI,COOPER 5-DOOR,COOPER 5-DOOR,0.1238820122312649,1.0,144209.0
mini-cooper-5-door,2026.0,1.5TC I3 Cooper C FWD,129000.0,139000.0,134000.0,"AED 129,000 - 139,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper-5-door/2026/,2026-06-16T09:38:47Z,MINI,COOPER 5-DOOR,COOPER 5-DOOR,0.1238820122312649,0.0,134000.0
mini-cooper-5-door,2026.0,2.0TC I4 Cooper S FWD,159600.0,169600.0,164600.0,"AED 159,600 - 169,600",AED,https://www.drivearabia.com/carprices/uae/mini/mini-cooper-5-door/2026/,2026-06-16T09:38:47Z,MINI,COOPER 5-DOOR,COOPER 5-DOOR,0.1238820122312649,0.0,164600.0
mini-countryman,2022.0,Cooper,135000.0,150000.0,142500.0,"AED 135,000 - 150,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-countryman/2022/,2026-06-16T09:38:49Z,MINI,COUNTRYMAN,COUNTRYMAN,0.1324459443723712,4.0,80724.0
mini-countryman,2022.0,Cooper S,145000.0,165000.0,155000.0,"AED 145,000 - 165,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-countryman/2022/,2026-06-16T09:38:49Z,MINI,COUNTRYMAN,COUNTRYMAN,0.1324459443723712,4.0,87805.0
mini-countryman,2023.0,Cooper,135000.0,150000.0,142500.0,"AED 135,000 - 150,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-countryman/2023/,2026-06-16T09:38:51Z,MINI,COUNTRYMAN,COUNTRYMAN,0.1324459443723712,3.0,93047.0
mini-countryman,2023.0,Cooper S,145000.0,165000.0,155000.0,"AED 145,000 - 165,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-countryman/2023/,2026-06-16T09:38:51Z,MINI,COUNTRYMAN,COUNTRYMAN,0.1324459443723712,3.0,101210.0
mini-countryman,2024.0,1.5TC I3 Cooper FWD,180750.0,190750.0,185750.0,"AED 180,750 - 190,750",AED,https://www.drivearabia.com/carprices/uae/mini/mini-countryman/2024/,2026-06-16T09:38:53Z,MINI,COUNTRYMAN,COUNTRYMAN,0.1324459443723712,2.0,139805.0
mini-countryman,2024.0,2.0TC I4 Cooper S Luxury 4WD,220000.0,230000.0,225000.0,"AED 220,000 - 230,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-countryman/2024/,2026-06-16T09:38:53Z,MINI,COUNTRYMAN,COUNTRYMAN,0.1324459443723712,2.0,169346.0
mini-countryman,2024.0,2.0TC I4 John Cooper Works 4WD,250950.0,260950.0,255950.0,"AED 250,950 - 260,950",AED,https://www.drivearabia.com/carprices/uae/mini/mini-countryman/2024/,2026-06-16T09:38:53Z,MINI,COUNTRYMAN,COUNTRYMAN,0.1324459443723712,2.0,192641.0
mini-countryman,2025.0,1.5TC I3 Cooper FWD,180750.0,190750.0,185750.0,"AED 180,750 - 190,750",AED,https://www.drivearabia.com/carprices/uae/mini/mini-countryman/2025/,2026-06-16T09:38:55Z,MINI,COUNTRYMAN,COUNTRYMAN,0.1324459443723712,1.0,161148.0
mini-countryman,2025.0,2.0TC I4 Cooper S Luxury 4WD,220000.0,230000.0,225000.0,"AED 220,000 - 230,000",AED,https://www.drivearabia.com/carprices/uae/mini/mini-countryman/2025/,2026-06-16T09:38:55Z,MINI,COUNTRYMAN,COUNTRYMAN,0.1324459443723712,1.0,195200.0
