model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at,make,model_name,model,annual_dep_rate,car_age,depreciated_value
mitsubishi-asx,2022.0,GLX 2WD,69900.0,70000.0,69950.0,"AED 69,900 - 70,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2022/,2026-06-16T10:15:30Z,MITSUBISHI,ASX,ASX,0.0923831353434122,4.0,47468.0
mitsubishi-asx,2022.0,GLX mid-option 4WD,79900.0,80000.0,79950.0,"AED 79,900 - 80,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2022/,2026-06-16T10:15:30Z,MITSUBISHI,ASX,ASX,0.0923831353434122,4.0,54254.0
mitsubishi-asx,2022.0,GLX full option 4WD,89900.0,90000.0,89950.0,"AED 89,900 - 90,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2022/,2026-06-16T10:15:30Z,MITSUBISHI,ASX,ASX,0.0923831353434122,4.0,61040.0
mitsubishi-asx,2023.0,GLX 2WD,69900.0,70000.0,69950.0,"AED 69,900 - 70,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2023/,2026-06-16T10:15:32Z,MITSUBISHI,ASX,ASX,0.0923831353434122,3.0,52299.0
mitsubishi-asx,2023.0,GLX mid-option 4WD,79900.0,80000.0,79950.0,"AED 79,900 - 80,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2023/,2026-06-16T10:15:32Z,MITSUBISHI,ASX,ASX,0.0923831353434122,3.0,59776.0
mitsubishi-asx,2023.0,GLX full option 4WD,89900.0,90000.0,89950.0,"AED 89,900 - 90,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2023/,2026-06-16T10:15:32Z,MITSUBISHI,ASX,ASX,0.0923831353434122,3.0,67253.0
mitsubishi-asx,2024.0,2.0 I4 GLX Base 2WD,70000.0,71000.0,70500.0,"AED 70,000 - 71,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2024/,2026-06-16T10:15:34Z,MITSUBISHI,ASX,ASX,0.0923831353434122,2.0,58076.0
mitsubishi-asx,2024.0,2.0 I4 GLX Mid-option 4WD,84000.0,85000.0,84500.0,"AED 84,000 - 85,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2024/,2026-06-16T10:15:34Z,MITSUBISHI,ASX,ASX,0.0923831353434122,2.0,69608.0
mitsubishi-asx,2024.0,2.0 I4 GLX Full-option 4WD,88000.0,89000.0,88500.0,"AED 88,000 - 89,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2024/,2026-06-16T10:15:34Z,MITSUBISHI,ASX,ASX,0.0923831353434122,2.0,72904.0
mitsubishi-asx,2025.0,2.0 I4 GLX 2WD,70000.0,71000.0,70500.0,"AED 70,000 - 71,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2025/,2026-06-16T10:15:36Z,MITSUBISHI,ASX,ASX,0.0923831353434122,1.0,63987.0
