model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at,make,model_name,model,annual_dep_rate,car_age,depreciated_value
nissan-370z,2013.0,auto,139000.0,149000.0,144000.0,"AED 139,000 - 149,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-370z/2013/,2026-06-12T10:12:54Z,NISSAN,370Z,370Z,0.1046820749958582,13.0,34203.0
nissan-370z,2013.0,manual,144000.0,145000.0,144500.0,"AED 144,000 - 145,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-370z/2013/,2026-06-12T10:12:54Z,NISSAN,370Z,370Z,0.1046820749958582,13.0,34322.0
nissan-370z,2014.0,auto,139000.0,149000.0,144000.0,"AED 139,000 - 149,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-370z/2014/,2026-06-12T10:12:56Z,NISSAN,370Z,370Z,0.1046820749958582,12.0,38202.0
nissan-370z,2014.0,manual,144000.0,145000.0,144500.0,"AED 144,000 - 145,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-370z/2014/,2026-06-12T10:12:56Z,NISSAN,370Z,370Z,0.1046820749958582,12.0,38335.0
nissan-370z,2015.0,auto,139000.0,149000.0,144000.0,"AED 139,000 - 149,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-370z/2015/,2026-06-12T10:12:58Z,NISSAN,370Z,370Z,0.1046820749958582,11.0,42669.0
nissan-370z,2015.0,manual,144000.0,145000.0,144500.0,"AED 144,000 - 145,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-370z/2015/,2026-06-12T10:12:58Z,NISSAN,370Z,370Z,0.1046820749958582,11.0,42817.0
nissan-370z,2016.0,manual,127000.0,127500.0,127250.0,"AED 127,000 - 127,500",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-370z/2016/,2026-06-12T10:12:59Z,NISSAN,370Z,370Z,0.1046820749958582,10.0,42114.0
nissan-370z,2016.0,auto,139000.0,139500.0,139250.0,"AED 139,000 - 139,500",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-370z/2016/,2026-06-12T10:12:59Z,NISSAN,370Z,370Z,0.1046820749958582,10.0,46086.0
nissan-370z,2017.0,manual,127000.0,127500.0,127250.0,"AED 127,000 - 127,500",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-370z/2017/,2026-06-12T10:13:01Z,NISSAN,370Z,370Z,0.1046820749958582,9.0,47038.0
nissan-370z,2017.0,auto,139000.0,139500.0,139250.0,"AED 139,000 - 139,500",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-370z/2017/,2026-06-12T10:13:01Z,NISSAN,370Z,370Z,0.1046820749958582,9.0,51474.0
nissan-370z,2018.0,auto+navigation,151100.0,152000.0,151550.0,"AED 151,100 - 152,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-370z/2018/,2026-06-12T10:13:03Z,NISSAN,370Z,370Z,0.1046820749958582,8.0,62571.0
nissan-370z,2018.0,Nismo,189000.0,190000.0,189500.0,"AED 189,000 - 190,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-370z/2018/,2026-06-12T10:13:03Z,NISSAN,370Z,370Z,0.1046820749958582,8.0,78240.0
nissan-370z,2019.0,standard,149000.0,150000.0,149500.0,"AED 149,000 - 150,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-370z/2019/,2026-06-12T10:13:05Z,NISSAN,370Z,370Z,0.1046820749958582,7.0,68942.0
nissan-370z,2019.0,Nismo,178000.0,184500.0,181250.0,"AED 184,500 - 178,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-370z/2019/,2026-06-12T10:13:05Z,NISSAN,370Z,370Z,0.1046820749958582,7.0,83583.0
nissan-370z,2020.0,standard,149000.0,150000.0,149500.0,"AED 149,000 - 150,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-370z/2020/,2026-06-12T10:13:09Z,NISSAN,370Z,370Z,0.1046820749958582,6.0,77003.0
nissan-370z,2020.0,Nismo,184000.0,185000.0,184500.0,"AED 184,000 - 185,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-370z/2020/,2026-06-12T10:13:09Z,NISSAN,370Z,370Z,0.1046820749958582,6.0,95030.0
nissan-altima,2008.0,sedan,71500.0,102000.0,86750.0,"AED 71,500 - 102,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2008/,2026-06-12T10:14:21Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,18.0,5858.0
nissan-altima,2009.0,sedan,71500.0,102000.0,86750.0,"AED 71,500 - 102,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2009/,2026-06-12T10:14:23Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,17.0,6804.0
nissan-altima,2010.0,2.5L sedan,72000.0,90000.0,81000.0,"AED 72,000 - 90,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2010/,2026-06-12T10:14:25Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,16.0,7380.0
nissan-altima,2010.0,3.5L sedan,95000.0,110000.0,102500.0,"AED 95,000 - 110,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2010/,2026-06-12T10:14:25Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,16.0,9338.0
nissan-altima,2011.0,2.5L sedan,72000.0,90000.0,81000.0,"AED 72,000 - 90,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2011/,2026-06-12T10:14:27Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,15.0,8572.0
nissan-altima,2011.0,3.5L sedan,95000.0,110000.0,102500.0,"AED 95,000 - 110,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2011/,2026-06-12T10:14:27Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,15.0,10847.0
nissan-altima,2012.0,2.5L sedan,72000.0,90000.0,81000.0,"AED 72,000 - 90,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2012/,2026-06-12T10:14:28Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,14.0,9956.0
nissan-altima,2012.0,3.5L sedan,95000.0,110000.0,102500.0,"AED 95,000 - 110,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2012/,2026-06-12T10:14:28Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,14.0,12599.0
nissan-altima,2013.0,2.5 S,76000.0,78000.0,77000.0,"AED 76,000 - 78,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2013/,2026-06-12T10:14:30Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,13.0,10993.0
nissan-altima,2013.0,2.5 SV,82500.0,83000.0,82750.0,"AED 82,500 - 83,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2013/,2026-06-12T10:14:30Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,13.0,11814.0
nissan-altima,2013.0,2.5 SL,94500.0,95000.0,94750.0,"AED 94,500 - 95,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2013/,2026-06-12T10:14:30Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,13.0,13527.0
nissan-altima,2013.0,3.5 SV,98000.0,99000.0,98500.0,"AED 98,000 - 99,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2013/,2026-06-12T10:14:30Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,13.0,14063.0
nissan-altima,2013.0,3.5 SL,106000.0,107000.0,106500.0,"AED 106,000 - 107,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2013/,2026-06-12T10:14:30Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,13.0,15205.0
nissan-altima,2014.0,2.5 S,76000.0,78000.0,77000.0,"AED 76,000 - 78,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2014/,2026-06-12T10:14:32Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,12.0,12769.0
nissan-altima,2014.0,2.5 SV,82500.0,83000.0,82750.0,"AED 82,500 - 83,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2014/,2026-06-12T10:14:32Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,12.0,13722.0
nissan-altima,2014.0,2.5 SL,94500.0,95000.0,94750.0,"AED 94,500 - 95,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2014/,2026-06-12T10:14:32Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,12.0,15712.0
nissan-altima,2014.0,3.5 SV,98000.0,99000.0,98500.0,"AED 98,000 - 99,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2014/,2026-06-12T10:14:32Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,12.0,16334.0
nissan-altima,2014.0,3.5 SL,106000.0,107000.0,106500.0,"AED 106,000 - 107,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2014/,2026-06-12T10:14:32Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,12.0,17661.0
nissan-altima,2015.0,2.5 S,75000.0,77000.0,76000.0,"AED 75,000 - 77,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2015/,2026-06-12T10:14:34Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,11.0,14639.0
nissan-altima,2015.0,2.5 SV,82500.0,83000.0,82750.0,"AED 82,500 - 83,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2015/,2026-06-12T10:14:34Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,11.0,15939.0
nissan-altima,2015.0,2.5 SL,94500.0,95000.0,94750.0,"AED 94,500 - 95,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2015/,2026-06-12T10:14:34Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,11.0,18250.0
nissan-altima,2015.0,3.5 SV,98000.0,99000.0,98500.0,"AED 98,000 - 99,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2015/,2026-06-12T10:14:34Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,11.0,18972.0
nissan-altima,2015.0,3.5 SL,106000.0,107000.0,106500.0,"AED 106,000 - 107,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2015/,2026-06-12T10:14:34Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,11.0,20513.0
nissan-altima,2016.0,2.5 S,75000.0,77000.0,76000.0,"AED 75,000 - 77,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2016/,2026-06-12T10:14:36Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,10.0,17003.0
nissan-altima,2016.0,2.5 SV,82500.0,83000.0,82750.0,"AED 82,500 - 83,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2016/,2026-06-12T10:14:36Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,10.0,18513.0
nissan-altima,2016.0,2.5 SL,94500.0,95000.0,94750.0,"AED 94,500 - 95,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2016/,2026-06-12T10:14:36Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,10.0,21198.0
nissan-altima,2016.0,3.5 SV,98000.0,99000.0,98500.0,"AED 98,000 - 99,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2016/,2026-06-12T10:14:36Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,10.0,22037.0
nissan-altima,2016.0,3.5 SL,106000.0,107000.0,106500.0,"AED 106,000 - 107,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2016/,2026-06-12T10:14:36Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,10.0,23827.0
nissan-altima,2017.0,S,78000.0,80000.0,79000.0,"AED 78,000 - 80,000",AED,https://www.drivearabia.com/carprices/uae/nissan/nissan-altima/2017/,2026-06-12T10:14:38Z,NISSAN,ALTIMA,ALTIMA,0.139062478086912,9.0,20529.0
