model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at,make,model_name,model,annual_dep_rate,car_age,depreciated_value
suzuki-baleno,2022.0,1.4L GL,45000.0,46000.0,45500.0,"AED 45,000 - 46,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-baleno/2022/,2026-06-16T09:49:37Z,SUZUKI,BALENO,BALENO,0.1211057092533053,4.0,27149.0
suzuki-baleno,2022.0,1.4L GLX,49900.0,50000.0,49950.0,"AED 49,900 - 50,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-baleno/2022/,2026-06-16T09:49:37Z,SUZUKI,BALENO,BALENO,0.1211057092533053,4.0,29805.0
suzuki-baleno,2023.0,1.4L GL,45000.0,46000.0,45500.0,"AED 45,000 - 46,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-baleno/2023/,2026-06-16T09:49:39Z,SUZUKI,BALENO,BALENO,0.1211057092533053,3.0,30890.0
suzuki-baleno,2023.0,1.4L GLX,49900.0,50000.0,49950.0,"AED 49,900 - 50,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-baleno/2023/,2026-06-16T09:49:39Z,SUZUKI,BALENO,BALENO,0.1211057092533053,3.0,33911.0
suzuki-baleno,2024.0,1.5L I4 GL FWD,51900.0,56000.0,53950.0,"AED 51,900 - 56,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-baleno/2024/,2026-06-16T09:49:41Z,SUZUKI,BALENO,BALENO,0.1211057092533053,2.0,41674.0
suzuki-baleno,2024.0,1.5L I4 GLX FWD,59900.0,60000.0,59950.0,"AED 59,900 - 60,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-baleno/2024/,2026-06-16T09:49:41Z,SUZUKI,BALENO,BALENO,0.1211057092533053,2.0,46309.0
suzuki-baleno,2025.0,1.5L I4 GL FWD,54900.0,56000.0,55450.0,"AED 54,900 - 56,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-baleno/2025/,2026-06-16T09:49:43Z,SUZUKI,BALENO,BALENO,0.1211057092533053,1.0,48735.0
suzuki-baleno,2025.0,1.5L I4 GLX FWD,59900.0,60000.0,59950.0,"AED 59,900 - 60,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-baleno/2025/,2026-06-16T09:49:43Z,SUZUKI,BALENO,BALENO,0.1211057092533053,1.0,52690.0
suzuki-baleno,2026.0,1.5L I4 GL FWD,54900.0,56000.0,55450.0,"AED 54,900 - 56,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-baleno/2026/,2026-06-16T09:49:45Z,SUZUKI,BALENO,BALENO,0.1211057092533053,0.0,55450.0
suzuki-baleno,2026.0,1.5L I4 GLX FWD,59900.0,60000.0,59950.0,"AED 59,900 - 60,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-baleno/2026/,2026-06-16T09:49:45Z,SUZUKI,BALENO,BALENO,0.1211057092533053,0.0,59950.0
suzuki-ciaz,2022.0,1.5L GL,44900.0,46000.0,45450.0,"AED 44,900 - 46,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ciaz/2022/,2026-06-16T09:49:59Z,SUZUKI,CIAZ,CIAZ,0.1039311949718902,4.0,29302.0
suzuki-ciaz,2022.0,1.5L GLX,51900.0,52000.0,51950.0,"AED 51,900 - 52,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ciaz/2022/,2026-06-16T09:49:59Z,SUZUKI,CIAZ,CIAZ,0.1039311949718902,4.0,33493.0
suzuki-ciaz,2023.0,1.5L GL,44900.0,46000.0,45450.0,"AED 44,900 - 46,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ciaz/2023/,2026-06-16T09:50:01Z,SUZUKI,CIAZ,CIAZ,0.1039311949718902,3.0,32701.0
suzuki-ciaz,2023.0,1.5L GLX,51900.0,52000.0,51950.0,"AED 51,900 - 52,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ciaz/2023/,2026-06-16T09:50:01Z,SUZUKI,CIAZ,CIAZ,0.1039311949718902,3.0,37377.0
suzuki-ciaz,2024.0,1.5L I4 GL FWD,51900.0,54000.0,52950.0,"AED 51,900 - 54,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ciaz/2024/,2026-06-16T09:50:03Z,SUZUKI,CIAZ,CIAZ,0.1039311949718902,2.0,42516.0
suzuki-ciaz,2024.0,1.5L I4 GLX FWD,60900.0,62000.0,61450.0,"AED 60,900 - 62,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ciaz/2024/,2026-06-16T09:50:03Z,SUZUKI,CIAZ,CIAZ,0.1039311949718902,2.0,49341.0
suzuki-ciaz,2025.0,1.5L I4 GL FWD,51900.0,54000.0,52950.0,"AED 51,900 - 54,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ciaz/2025/,2026-06-16T09:50:05Z,SUZUKI,CIAZ,CIAZ,0.1039311949718902,1.0,47447.0
suzuki-ciaz,2025.0,1.5L I4 GLX FWD,60900.0,62000.0,61450.0,"AED 60,900 - 62,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ciaz/2025/,2026-06-16T09:50:05Z,SUZUKI,CIAZ,CIAZ,0.1039311949718902,1.0,55063.0
suzuki-dzire,2025.0,1.2L I4 GL FWD,49900.0,50000.0,49950.0,"AED 49,900 - 50,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-dzire/2025/,2026-06-16T09:50:12Z,SUZUKI,DZIRE,DZIRE,0.1052579974640692,1.0,44692.0
suzuki-dzire,2025.0,1.2L I4 GLX FWD,54900.0,55000.0,54950.0,"AED 54,900 - 55,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-dzire/2025/,2026-06-16T09:50:12Z,SUZUKI,DZIRE,DZIRE,0.1052579974640692,1.0,49166.0
suzuki-dzire,2026.0,1.2L I4 GL FWD,49900.0,50000.0,49950.0,"AED 49,900 - 50,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-dzire/2026/,2026-06-16T09:50:14Z,SUZUKI,DZIRE,DZIRE,0.1052579974640692,0.0,49950.0
suzuki-dzire,2026.0,1.2L I4 GLX FWD,54900.0,55000.0,54950.0,"AED 54,900 - 55,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-dzire/2026/,2026-06-16T09:50:14Z,SUZUKI,DZIRE,DZIRE,0.1052579974640692,0.0,54950.0
suzuki-ertiga,2024.0,1.5L I4 GL FWD,59900.0,61000.0,60450.0,"AED 59,900 - 61,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ertiga/2024/,2026-06-16T09:50:20Z,SUZUKI,ERTIGA,ERTIGA,0.1070815963071236,2.0,48197.0
suzuki-ertiga,2024.0,1.5L I4 GLX FWD,64900.0,69000.0,66950.0,"AED 64,900 - 69,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ertiga/2024/,2026-06-16T09:50:20Z,SUZUKI,ERTIGA,ERTIGA,0.1070815963071236,2.0,53379.0
suzuki-ertiga,2025.0,1.5L I4 GL FWD,59900.0,61000.0,60450.0,"AED 59,900 - 61,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ertiga/2025/,2026-06-16T09:50:22Z,SUZUKI,ERTIGA,ERTIGA,0.1070815963071236,1.0,53977.0
suzuki-ertiga,2025.0,1.5L I4 GLX FWD,64900.0,69000.0,66950.0,"AED 64,900 - 69,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ertiga/2025/,2026-06-16T09:50:22Z,SUZUKI,ERTIGA,ERTIGA,0.1070815963071236,1.0,59781.0
suzuki-ertiga,2026.0,1.5L I4 GL FWD,59900.0,61000.0,60450.0,"AED 59,900 - 61,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ertiga/2026/,2026-06-16T09:50:24Z,SUZUKI,ERTIGA,ERTIGA,0.1070815963071236,0.0,60450.0
suzuki-ertiga,2026.0,1.5L I4 GLX FWD,64900.0,69000.0,66950.0,"AED 64,900 - 69,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ertiga/2026/,2026-06-16T09:50:24Z,SUZUKI,ERTIGA,ERTIGA,0.1070815963071236,0.0,66950.0
suzuki-fronx,2024.0,1.5 GL 2WD,61900.0,67000.0,64450.0,"AED 61,900 - 67,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-fronx/2024/,2026-06-16T09:50:28Z,SUZUKI,FRONX,FRONX,0.1352531606812095,2.0,48195.0
suzuki-fronx,2024.0,1.5 GLX 2WD,69900.0,72000.0,70950.0,"AED 69,900 - 72,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-fronx/2024/,2026-06-16T09:50:28Z,SUZUKI,FRONX,FRONX,0.1352531606812095,2.0,53055.0
suzuki-fronx,2025.0,1.5 I4 GL 2WD,64900.0,66900.0,65900.0,"AED 64,900 - 66,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-fronx/2025/,2026-06-16T09:50:30Z,SUZUKI,FRONX,FRONX,0.1352531606812095,1.0,56987.0
suzuki-fronx,2025.0,1.5 I4 GLX 2WD,69900.0,71900.0,70900.0,"AED 69,900 - 71,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-fronx/2025/,2026-06-16T09:50:30Z,SUZUKI,FRONX,FRONX,0.1352531606812095,1.0,61311.0
suzuki-fronx,2026.0,1.5 I4 GL 2WD,64900.0,66900.0,65900.0,"AED 64,900 - 66,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-fronx/2026/,2026-06-16T09:50:32Z,SUZUKI,FRONX,FRONX,0.1352531606812095,0.0,65900.0
suzuki-fronx,2026.0,1.5 I4 GLX 2WD,69900.0,71900.0,70900.0,"AED 69,900 - 71,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-fronx/2026/,2026-06-16T09:50:32Z,SUZUKI,FRONX,FRONX,0.1352531606812095,0.0,70900.0
suzuki-grand-vitara,2022.0,3-door,77000.0,80000.0,78500.0,"AED 77,000 - 80,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-grand-vitara/2022/,2026-06-16T09:50:34Z,SUZUKI,GRAND VITARA,GRAND VITARA,0.1028761110662593,4.0,50849.0
suzuki-grand-vitara,2022.0,5-door,90850.0,91000.0,90925.0,"AED 90,850 - 91,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-grand-vitara/2022/,2026-06-16T09:50:34Z,SUZUKI,GRAND VITARA,GRAND VITARA,0.1028761110662593,4.0,58897.0
suzuki-grand-vitara,2024.0,1.5+E I4 GL 2WD,79900.0,89900.0,84900.0,"AED 79,900 - 89,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-grand-vitara/2024/,2026-06-16T09:50:37Z,SUZUKI,GRAND VITARA,GRAND VITARA,0.1028761110662593,2.0,68330.0
suzuki-grand-vitara,2024.0,1.5+E I4 GLX 2WD,84900.0,85900.0,85400.0,"AED 84,900 - 85,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-grand-vitara/2024/,2026-06-16T09:50:37Z,SUZUKI,GRAND VITARA,GRAND VITARA,0.1028761110662593,2.0,68733.0
suzuki-grand-vitara,2024.0,1.5+E I4 GLX 4WD,97900.0,98900.0,98400.0,"AED 97,900 - 98,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-grand-vitara/2024/,2026-06-16T09:50:37Z,SUZUKI,GRAND VITARA,GRAND VITARA,0.1028761110662593,2.0,79195.0
suzuki-grand-vitara,2025.0,1.5+E I4 GL 2WD,79900.0,89900.0,84900.0,"AED 79,900 - 89,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-grand-vitara/2025/,2026-06-16T09:50:39Z,SUZUKI,GRAND VITARA,GRAND VITARA,0.1028761110662593,1.0,76166.0
suzuki-grand-vitara,2025.0,1.5+E I4 GLX 2WD,84900.0,85900.0,85400.0,"AED 84,900 - 85,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-grand-vitara/2025/,2026-06-16T09:50:39Z,SUZUKI,GRAND VITARA,GRAND VITARA,0.1028761110662593,1.0,76614.0
suzuki-grand-vitara,2025.0,1.5+E I4 GLX 4WD,97900.0,98900.0,98400.0,"AED 97,900 - 98,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-grand-vitara/2025/,2026-06-16T09:50:39Z,SUZUKI,GRAND VITARA,GRAND VITARA,0.1028761110662593,1.0,88277.0
suzuki-grand-vitara,2026.0,1.5+E I4 GL 2WD,79900.0,89900.0,84900.0,"AED 79,900 - 89,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-grand-vitara/2026/,2026-06-16T09:50:41Z,SUZUKI,GRAND VITARA,GRAND VITARA,0.1028761110662593,0.0,84900.0
suzuki-grand-vitara,2026.0,1.5+E I4 GLX 2WD,84900.0,85900.0,85400.0,"AED 84,900 - 85,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-grand-vitara/2026/,2026-06-16T09:50:41Z,SUZUKI,GRAND VITARA,GRAND VITARA,0.1028761110662593,0.0,85400.0
suzuki-grand-vitara,2026.0,1.5+E I4 GLX 4WD,97900.0,98900.0,98400.0,"AED 97,900 - 98,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-grand-vitara/2026/,2026-06-16T09:50:41Z,SUZUKI,GRAND VITARA,GRAND VITARA,0.1028761110662593,0.0,98400.0
suzuki-jimny,2022.0,manual,72000.0,73000.0,72500.0,"AED 72,000 - 73,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-jimny/2022/,2026-06-16T09:50:56Z,SUZUKI,JIMNY,JIMNY,0.107880884092585,4.0,45923.0
suzuki-jimny,2022.0,auto,77800.0,78000.0,77900.0,"AED 77,800 - 78,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-jimny/2022/,2026-06-16T09:50:56Z,SUZUKI,JIMNY,JIMNY,0.107880884092585,4.0,49343.0
suzuki-jimny,2023.0,manual,72000.0,73000.0,72500.0,"AED 72,000 - 73,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-jimny/2023/,2026-06-16T09:50:58Z,SUZUKI,JIMNY,JIMNY,0.107880884092585,3.0,51476.0
suzuki-jimny,2023.0,auto,77800.0,78000.0,77900.0,"AED 77,800 - 78,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-jimny/2023/,2026-06-16T09:50:58Z,SUZUKI,JIMNY,JIMNY,0.107880884092585,3.0,55310.0
suzuki-jimny,2024.0,1.5 I4 GL 4WD,75000.0,76000.0,75500.0,"AED 75,000 - 76,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-jimny/2024/,2026-06-16T09:51:00Z,SUZUKI,JIMNY,JIMNY,0.107880884092585,2.0,60089.0
suzuki-jimny,2024.0,1.5 I4 GLX 4WD,79000.0,80000.0,79500.0,"AED 79,000 - 80,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-jimny/2024/,2026-06-16T09:51:00Z,SUZUKI,JIMNY,JIMNY,0.107880884092585,2.0,63272.0
suzuki-jimny,2025.0,1.5 I4 GL M/T 4WD,78900.0,80900.0,79900.0,"AED 78,900 - 80,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-jimny/2025/,2026-06-16T09:51:02Z,SUZUKI,JIMNY,JIMNY,0.107880884092585,1.0,71280.0
suzuki-jimny,2025.0,1.5 I4 GLX A/T 4WD,91900.0,92900.0,92400.0,"AED 91,900 - 92,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-jimny/2025/,2026-06-16T09:51:02Z,SUZUKI,JIMNY,JIMNY,0.107880884092585,1.0,82432.0
suzuki-jimny,2025.0,1.5 I4 ART Edition A/T 4WD,98900.0,113000.0,105950.0,"AED 98,900 - 113,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-jimny/2025/,2026-06-16T09:51:02Z,SUZUKI,JIMNY,JIMNY,0.107880884092585,1.0,94520.0
suzuki-jimny,2026.0,1.5 I4 GL M/T 4WD,78900.0,80900.0,79900.0,"AED 78,900 - 80,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-jimny/2026/,2026-06-16T09:51:04Z,SUZUKI,JIMNY,JIMNY,0.107880884092585,0.0,79900.0
suzuki-jimny,2026.0,1.5 I4 GLX A/T 4WD,91900.0,92900.0,92400.0,"AED 91,900 - 92,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-jimny/2026/,2026-06-16T09:51:04Z,SUZUKI,JIMNY,JIMNY,0.107880884092585,0.0,92400.0
suzuki-jimny,2026.0,1.5 I4 ART Edition A/T 4WD,98900.0,113000.0,105950.0,"AED 98,900 - 113,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-jimny/2026/,2026-06-16T09:51:04Z,SUZUKI,JIMNY,JIMNY,0.107880884092585,0.0,105950.0
suzuki-jimny-5-door,2024.0,1.5 l4 GL 4WD,76900.0,81000.0,78950.0,"AED 76,900 - 81,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-jimny-5-door/2024/,2026-06-16T09:51:08Z,SUZUKI,JIMNY 5-DOOR,JIMNY 5-DOOR,0.0937227445208485,2.0,64845.0
suzuki-jimny-5-door,2024.0,1.5 I4 GL 4WD,85900.0,89000.0,87450.0,"AED 85,900 - 89,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-jimny-5-door/2024/,2026-06-16T09:51:08Z,SUZUKI,JIMNY 5-DOOR,JIMNY 5-DOOR,0.0937227445208485,2.0,71826.0
suzuki-jimny-5-door,2024.0,1.5 I4 GLX 4WD,91900.0,96000.0,93950.0,"AED 91,900 - 96,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-jimny-5-door/2024/,2026-06-16T09:51:08Z,SUZUKI,JIMNY 5-DOOR,JIMNY 5-DOOR,0.0937227445208485,2.0,77165.0
suzuki-jimny-5-door,2025.0,1.5 I4 GLX A/T 4WD,92900.0,93900.0,93400.0,"AED 92,900 - 93,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-jimny-5-door/2025/,2026-06-16T09:51:10Z,SUZUKI,JIMNY 5-DOOR,JIMNY 5-DOOR,0.0937227445208485,1.0,84646.0
suzuki-jimny-5-door,2025.0,1.5 I4 ART Edition A/T 4WD,112000.0,114000.0,113000.0,"AED 112,000 - 114,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-jimny-5-door/2025/,2026-06-16T09:51:10Z,SUZUKI,JIMNY 5-DOOR,JIMNY 5-DOOR,0.0937227445208485,1.0,102409.0
suzuki-jimny-5-door,2026.0,1.5 I4 GLX A/T 4WD,92900.0,93900.0,93400.0,"AED 92,900 - 93,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-jimny-5-door/2026/,2026-06-16T09:51:12Z,SUZUKI,JIMNY 5-DOOR,JIMNY 5-DOOR,0.0937227445208485,0.0,93400.0
suzuki-jimny-5-door,2026.0,1.5 I4 ART Edition A/T 4WD,112000.0,114000.0,113000.0,"AED 112,000 - 114,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-jimny-5-door/2026/,2026-06-16T09:51:12Z,SUZUKI,JIMNY 5-DOOR,JIMNY 5-DOOR,0.0937227445208485,0.0,113000.0
suzuki-swift,2022.0,1.2L GL,49900.0,50000.0,49950.0,"AED 49,900 - 50,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-swift/2022/,2026-06-16T09:51:25Z,SUZUKI,SWIFT,SWIFT,0.1303271785900036,4.0,28573.0
suzuki-swift,2022.0,1.2 GLX,56500.0,57000.0,56750.0,"AED 56,500 - 57,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-swift/2022/,2026-06-16T09:51:25Z,SUZUKI,SWIFT,SWIFT,0.1303271785900036,4.0,32463.0
suzuki-swift,2023.0,1.2L GL,49900.0,50000.0,49950.0,"AED 49,900 - 50,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-swift/2023/,2026-06-16T09:51:26Z,SUZUKI,SWIFT,SWIFT,0.1303271785900036,3.0,32855.0
suzuki-swift,2023.0,1.2 GLX,56500.0,57000.0,56750.0,"AED 56,500 - 57,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-swift/2023/,2026-06-16T09:51:26Z,SUZUKI,SWIFT,SWIFT,0.1303271785900036,3.0,37328.0
suzuki-swift,2024.0,1.2L I4 GL FWD,53900.0,56000.0,54950.0,"AED 53,900 - 56,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-swift/2024/,2026-06-16T09:51:28Z,SUZUKI,SWIFT,SWIFT,0.1303271785900036,2.0,41560.0
suzuki-swift,2024.0,1.2 I4 GLX FWD,64900.0,68000.0,66450.0,"AED 64,900 - 68,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-swift/2024/,2026-06-16T09:51:28Z,SUZUKI,SWIFT,SWIFT,0.1303271785900036,2.0,50258.0
suzuki-swift,2025.0,1.2L I4 GL FWD,51900.0,53900.0,52900.0,"AED 51,900 - 53,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-swift/2025/,2026-06-16T09:51:30Z,SUZUKI,SWIFT,SWIFT,0.1303271785900036,1.0,46006.0
suzuki-swift,2025.0,1.2L I4 GL Plus FWD,54900.0,56900.0,55900.0,"AED 54,900 - 56,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-swift/2025/,2026-06-16T09:51:30Z,SUZUKI,SWIFT,SWIFT,0.1303271785900036,1.0,48615.0
suzuki-swift,2025.0,1.2 I4 GLX FWD,59900.0,61900.0,60900.0,"AED 59,900 - 61,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-swift/2025/,2026-06-16T09:51:30Z,SUZUKI,SWIFT,SWIFT,0.1303271785900036,1.0,52963.0
suzuki-swift,2026.0,1.2L I4 GL FWD,51900.0,53900.0,52900.0,"AED 51,900 - 53,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-swift/2026/,2026-06-16T09:51:32Z,SUZUKI,SWIFT,SWIFT,0.1303271785900036,0.0,52900.0
suzuki-swift,2026.0,1.2L I4 GL Plus FWD,54900.0,56900.0,55900.0,"AED 54,900 - 56,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-swift/2026/,2026-06-16T09:51:32Z,SUZUKI,SWIFT,SWIFT,0.1303271785900036,0.0,55900.0
suzuki-swift,2026.0,1.2 I4 GLX FWD,59900.0,61900.0,60900.0,"AED 59,900 - 61,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-swift/2026/,2026-06-16T09:51:32Z,SUZUKI,SWIFT,SWIFT,0.1303271785900036,0.0,60900.0
suzuki-swift-dzire,2022.0,1.2L GL,39900.0,40000.0,39950.0,"AED 39,900 - 40,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-swift-dzire/2022/,2026-06-16T09:51:35Z,SUZUKI,SWIFT DZIRE,SWIFT DZIRE,0.0999614257945588,4.0,26216.0
