model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at,make,model_name,model,annual_dep_rate,car_age,depreciated_value
tesla-cybertruck,2025,123 kWh Cybertruck 4WD,405000,430000,417500,"AED 405,000 - 430,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-cybertruck/2025/,2026-06-16T10:20:54Z,TESLA,CYBERTRUCK,CYBERTRUCK,0.1385029235305277,1,359675.0
tesla-cybertruck,2025,123 kWh Cyberbeast 4WD,455000,475000,465000,"AED 455,000 - 475,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-cybertruck/2025/,2026-06-16T10:20:54Z,TESLA,CYBERTRUCK,CYBERTRUCK,0.1385029235305277,1,400596.0
tesla-cybertruck,2026,123 kWh Cybertruck 4WD,405000,430000,417500,"AED 405,000 - 430,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-cybertruck/2026/,2026-06-16T10:20:56Z,TESLA,CYBERTRUCK,CYBERTRUCK,0.1385029235305277,0,417500.0
tesla-cybertruck,2026,123 kWh Cyberbeast 4WD,455000,475000,465000,"AED 455,000 - 475,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-cybertruck/2026/,2026-06-16T10:20:56Z,TESLA,CYBERTRUCK,CYBERTRUCK,0.1385029235305277,0,465000.0
tesla-model-3,2022,Standard Range Plus RWD,163580,200000,181790,"AED 163,580 - 200,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2022/,2026-06-16T10:20:58Z,TESLA,MODEL 3,MODEL 3,0.15640238913812177,4,92069.0
tesla-model-3,2022,Long Range AWD,193580,240000,216790,"AED 193,580 - 240,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2022/,2026-06-16T10:20:58Z,TESLA,MODEL 3,MODEL 3,0.15640238913812177,4,109795.0
tesla-model-3,2022,Performance AWD,219580,260000,239790,"AED 219,580 - 260,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2022/,2026-06-16T10:20:58Z,TESLA,MODEL 3,MODEL 3,0.15640238913812177,4,121443.0
tesla-model-3,2023,Standard Range Plus RWD,163580,200000,181790,"AED 163,580 - 200,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2023/,2026-06-16T10:21:00Z,TESLA,MODEL 3,MODEL 3,0.15640238913812177,3,109138.0
tesla-model-3,2023,Long Range AWD,193580,240000,216790,"AED 193,580 - 240,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2023/,2026-06-16T10:21:00Z,TESLA,MODEL 3,MODEL 3,0.15640238913812177,3,130150.0
tesla-model-3,2023,Performance AWD,219580,260000,239790,"AED 219,580 - 260,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2023/,2026-06-16T10:21:00Z,TESLA,MODEL 3,MODEL 3,0.15640238913812177,3,143958.0
tesla-model-3,2024,60 kWh Standard Range RWD,167990,177990,172990,"AED 167,990 - 177,990",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2024/,2026-06-16T10:21:03Z,TESLA,MODEL 3,MODEL 3,0.15640238913812177,2,123110.0
tesla-model-3,2024,78 kWh Long Range 4WD,197990,207990,202990,"AED 197,990 - 207,990",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2024/,2026-06-16T10:21:03Z,TESLA,MODEL 3,MODEL 3,0.15640238913812177,2,144459.0
tesla-model-3,2024,78 kWh Performance 4WD,219990,229990,224990,"AED 219,990 - 229,990",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2024/,2026-06-16T10:21:03Z,TESLA,MODEL 3,MODEL 3,0.15640238913812177,2,160116.0
tesla-model-3,2025,60 kWh Standard Range RWD,154990,155000,154995,"AED 154,990 - 155,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2025/,2026-06-16T10:21:05Z,TESLA,MODEL 3,MODEL 3,0.15640238913812177,1,130753.0
tesla-model-3,2025,60 kWh Long Range RWD,164990,168000,166495,"AED 164,990 - 168,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2025/,2026-06-16T10:21:05Z,TESLA,MODEL 3,MODEL 3,0.15640238913812177,1,140455.0
tesla-model-3,2025,82 kWh Long Range 4WD,184990,186990,185990,"AED 184,990 - 186,990",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2025/,2026-06-16T10:21:05Z,TESLA,MODEL 3,MODEL 3,0.15640238913812177,1,156901.0
tesla-model-3,2026,60 kWh Standard Range RWD,144990,150000,147495,"AED 144,990 - 150,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2026/,2026-06-16T10:21:07Z,TESLA,MODEL 3,MODEL 3,0.15640238913812177,0,147495.0
tesla-model-3,2026,60 kWh Long Range RWD,164990,168000,166495,"AED 164,990 - 168,000",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2026/,2026-06-16T10:21:07Z,TESLA,MODEL 3,MODEL 3,0.15640238913812177,0,166495.0
tesla-model-3,2026,82 kWh Long Range 4WD,184990,186990,185990,"AED 184,990 - 186,990",AED,https://www.drivearabia.com/carprices/uae/tesla/tesla-model-3/2026/,2026-06-16T10:21:07Z,TESLA,MODEL 3,MODEL 3,0.15640238913812177,0,185990.0
