model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at,make,model_name,model,annual_dep_rate,car_age,depreciated_value
toyota-86,2014,GT/GTX MT,94900,104900,99900,"AED 94,900 - 104,900",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2014/,2026-06-12T08:13:36Z,TOYOTA,86,86,0.0855240591948931,12,34169.0
toyota-86,2014,VT/VTX AT,114900,124900,119900,"AED 114,900 - 124,900",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2014/,2026-06-12T08:13:36Z,TOYOTA,86,86,0.0855240591948931,12,41010.0
toyota-86,2014,TRD,149000,150000,149500,"AED 149,000 - 150,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2014/,2026-06-12T08:13:36Z,TOYOTA,86,86,0.0855240591948931,12,51134.0
toyota-86,2015,GT/GTX MT,94900,104900,99900,"AED 94,900 - 104,900",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2015/,2026-06-12T08:13:38Z,TOYOTA,86,86,0.0855240591948931,11,37365.0
toyota-86,2015,VT/VTX AT,114900,124900,119900,"AED 114,900 - 124,900",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2015/,2026-06-12T08:13:38Z,TOYOTA,86,86,0.0855240591948931,11,44845.0
toyota-86,2015,TRD,149000,150000,149500,"AED 149,000 - 150,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2015/,2026-06-12T08:13:38Z,TOYOTA,86,86,0.0855240591948931,11,55916.0
toyota-86,2016,GTX MT,104900,105000,104950,"AED 104,900 - 105,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2016/,2026-06-12T08:13:39Z,TOYOTA,86,86,0.0855240591948931,10,42925.0
toyota-86,2016,VT/VTX AT,114900,124900,119900,"AED 114,900 - 124,900",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2016/,2026-06-12T08:13:39Z,TOYOTA,86,86,0.0855240591948931,10,49039.0
toyota-86,2017,GTX MT,104900,105000,104950,"AED 104,900 - 105,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2017/,2026-06-12T08:13:41Z,TOYOTA,86,86,0.0855240591948931,9,46939.0
toyota-86,2017,VT/VTX AT,114900,124900,119900,"AED 114,900 - 124,900",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2017/,2026-06-12T08:13:41Z,TOYOTA,86,86,0.0855240591948931,9,53625.0
toyota-86,2018,GTX MT,104900,105000,104950,"AED 104,900 - 105,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2018/,2026-06-12T08:13:43Z,TOYOTA,86,86,0.0855240591948931,8,51329.0
toyota-86,2018,VT/VTX AT,114900,124900,119900,"AED 114,900 - 124,900",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2018/,2026-06-12T08:13:43Z,TOYOTA,86,86,0.0855240591948931,8,58640.0
toyota-86,2019,VTX AT,116500,117000,116750,"AED 116,500 - 117,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2019/,2026-06-12T08:13:45Z,TOYOTA,86,86,0.0855240591948931,7,62440.0
toyota-aurion,2015,Sport,114000,115000,114500,"AED 114,000 - 115,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2015/,2026-06-12T08:14:22Z,TOYOTA,AURION,AURION,0.1238282453360377,11,26748.0
toyota-aurion,2015,Limited,117000,118000,117500,"AED 117,000 - 118,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2015/,2026-06-12T08:14:22Z,TOYOTA,AURION,AURION,0.1238282453360377,11,27449.0
toyota-aurion,2015,TRD,125725,126000,125862,"AED 125,725 - 126,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2015/,2026-06-12T08:14:22Z,TOYOTA,AURION,AURION,0.1238282453360377,11,29402.0
toyota-aurion,2016,Sport,114000,115000,114500,"AED 114,000 - 115,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2016/,2026-06-12T08:14:24Z,TOYOTA,AURION,AURION,0.1238282453360377,10,30528.0
toyota-aurion,2016,Limited,117000,118000,117500,"AED 117,000 - 118,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2016/,2026-06-12T08:14:24Z,TOYOTA,AURION,AURION,0.1238282453360377,10,31328.0
toyota-aurion,2016,TRD,125725,126000,125862,"AED 125,725 - 126,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2016/,2026-06-12T08:14:24Z,TOYOTA,AURION,AURION,0.1238282453360377,10,33557.0
toyota-avalon,2013,S/SE,128000,134000,131000,"AED 128,000 - 134,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2013/,2026-06-12T08:15:02Z,TOYOTA,AVALON,AVALON,0.16249445007892904,13,13065.0
toyota-avalon,2013,SE Plus/Limited,149000,154000,151500,"AED 149,000 - 154,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2013/,2026-06-12T08:15:02Z,TOYOTA,AVALON,AVALON,0.16249445007892904,13,15110.0
toyota-avalon,2014,S/SE,128000,134000,131000,"AED 128,000 - 134,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2014/,2026-06-12T08:15:04Z,TOYOTA,AVALON,AVALON,0.16249445007892904,12,15600.0
toyota-avalon,2014,SE Plus/Limited,149000,154000,151500,"AED 149,000 - 154,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2014/,2026-06-12T08:15:04Z,TOYOTA,AVALON,AVALON,0.16249445007892904,12,18041.0
toyota-avalon,2015,S,119000,120000,119500,"AED 119,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2015/,2026-06-12T08:15:06Z,TOYOTA,AVALON,AVALON,0.16249445007892904,11,16992.0
toyota-avalon,2015,SE,134000,135000,134500,"AED 134,000 - 135,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2015/,2026-06-12T08:15:06Z,TOYOTA,AVALON,AVALON,0.16249445007892904,11,19124.0
toyota-avalon,2015,SE Plus,149000,150000,149500,"AED 149,000 - 150,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2015/,2026-06-12T08:15:06Z,TOYOTA,AVALON,AVALON,0.16249445007892904,11,21257.0
toyota-avalon,2015,Grande,154000,155000,154500,"AED 154,000 - 155,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2015/,2026-06-12T08:15:06Z,TOYOTA,AVALON,AVALON,0.16249445007892904,11,21968.0
toyota-avalon,2016,S,119000,120000,119500,"AED 119,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2016/,2026-06-12T08:15:08Z,TOYOTA,AVALON,AVALON,0.16249445007892904,10,20288.0
toyota-avalon,2016,SE,134000,135000,134500,"AED 134,000 - 135,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2016/,2026-06-12T08:15:08Z,TOYOTA,AVALON,AVALON,0.16249445007892904,10,22835.0
toyota-avalon,2016,SE Plus,149000,150000,149500,"AED 149,000 - 150,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2016/,2026-06-12T08:15:08Z,TOYOTA,AVALON,AVALON,0.16249445007892904,10,25382.0
toyota-avalon,2016,Grande,154000,155000,154500,"AED 154,000 - 155,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2016/,2026-06-12T08:15:08Z,TOYOTA,AVALON,AVALON,0.16249445007892904,10,26230.0
toyota-avalon,2017,S,119000,120000,119500,"AED 119,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2017/,2026-06-12T08:15:10Z,TOYOTA,AVALON,AVALON,0.16249445007892904,9,24225.0
toyota-avalon,2017,SE,134000,135000,134500,"AED 134,000 - 135,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2017/,2026-06-12T08:15:10Z,TOYOTA,AVALON,AVALON,0.16249445007892904,9,27265.0
toyota-avalon,2017,SE Plus,149000,150000,149500,"AED 149,000 - 150,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2017/,2026-06-12T08:15:10Z,TOYOTA,AVALON,AVALON,0.16249445007892904,9,30306.0
toyota-avalon,2017,Grande,154000,155000,154500,"AED 154,000 - 155,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2017/,2026-06-12T08:15:10Z,TOYOTA,AVALON,AVALON,0.16249445007892904,9,31320.0
toyota-avalon,2018,S,119000,120000,119500,"AED 119,000 - 120,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2018/,2026-06-12T08:15:12Z,TOYOTA,AVALON,AVALON,0.16249445007892904,8,28925.0
toyota-avalon,2018,SE,134000,135000,134500,"AED 134,000 - 135,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2018/,2026-06-12T08:15:12Z,TOYOTA,AVALON,AVALON,0.16249445007892904,8,32555.0
toyota-avalon,2018,SE Plus,149000,150000,149500,"AED 149,000 - 150,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2018/,2026-06-12T08:15:12Z,TOYOTA,AVALON,AVALON,0.16249445007892904,8,36186.0
toyota-avalon,2018,Grande,154000,155000,154500,"AED 154,000 - 155,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2018/,2026-06-12T08:15:12Z,TOYOTA,AVALON,AVALON,0.16249445007892904,8,37396.0
