make,model,n,distinct_years,annual_dep_rate,method
NISSAN,PATROL,552,37,0.06046898699555636,fit_high
TOYOTA,CAMRY,457,34,0.11577143694508296,fit_high
TOYOTA,LAND CRUISER,405,34,0.10125938772090315,fit_high
TOYOTA,COROLLA,354,34,0.10791752867159266,fit_high
FORD,F-150,298,28,0.1308702787838537,fit_high
TOYOTA,RAV4,289,31,0.11208958425305604,fit_high
LAND ROVER,RANGE ROVER,249,32,0.17517419854203253,fit_high
GMC,SIERRA,238,29,0.12587213774816053,fit_high
TOYOTA,PRADO,235,30,0.11474196332219055,fit_high
CHEVROLET,SILVERADO,210,29,0.13419076844834033,fit_high
HONDA,ACCORD,207,29,0.13896920577575889,fit_high
TOYOTA,HILUX,203,35,0.08921850403381393,fit_high
LAND ROVER,RANGE ROVER SPORT,203,23,0.166129156789543,fit_high
TOYOTA,HIACE,202,30,0.11161699988302953,fit_high
HONDA,CIVIC,201,29,0.11768306606780654,fit_high
JEEP,GRAND CHEROKEE,197,27,0.150392049202569,fit_high
PORSCHE,911,193,34,0.08900211202605735,fit_high
BMW,X5,192,25,0.17545553941362613,fit_high
VOLKSWAGEN,GOLF,191,26,0.16322712957947638,fit_high
DODGE,CHARGER,189,18,0.16416388238849366,fit_high
NISSAN,SUNNY,182,33,0.0865065967650549,fit_high
MITSUBISHI,PAJERO,179,28,0.13290359714669775,fit_high
CHEVROLET,TAHOE,175,30,0.14816356349468496,fit_high
FORD,MUSTANG,175,32,0.14463825607091274,fit_high
JEEP,WRANGLER,174,32,0.1200270968918139,fit_high
NISSAN,ALTIMA,174,28,0.13906247808691208,fit_high
TOYOTA,YARIS,171,24,0.12055735415888225,fit_high
HYUNDAI,SANTA FE,168,25,0.13443709741166243,fit_high
LAND ROVER,DEFENDER 110,167,7,0.1020773866846083,fit_high
NISSAN,X TRAIL,167,26,0.11523834096671759,fit_high
GMC,YUKON,164,28,0.15441820338720402,fit_high
HYUNDAI,TUCSON,156,22,0.1272019187790353,fit_high
HYUNDAI,ELANTRA,156,25,0.12257069716127633,fit_high
RAM,1500,153,17,0.14355984943106037,fit_high
HYUNDAI,SONATA,151,26,0.1282456279059424,fit_high
BMW,X6,147,19,0.17446255547786482,fit_high
FORD,EXPLORER,147,25,0.16436011080203627,fit_high
