model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
baic-bj30,2025,1.5T I4 LV2 FWD,97800,98000,97900,"AED 97,800 - 98,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj30/2025/,2026-06-17T05:24:15Z
baic-bj30,2025,1.5T I4 LV3 FWD,107100,108000,107550,"AED 107,100 - 108,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj30/2025/,2026-06-17T05:24:15Z
baic-bj30,2025,1.5T I4 LV5 4WD,119700,120000,119850,"AED 119,700 - 120,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj30/2025/,2026-06-17T05:24:15Z
baic-bj30,2026,1.5T I4 LV2 FWD,97800,98000,97900,"AED 97,800 - 98,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj30/2026/,2026-06-17T05:24:17Z
baic-bj30,2026,1.5T I4 LV3 FWD,116900,117000,116950,"AED 116,900 - 117,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj30/2026/,2026-06-17T05:24:17Z
baic-bj30,2026,1.5T I4 LV5 4WD,125900,126000,125950,"AED 125,900 - 126,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj30/2026/,2026-06-17T05:24:17Z
baic-bj40,2022,2.3TC I4 Premium,118000,121000,119500,"AED 118,000 - 121,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj40/2022/,2026-06-17T05:24:19Z
baic-bj40,2022,2.3TC I4 Flagship,135000,138000,136500,"AED 135,000 - 138,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj40/2022/,2026-06-17T05:24:19Z
baic-bj40,2022,2.3TC I4 Champion,145000,148000,146500,"AED 145,000 - 148,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj40/2022/,2026-06-17T05:24:19Z
baic-bj40,2023,2.3TC I4 Premium,118000,121000,119500,"AED 118,000 - 121,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj40/2023/,2026-06-17T05:24:21Z
baic-bj40,2023,2.3TC I4 Flagship,135000,138000,136500,"AED 135,000 - 138,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj40/2023/,2026-06-17T05:24:21Z
baic-bj40,2023,2.3TC I4 Champion,145000,148000,146500,"AED 145,000 - 148,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj40/2023/,2026-06-17T05:24:21Z
baic-bj40,2024,2.3TC I4 Premium 4WD,118000,121000,119500,"AED 118,000 - 121,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj40/2024/,2026-06-17T05:24:23Z
baic-bj40,2024,2.3TC I4 Flagship 4WD,135000,138000,136500,"AED 135,000 - 138,000",AED,https://www.drivearabia.com/carprices/uae/baic/baic-bj40/2024/,2026-06-17T05:24:23Z
