model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
cadillac-ct4,2022,2.0TC I4 Luxury,134000,135000,134500,"AED 134,000 - 135,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct4/2022/,2026-06-16T11:15:54Z
cadillac-ct4,2022,2.0TC I4 Premium Luxury,142000,142500,142250,"AED 142,000 - 142,500",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct4/2022/,2026-06-16T11:15:54Z
cadillac-ct4,2022,2.0TC I4 Sport,152000,152500,152250,"AED 152,000 - 152,500",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct4/2022/,2026-06-16T11:15:54Z
cadillac-ct4,2023,2.0TC I4 Luxury,134000,135000,134500,"AED 134,000 - 135,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct4/2023/,2026-06-16T11:15:56Z
cadillac-ct4,2023,2.0TC I4 Premium Luxury,142000,142500,142250,"AED 142,000 - 142,500",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct4/2023/,2026-06-16T11:15:56Z
cadillac-ct4,2023,2.0TC I4 Sport,152000,152500,152250,"AED 152,000 - 152,500",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct4/2023/,2026-06-16T11:15:56Z
cadillac-ct4,2024,2.0TC I4 Luxury,134000,135000,134500,"AED 134,000 - 135,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct4/2024/,2026-06-16T11:15:58Z
cadillac-ct4,2024,2.0TC I4 Premium Luxury,142000,142500,142250,"AED 142,000 - 142,500",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct4/2024/,2026-06-16T11:15:58Z
cadillac-ct4,2024,2.0TC I4 Sport,152000,152500,152250,"AED 152,000 - 152,500",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct4/2024/,2026-06-16T11:15:58Z
cadillac-ct4-v,2022,2.7TC I4 CT4 V,189700,190000,189850,"AED 189,700 - 190,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct4-v/2022/,2026-06-16T11:16:02Z
cadillac-ct4-v,2022,3.6TC V6 CT4 V Blackwing,290000,295000,292500,"AED 290,000 - 295,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct4-v/2022/,2026-06-16T11:16:02Z
cadillac-ct4-v,2023,2.7TC I4 CT4 V,189700,190000,189850,"AED 189,700 - 190,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct4-v/2023/,2026-06-16T11:16:04Z
cadillac-ct4-v,2023,3.6TC V6 CT4 V Blackwing,290000,295000,292500,"AED 290,000 - 295,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct4-v/2023/,2026-06-16T11:16:04Z
cadillac-ct5,2022,2.0TC I4 Luxury,145000,146000,145500,"AED 145,000 - 146,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5/2022/,2026-06-16T11:16:09Z
cadillac-ct5,2022,2.0TC I4 Premium Luxury,168500,169000,168750,"AED 168,500 - 169,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5/2022/,2026-06-16T11:16:09Z
cadillac-ct5,2022,2.0TC I4 Sport,178500,179000,178750,"AED 178,500 - 179,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5/2022/,2026-06-16T11:16:09Z
cadillac-ct5,2023,2.0TC I4 Luxury,145000,146000,145500,"AED 145,000 - 146,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5/2023/,2026-06-16T11:16:11Z
cadillac-ct5,2023,2.0TC I4 Premium Luxury,168500,169000,168750,"AED 168,500 - 169,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5/2023/,2026-06-16T11:16:11Z
cadillac-ct5,2023,2.0TC I4 Sport,178500,179000,178750,"AED 178,500 - 179,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5/2023/,2026-06-16T11:16:11Z
cadillac-ct5,2024,2.0TC I4 Luxury,145000,146000,145500,"AED 145,000 - 146,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5/2024/,2026-06-16T11:16:13Z
cadillac-ct5,2024,2.0TC I4 Premium Luxury,168500,169000,168750,"AED 168,500 - 169,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5/2024/,2026-06-16T11:16:13Z
cadillac-ct5,2024,2.0TC I4 Sport,178500,179000,178750,"AED 178,500 - 179,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5/2024/,2026-06-16T11:16:13Z
cadillac-ct5,2025,3.0T Premium Luxury,241000,250000,245500,"AED 241,000 - 250,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5/2025/,2026-06-16T11:16:15Z
cadillac-ct5,2025,3.0T Sport,260000,270000,265000,"AED 260,000 - 270,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5/2025/,2026-06-16T11:16:15Z
cadillac-ct5,2026,3.0T Premium Luxury,241000,250000,245500,"AED 241,000 - 250,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5/2026/,2026-06-16T11:16:17Z
cadillac-ct5,2026,3.0T Sport,260000,270000,265000,"AED 260,000 - 270,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5/2026/,2026-06-16T11:16:17Z
cadillac-ct5-v,2022,3.0TC V6 CT5-V,226400,230000,228200,"AED 226,400 - 230,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5-v/2022/,2026-06-16T11:16:19Z
cadillac-ct5-v,2022,6.2SC V8 CT5-V Blackwing,360000,365000,362500,"AED 360,000 - 365,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5-v/2022/,2026-06-16T11:16:19Z
cadillac-ct5-v,2023,3.0TC V6 CT5-V,226400,230000,228200,"AED 226,400 - 230,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5-v/2023/,2026-06-16T11:16:21Z
cadillac-ct5-v,2023,6.2SC V8 CT5-V Blackwing,360000,365000,362500,"AED 360,000 - 365,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5-v/2023/,2026-06-16T11:16:21Z
cadillac-ct5-v,2024,3.0TC V6 CT5-V,226400,230000,228200,"AED 226,400 - 230,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5-v/2024/,2026-06-16T11:16:23Z
cadillac-ct5-v,2024,6.2SC V8 CT5-V Blackwing,360000,365000,362500,"AED 360,000 - 365,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5-v/2024/,2026-06-16T11:16:23Z
cadillac-ct5-v,2025,3.0TC V6 CT5-V,350000,355000,352500,"AED 350,000 - 355,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5-v/2025/,2026-06-16T11:16:25Z
cadillac-ct5-v,2025,6.2SC V8 CT5-V Blackwing,578000,580000,579000,"AED 578,000 - 580,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-ct5-v/2025/,2026-06-16T11:16:25Z
cadillac-escalade,2022,6.2 V8 Luxury,339000,340000,339500,"AED 339,000 - 340,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-escalade/2022/,2026-06-16T11:17:02Z
cadillac-escalade,2022,6.2 V8 Sport,389000,390000,389500,"AED 389,000 - 390,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-escalade/2022/,2026-06-16T11:17:02Z
cadillac-escalade,2022,6.2 V8 Premium Luxury,389000,390000,389500,"AED 389,000 - 390,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-escalade/2022/,2026-06-16T11:17:02Z
cadillac-escalade,2022,6.2 V8 Sport Platinum,449000,450000,449500,"AED 449,000 - 450,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-escalade/2022/,2026-06-16T11:17:02Z
cadillac-escalade,2022,6.2 V8 Premium Luxury Platinum,449000,450000,449500,"AED 449,000 - 450,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-escalade/2022/,2026-06-16T11:17:02Z
cadillac-escalade,2023,6.2 V8 Luxury,339000,340000,339500,"AED 339,000 - 340,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-escalade/2023/,2026-06-16T11:17:04Z
cadillac-escalade,2023,6.2 V8 Sport,389000,390000,389500,"AED 389,000 - 390,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-escalade/2023/,2026-06-16T11:17:04Z
cadillac-escalade,2023,6.2 V8 Premium Luxury,389000,390000,389500,"AED 389,000 - 390,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-escalade/2023/,2026-06-16T11:17:04Z
cadillac-escalade,2023,6.2 V8 Sport Platinum,449000,450000,449500,"AED 449,000 - 450,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-escalade/2023/,2026-06-16T11:17:04Z
cadillac-escalade,2023,6.2 V8 Premium Luxury Platinum,449000,450000,449500,"AED 449,000 - 450,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-escalade/2023/,2026-06-16T11:17:04Z
cadillac-escalade,2024,6.2 V8 Sport 4WD,486000,499000,492500,"AED 486,000 - 499,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-escalade/2024/,2026-06-16T11:17:06Z
cadillac-escalade,2024,6.2 V8 Sport Platinum,543000,546000,544500,"AED 543,000 - 546,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-escalade/2024/,2026-06-16T11:17:06Z
cadillac-escalade,2025,6.2 V8 Sport 4WD,486000,499000,492500,"AED 486,000 - 499,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-escalade/2025/,2026-06-16T11:17:08Z
cadillac-escalade,2025,6.2 V8 Sport Platinum,543000,546000,544500,"AED 543,000 - 546,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-escalade/2025/,2026-06-16T11:17:08Z
cadillac-escalade,2026,6.2 V8 Sport 4WD,486000,499000,492500,"AED 486,000 - 499,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-escalade/2026/,2026-06-16T11:17:10Z
cadillac-escalade,2026,6.2 V8 Sport Platinum,543000,546000,544500,"AED 543,000 - 546,000",AED,https://www.drivearabia.com/carprices/uae/cadillac/cadillac-escalade/2026/,2026-06-16T11:17:10Z
