model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
chevrolet-avalanche,2008,5.3 V8 LT,165000,167500,166250,"AED 165,000 - 167,500",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-avalanche/2008/,2026-06-15T07:41:33Z
chevrolet-avalanche,2008,5.3 V8 LTZ,177500,179000,178250,"AED 177,500 - 179,000",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-avalanche/2008/,2026-06-15T07:41:33Z
chevrolet-avalanche,2009,5.3 V8 LT,165000,167500,166250,"AED 165,000 - 167,500",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-avalanche/2009/,2026-06-15T07:41:35Z
chevrolet-avalanche,2009,5.3 V8 LTZ,177500,179000,178250,"AED 177,500 - 179,000",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-avalanche/2009/,2026-06-15T07:41:35Z
chevrolet-avalanche,2010,5.3 V8 LT,165000,167500,166250,"AED 165,000 - 167,500",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-avalanche/2010/,2026-06-15T07:41:36Z
chevrolet-avalanche,2010,5.3 V8 LTZ,177500,179000,178250,"AED 177,500 - 179,000",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-avalanche/2010/,2026-06-15T07:41:36Z
chevrolet-avalanche,2011,5.3 V8 LT,165000,167500,166250,"AED 165,000 - 167,500",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-avalanche/2011/,2026-06-15T07:41:38Z
chevrolet-avalanche,2011,5.3 V8 LTZ,177500,179000,178250,"AED 177,500 - 179,000",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-avalanche/2011/,2026-06-15T07:41:38Z
chevrolet-avalanche,2012,5.3 V8 LT,165000,167500,166250,"AED 165,000 - 167,500",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-avalanche/2012/,2026-06-15T07:41:40Z
chevrolet-avalanche,2012,5.3 V8 LTZ,177500,179000,178250,"AED 177,500 - 179,000",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-avalanche/2012/,2026-06-15T07:41:40Z
chevrolet-avalanche,2013,5.3 V8 LT,165000,167500,166250,"AED 165,000 - 167,500",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-avalanche/2013/,2026-06-15T07:41:42Z
chevrolet-avalanche,2013,5.3 V8 LTZ,177500,179000,178250,"AED 177,500 - 179,000",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-avalanche/2013/,2026-06-15T07:41:42Z
chevrolet-aveo,2006,1.4 I4 Aveo LS,41000,42500,41750,"AED 41,000 - 42,500",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-aveo/2006/,2026-06-15T07:42:11Z
chevrolet-aveo,2006,1.4 I4 Aveo LT,45500,47000,46250,"AED 45,500 - 47,000",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-aveo/2006/,2026-06-15T07:42:11Z
chevrolet-aveo,2007,1.4 I4 Aveo LS,41000,42500,41750,"AED 41,000 - 42,500",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-aveo/2007/,2026-06-15T07:42:13Z
chevrolet-aveo,2007,1.4 I4 Aveo LT,45500,47000,46250,"AED 45,500 - 47,000",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-aveo/2007/,2026-06-15T07:42:13Z
chevrolet-aveo,2008,1.4 I4 Aveo LS,41000,42500,41750,"AED 41,000 - 42,500",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-aveo/2008/,2026-06-15T07:42:15Z
chevrolet-aveo,2008,1.4 I4 Aveo LT,45500,47000,46250,"AED 45,500 - 47,000",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-aveo/2008/,2026-06-15T07:42:15Z
chevrolet-aveo,2009,1.4 I4 Aveo LS,41000,42500,41750,"AED 41,000 - 42,500",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-aveo/2009/,2026-06-15T07:42:17Z
chevrolet-aveo,2009,1.4 I4 Aveo LT,45500,47000,46250,"AED 45,500 - 47,000",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-aveo/2009/,2026-06-15T07:42:17Z
chevrolet-aveo,2010,1.4 I4 Aveo LS,41000,44000,42500,"AED 41,000 - 44,000",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-aveo/2010/,2026-06-15T07:42:19Z
chevrolet-aveo,2010,1.4 I4 Aveo LT,48000,49500,48750,"AED 48,000 - 49,500",AED,https://www.drivearabia.com/carprices/uae/chevrolet/chevrolet-aveo/2010/,2026-06-15T07:42:19Z
