model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
lexus-es,2022,ES 350 Premier,195000,196000,195500,"AED 195,000 - 196,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2022/,2026-06-16T10:21:48Z
lexus-es,2022,ES 250 Platinum,195000,196000,195500,"AED 195,000 - 196,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2022/,2026-06-16T10:21:48Z
lexus-es,2022,ES 300H Premier,205000,206000,205500,"AED 205,000 - 206,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2022/,2026-06-16T10:21:48Z
lexus-es,2022,ES 350 F-Sport,230000,231000,230500,"AED 230,000 - 231,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2022/,2026-06-16T10:21:48Z
lexus-es,2022,ES 350 Platinum,245000,246000,245500,"AED 245,000 - 246,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2022/,2026-06-16T10:21:48Z
lexus-es,2022,ES 300H Platinum,250000,251000,250500,"AED 250,000 - 251,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2022/,2026-06-16T10:21:48Z
lexus-es,2023,ES 350 Premier,210000,211000,210500,"AED 210,000 - 211,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2023/,2026-06-16T10:21:50Z
lexus-es,2023,ES 300H Premier,220000,221000,220500,"AED 220,000 - 221,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2023/,2026-06-16T10:21:50Z
lexus-es,2023,ES 350 Prestige,235000,236000,235500,"AED 235,000 - 236,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2023/,2026-06-16T10:21:50Z
lexus-es,2023,ES 350 Platinum,245000,246000,245500,"AED 245,000 - 246,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2023/,2026-06-16T10:21:50Z
lexus-es,2024,3.5 V6 ES 350 Premier FWD,215000,216000,215500,"AED 215,000 - 216,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2024/,2026-06-16T10:21:51Z
lexus-es,2024,3.5 V6 ES 350 Prestige FWD,240000,242000,241000,"AED 240,000 - 242,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2024/,2026-06-16T10:21:51Z
lexus-es,2024,3.5 V6 ES 350 F-Sport FWD,255000,256000,255500,"AED 255,000 - 256,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2024/,2026-06-16T10:21:51Z
lexus-es,2024,3.5 V6 ES 350 Platinum FWD,265000,266000,265500,"AED 265,000 - 266,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2024/,2026-06-16T10:21:51Z
lexus-es,2025,3.5 V6 ES 350 Premier FWD,215000,216000,215500,"AED 215,000 - 216,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2025/,2026-06-16T10:21:53Z
lexus-es,2025,3.5 V6 ES 350 Prestige FWD,240000,242000,241000,"AED 240,000 - 242,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2025/,2026-06-16T10:21:53Z
lexus-es,2025,3.5 V6 ES 350 F-Sport FWD,255000,256000,255500,"AED 255,000 - 256,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2025/,2026-06-16T10:21:53Z
lexus-es,2025,3.5 V6 ES 350 Platinum FWD,265000,266000,265500,"AED 265,000 - 266,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2025/,2026-06-16T10:21:53Z
lexus-es,2026,3.5 V6 ES 350 Premier FWD,215000,216000,215500,"AED 215,000 - 216,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2026/,2026-06-16T10:21:55Z
lexus-es,2026,3.5 V6 ES 350 Prestige FWD,240000,242000,241000,"AED 240,000 - 242,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2026/,2026-06-16T10:21:55Z
lexus-es,2026,3.5 V6 ES 350 F-Sport FWD,255000,256000,255500,"AED 255,000 - 256,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2026/,2026-06-16T10:21:55Z
lexus-es,2026,3.5 V6 ES 350 Platinum FWD,265000,266000,265500,"AED 265,000 - 266,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-es/2026/,2026-06-16T10:21:55Z
lexus-gx,2022,Premier,255000,256000,255500,"AED 255,000 - 256,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-gx/2022/,2026-06-16T10:22:02Z
lexus-gx,2022,Platinum,295000,296000,295500,"AED 295,000 - 296,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-gx/2022/,2026-06-16T10:22:02Z
lexus-gx,2023,Premier,260000,266000,263000,"AED 260,000 - 266,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-gx/2023/,2026-06-16T10:22:04Z
lexus-gx,2023,Platinum,300000,301000,300500,"AED 300,000 - 301,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-gx/2023/,2026-06-16T10:22:04Z
lexus-is,2022,2.0 Premier,175000,177000,176000,"AED 175,000 - 177,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-is/2022/,2026-06-16T10:22:10Z
lexus-is,2022,3.5 F Sport Prestige,215000,218000,216500,"AED 215,000 - 218,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-is/2022/,2026-06-16T10:22:10Z
lexus-is,2022,3.5 F Sport Platinum,245000,247000,246000,"AED 245,000 - 247,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-is/2022/,2026-06-16T10:22:10Z
lexus-is,2023,2.0 Premier,175000,177000,176000,"AED 175,000 - 177,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-is/2023/,2026-06-16T10:22:12Z
lexus-is,2023,3.5 F Sport Prestige,215000,218000,216500,"AED 215,000 - 218,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-is/2023/,2026-06-16T10:22:12Z
lexus-is,2023,3.5 F Sport Platinum,245000,247000,246000,"AED 245,000 - 247,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-is/2023/,2026-06-16T10:22:12Z
lexus-lc,2022,Platinum 500h,395000,400000,397500,"AED 395,000 - 400,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-lc/2022/,2026-06-16T10:22:32Z
lexus-lc,2022,Platinum 500,395000,400000,397500,"AED 395,000 - 400,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-lc/2022/,2026-06-16T10:22:32Z
lexus-lc,2022,Carbon,450000,455000,452500,"AED 450,000 - 455,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-lc/2022/,2026-06-16T10:22:32Z
lexus-lc,2023,Platinum 500h,395000,400000,397500,"AED 395,000 - 400,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-lc/2023/,2026-06-16T10:22:42Z
lexus-lc,2023,Platinum 500,430000,440000,435000,"AED 430,000 - 440,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-lc/2023/,2026-06-16T10:22:42Z
lexus-lc,2024,Platinum 500h,395000,400000,397500,"AED 395,000 - 400,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-lc/2024/,2026-06-16T10:22:47Z
lexus-lc,2024,5.0 V8 Platinum RWD,440000,455000,447500,"AED 455,000 - 440,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-lc/2024/,2026-06-16T10:22:47Z
lexus-lc,2024,5.0 V8 Carbon RWD,485000,490000,487500,"AED 485,000 - 490,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-lc/2024/,2026-06-16T10:22:47Z
lexus-lc,2025,Platinum 500h,395000,400000,397500,"AED 395,000 - 400,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-lc/2025/,2026-06-16T10:22:49Z
lexus-lc,2025,5.0 V8 Platinum RWD,440000,455000,447500,"AED 455,000 - 440,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-lc/2025/,2026-06-16T10:22:49Z
lexus-lc,2025,5.0 V8 Carbon RWD,485000,490000,487500,"AED 485,000 - 490,000",AED,https://www.drivearabia.com/carprices/uae/lexus/lexus-lc/2025/,2026-06-16T10:22:49Z
