model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
lincoln-aviator,2022,Aviator Base,243495,245000,244248,"AED 243,495 - 245,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2022/,2026-06-16T10:47:36Z
lincoln-aviator,2022,Aviator Reserve,280245,282000,281122,"AED 280,245 - 282,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2022/,2026-06-16T10:47:36Z
lincoln-aviator,2022,Aviator Reserve 2,295995,296000,295998,"AED 295,995 - 296,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2022/,2026-06-16T10:47:36Z
lincoln-aviator,2022,Aviator Presidential,325395,326000,325698,"AED 325,395 - 326,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2022/,2026-06-16T10:47:36Z
lincoln-aviator,2023,Aviator Base,243495,245000,244248,"AED 243,495 - 245,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2023/,2026-06-16T10:47:38Z
lincoln-aviator,2023,Aviator Reserve,280245,282000,281122,"AED 280,245 - 282,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2023/,2026-06-16T10:47:38Z
lincoln-aviator,2023,Aviator Reserve 2,295995,296000,295998,"AED 295,995 - 296,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2023/,2026-06-16T10:47:38Z
lincoln-aviator,2023,Aviator Presidential,325395,326000,325698,"AED 325,395 - 326,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2023/,2026-06-16T10:47:38Z
lincoln-aviator,2024,Aviator Base,243495,245000,244248,"AED 243,495 - 245,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2024/,2026-06-16T10:47:40Z
lincoln-aviator,2024,Aviator Reserve,280245,282000,281122,"AED 280,245 - 282,000",AED,https://www.drivearabia.com/carprices/uae/lincoln/lincoln-aviator/2024/,2026-06-16T10:47:40Z
