model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
mitsubishi-asx,2022,GLX 2WD,69900,70000,69950,"AED 69,900 - 70,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2022/,2026-06-16T10:15:30Z
mitsubishi-asx,2022,GLX mid-option 4WD,79900,80000,79950,"AED 79,900 - 80,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2022/,2026-06-16T10:15:30Z
mitsubishi-asx,2022,GLX full option 4WD,89900,90000,89950,"AED 89,900 - 90,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2022/,2026-06-16T10:15:30Z
mitsubishi-asx,2023,GLX 2WD,69900,70000,69950,"AED 69,900 - 70,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2023/,2026-06-16T10:15:32Z
mitsubishi-asx,2023,GLX mid-option 4WD,79900,80000,79950,"AED 79,900 - 80,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2023/,2026-06-16T10:15:32Z
mitsubishi-asx,2023,GLX full option 4WD,89900,90000,89950,"AED 89,900 - 90,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2023/,2026-06-16T10:15:32Z
mitsubishi-asx,2024,2.0 I4 GLX Base 2WD,70000,71000,70500,"AED 70,000 - 71,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2024/,2026-06-16T10:15:34Z
mitsubishi-asx,2024,2.0 I4 GLX Mid-option 4WD,84000,85000,84500,"AED 84,000 - 85,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2024/,2026-06-16T10:15:34Z
mitsubishi-asx,2024,2.0 I4 GLX Full-option 4WD,88000,89000,88500,"AED 88,000 - 89,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2024/,2026-06-16T10:15:34Z
mitsubishi-asx,2025,2.0 I4 GLX 2WD,70000,71000,70500,"AED 70,000 - 71,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2025/,2026-06-16T10:15:36Z
mitsubishi-asx,2025,2.0 I4 GLX 4WD,84000,89000,86500,"AED 84,000 - 89,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2025/,2026-06-16T10:15:36Z
mitsubishi-asx,2026,2.0 I4 GLX 2WD,70000,71000,70500,"AED 70,000 - 71,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2026/,2026-06-16T10:15:38Z
mitsubishi-asx,2026,2.0 I4 GLX 4WD,84000,89000,86500,"AED 84,000 - 89,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-asx/2026/,2026-06-16T10:15:38Z
mitsubishi-attrage,2022,1.2 I3 GLS FWD,42000,45000,43500,"AED 42,000 - 45,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-attrage/2022/,2026-06-16T10:15:40Z
mitsubishi-attrage,2022,1.2 I3 GLX FWD,49245,50000,49622,"AED 49,245 - 50,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-attrage/2022/,2026-06-16T10:15:40Z
mitsubishi-attrage,2022,Signature Edition FWD,63945,64000,63972,"AED 63,945 - 64,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-attrage/2022/,2026-06-16T10:15:40Z
mitsubishi-attrage,2023,1.2 I3 GLS,42000,45000,43500,"AED 42,000 - 45,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-attrage/2023/,2026-06-16T10:15:42Z
mitsubishi-attrage,2023,1.2 I3 GLX,49245,50000,49622,"AED 49,245 - 50,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-attrage/2023/,2026-06-16T10:15:42Z
mitsubishi-attrage,2023,1.2 I3 Signature Edition,63945,64000,63972,"AED 63,945 - 64,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-attrage/2023/,2026-06-16T10:15:42Z
mitsubishi-attrage,2024,1.2 I3 GLS,50295,53000,51648,"AED 50,295 - 53,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-attrage/2024/,2026-06-16T10:15:44Z
mitsubishi-attrage,2024,1.2 I3 Signature Edition,63945,64000,63972,"AED 63,945 - 64,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-attrage/2024/,2026-06-16T10:15:44Z
mitsubishi-attrage,2025,1.2 I3 GLS,50295,53000,51648,"AED 50,295 - 53,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-attrage/2025/,2026-06-16T10:15:46Z
mitsubishi-attrage,2025,1.2 I3 Signature Edition,63945,64000,63972,"AED 63,945 - 64,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-attrage/2025/,2026-06-16T10:15:46Z
mitsubishi-attrage,2026,1.2 I3 GLS,50295,53000,51648,"AED 50,295 - 53,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-attrage/2026/,2026-06-16T10:15:47Z
mitsubishi-attrage,2026,1.2 I3 Signature Edition,63945,64000,63972,"AED 63,945 - 64,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-attrage/2026/,2026-06-16T10:15:47Z
mitsubishi-destinator,2026,Midline,69900,70000,69950,"AED 69,900 - 70,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-destinator/2026/,2026-06-16T10:15:54Z
mitsubishi-destinator,2026,Highline,79900,80000,79950,"AED 79,900 - 80,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-destinator/2026/,2026-06-16T10:15:54Z
mitsubishi-destinator,2026,Premier,89900,90000,89950,"AED 89,900 - 90,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-destinator/2026/,2026-06-16T10:15:54Z
mitsubishi-eclipse-cross,2022,GLX High Line,73400,74000,73700,"AED 73,400 - 74,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-eclipse-cross/2022/,2026-06-16T10:16:02Z
mitsubishi-eclipse-cross,2022,GLS Medium Line,78900,79000,78950,"AED 78,900 - 79,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-eclipse-cross/2022/,2026-06-16T10:16:02Z
mitsubishi-eclipse-cross,2022,GLS High Line,88900,89000,88950,"AED 88,900 - 89,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-eclipse-cross/2022/,2026-06-16T10:16:02Z
mitsubishi-eclipse-cross,2023,GLX High Line,73400,74000,73700,"AED 73,400 - 74,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-eclipse-cross/2023/,2026-06-16T10:16:04Z
mitsubishi-eclipse-cross,2023,GLS Medium Line,78900,79000,78950,"AED 78,900 - 79,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-eclipse-cross/2023/,2026-06-16T10:16:04Z
mitsubishi-eclipse-cross,2023,GLS High Line,88900,89000,88950,"AED 88,900 - 89,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-eclipse-cross/2023/,2026-06-16T10:16:04Z
mitsubishi-eclipse-cross,2024,1.5TC I4 GLX FWD,87045,90000,88522,"AED 87,045 - 90,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-eclipse-cross/2024/,2026-06-16T10:16:06Z
mitsubishi-eclipse-cross,2024,1.5TC I4 GLS FWD,98000,99000,98500,"AED 98,000 - 99,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-eclipse-cross/2024/,2026-06-16T10:16:06Z
mitsubishi-eclipse-cross,2025,1.5TC I4 GLX FWD,93000,94000,93500,"AED 93,000 - 94,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-eclipse-cross/2025/,2026-06-16T10:16:08Z
mitsubishi-eclipse-cross,2025,1.5TC I4 GLS Medium FWD,105000,107000,106000,"AED 105,000 - 107,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-eclipse-cross/2025/,2026-06-16T10:16:08Z
mitsubishi-eclipse-cross,2025,1.5TC I4 GLS High FWD,118000,119000,118500,"AED 118,000 - 119,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-eclipse-cross/2025/,2026-06-16T10:16:08Z
mitsubishi-eclipse-cross,2026,1.5TC I4 GLX FWD,93000,94000,93500,"AED 93,000 - 94,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-eclipse-cross/2026/,2026-06-16T10:16:09Z
mitsubishi-eclipse-cross,2026,1.5TC I4 GLS Medium FWD,105000,107000,106000,"AED 105,000 - 107,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-eclipse-cross/2026/,2026-06-16T10:16:09Z
mitsubishi-eclipse-cross,2026,1.5TC I4 GLS High FWD,118000,119000,118500,"AED 118,000 - 119,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-eclipse-cross/2026/,2026-06-16T10:16:09Z
mitsubishi-l200,2023,2.4L I4 Single Cab GL 2WD,79900,81000,80450,"AED 79,900 - 81,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-l200/2023/,2026-06-16T10:16:25Z
mitsubishi-l200,2024,2.4TC I4 Single Cab GL 2WD,76500,81000,78750,"AED 76,500 - 81,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-l200/2024/,2026-06-16T10:16:27Z
mitsubishi-l200,2024,2.4TC I4 Double Cab 2WD,86500,90000,88250,"AED 86,500 - 90,000",AED,https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-l200/2024/,2026-06-16T10:16:27Z
