model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at
suzuki-baleno,2022,1.4L GL,45000,46000,45500,"AED 45,000 - 46,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-baleno/2022/,2026-06-16T09:49:37Z
suzuki-baleno,2022,1.4L GLX,49900,50000,49950,"AED 49,900 - 50,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-baleno/2022/,2026-06-16T09:49:37Z
suzuki-baleno,2023,1.4L GL,45000,46000,45500,"AED 45,000 - 46,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-baleno/2023/,2026-06-16T09:49:39Z
suzuki-baleno,2023,1.4L GLX,49900,50000,49950,"AED 49,900 - 50,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-baleno/2023/,2026-06-16T09:49:39Z
suzuki-baleno,2024,1.5L I4 GL FWD,51900,56000,53950,"AED 51,900 - 56,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-baleno/2024/,2026-06-16T09:49:41Z
suzuki-baleno,2024,1.5L I4 GLX FWD,59900,60000,59950,"AED 59,900 - 60,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-baleno/2024/,2026-06-16T09:49:41Z
suzuki-baleno,2025,1.5L I4 GL FWD,54900,56000,55450,"AED 54,900 - 56,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-baleno/2025/,2026-06-16T09:49:43Z
suzuki-baleno,2025,1.5L I4 GLX FWD,59900,60000,59950,"AED 59,900 - 60,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-baleno/2025/,2026-06-16T09:49:43Z
suzuki-baleno,2026,1.5L I4 GL FWD,54900,56000,55450,"AED 54,900 - 56,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-baleno/2026/,2026-06-16T09:49:45Z
suzuki-baleno,2026,1.5L I4 GLX FWD,59900,60000,59950,"AED 59,900 - 60,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-baleno/2026/,2026-06-16T09:49:45Z
suzuki-ciaz,2022,1.5L GL,44900,46000,45450,"AED 44,900 - 46,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ciaz/2022/,2026-06-16T09:49:59Z
suzuki-ciaz,2022,1.5L GLX,51900,52000,51950,"AED 51,900 - 52,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ciaz/2022/,2026-06-16T09:49:59Z
suzuki-ciaz,2023,1.5L GL,44900,46000,45450,"AED 44,900 - 46,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ciaz/2023/,2026-06-16T09:50:01Z
suzuki-ciaz,2023,1.5L GLX,51900,52000,51950,"AED 51,900 - 52,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ciaz/2023/,2026-06-16T09:50:01Z
suzuki-ciaz,2024,1.5L I4 GL FWD,51900,54000,52950,"AED 51,900 - 54,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ciaz/2024/,2026-06-16T09:50:03Z
suzuki-ciaz,2024,1.5L I4 GLX FWD,60900,62000,61450,"AED 60,900 - 62,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ciaz/2024/,2026-06-16T09:50:03Z
suzuki-ciaz,2025,1.5L I4 GL FWD,51900,54000,52950,"AED 51,900 - 54,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ciaz/2025/,2026-06-16T09:50:05Z
suzuki-ciaz,2025,1.5L I4 GLX FWD,60900,62000,61450,"AED 60,900 - 62,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ciaz/2025/,2026-06-16T09:50:05Z
suzuki-dzire,2025,1.2L I4 GL FWD,49900,50000,49950,"AED 49,900 - 50,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-dzire/2025/,2026-06-16T09:50:12Z
suzuki-dzire,2025,1.2L I4 GLX FWD,54900,55000,54950,"AED 54,900 - 55,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-dzire/2025/,2026-06-16T09:50:12Z
suzuki-dzire,2026,1.2L I4 GL FWD,49900,50000,49950,"AED 49,900 - 50,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-dzire/2026/,2026-06-16T09:50:14Z
suzuki-dzire,2026,1.2L I4 GLX FWD,54900,55000,54950,"AED 54,900 - 55,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-dzire/2026/,2026-06-16T09:50:14Z
suzuki-ertiga,2024,1.5L I4 GL FWD,59900,61000,60450,"AED 59,900 - 61,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ertiga/2024/,2026-06-16T09:50:20Z
suzuki-ertiga,2024,1.5L I4 GLX FWD,64900,69000,66950,"AED 64,900 - 69,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ertiga/2024/,2026-06-16T09:50:20Z
suzuki-ertiga,2025,1.5L I4 GL FWD,59900,61000,60450,"AED 59,900 - 61,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ertiga/2025/,2026-06-16T09:50:22Z
suzuki-ertiga,2025,1.5L I4 GLX FWD,64900,69000,66950,"AED 64,900 - 69,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ertiga/2025/,2026-06-16T09:50:22Z
suzuki-ertiga,2026,1.5L I4 GL FWD,59900,61000,60450,"AED 59,900 - 61,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ertiga/2026/,2026-06-16T09:50:24Z
suzuki-ertiga,2026,1.5L I4 GLX FWD,64900,69000,66950,"AED 64,900 - 69,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-ertiga/2026/,2026-06-16T09:50:24Z
suzuki-fronx,2024,1.5 GL 2WD,61900,67000,64450,"AED 61,900 - 67,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-fronx/2024/,2026-06-16T09:50:28Z
suzuki-fronx,2024,1.5 GLX 2WD,69900,72000,70950,"AED 69,900 - 72,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-fronx/2024/,2026-06-16T09:50:28Z
suzuki-fronx,2025,1.5 I4 GL 2WD,64900,66900,65900,"AED 64,900 - 66,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-fronx/2025/,2026-06-16T09:50:30Z
suzuki-fronx,2025,1.5 I4 GLX 2WD,69900,71900,70900,"AED 69,900 - 71,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-fronx/2025/,2026-06-16T09:50:30Z
suzuki-fronx,2026,1.5 I4 GL 2WD,64900,66900,65900,"AED 64,900 - 66,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-fronx/2026/,2026-06-16T09:50:32Z
suzuki-fronx,2026,1.5 I4 GLX 2WD,69900,71900,70900,"AED 69,900 - 71,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-fronx/2026/,2026-06-16T09:50:32Z
suzuki-grand-vitara,2022,3-door,77000,80000,78500,"AED 77,000 - 80,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-grand-vitara/2022/,2026-06-16T09:50:34Z
suzuki-grand-vitara,2022,5-door,90850,91000,90925,"AED 90,850 - 91,000",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-grand-vitara/2022/,2026-06-16T09:50:34Z
suzuki-grand-vitara,2024,1.5+E I4 GL 2WD,79900,89900,84900,"AED 79,900 - 89,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-grand-vitara/2024/,2026-06-16T09:50:37Z
suzuki-grand-vitara,2024,1.5+E I4 GLX 2WD,84900,85900,85400,"AED 84,900 - 85,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-grand-vitara/2024/,2026-06-16T09:50:37Z
suzuki-grand-vitara,2024,1.5+E I4 GLX 4WD,97900,98900,98400,"AED 97,900 - 98,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-grand-vitara/2024/,2026-06-16T09:50:37Z
suzuki-grand-vitara,2025,1.5+E I4 GL 2WD,79900,89900,84900,"AED 79,900 - 89,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-grand-vitara/2025/,2026-06-16T09:50:39Z
suzuki-grand-vitara,2025,1.5+E I4 GLX 2WD,84900,85900,85400,"AED 84,900 - 85,900",AED,https://www.drivearabia.com/carprices/uae/suzuki/suzuki-grand-vitara/2025/,2026-06-16T09:50:39Z
