model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at,car_age,depreciated_value
toyota-86,2014,GT/GTX MT,94900,104900,99900,"AED 94,900 - 104,900",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2014/,2026-06-12T08:13:36Z,12,21546
toyota-86,2014,VT/VTX AT,114900,124900,119900,"AED 114,900 - 124,900",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2014/,2026-06-12T08:13:36Z,12,25859
toyota-86,2014,TRD,149000,150000,149500,"AED 149,000 - 150,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2014/,2026-06-12T08:13:36Z,12,32243
toyota-86,2015,GT/GTX MT,94900,104900,99900,"AED 94,900 - 104,900",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2015/,2026-06-12T08:13:38Z,11,24484
toyota-86,2015,VT/VTX AT,114900,124900,119900,"AED 114,900 - 124,900",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2015/,2026-06-12T08:13:38Z,11,29385
toyota-86,2015,TRD,149000,150000,149500,"AED 149,000 - 150,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2015/,2026-06-12T08:13:38Z,11,36640
toyota-86,2016,GTX MT,104900,105000,104950,"AED 104,900 - 105,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2016/,2026-06-12T08:13:39Z,10,29229
toyota-86,2016,VT/VTX AT,114900,124900,119900,"AED 114,900 - 124,900",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2016/,2026-06-12T08:13:39Z,10,33392
toyota-86,2017,GTX MT,104900,105000,104950,"AED 104,900 - 105,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2017/,2026-06-12T08:13:41Z,9,33214
toyota-86,2017,VT/VTX AT,114900,124900,119900,"AED 114,900 - 124,900",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2017/,2026-06-12T08:13:41Z,9,37946
toyota-86,2018,GTX MT,104900,105000,104950,"AED 104,900 - 105,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2018/,2026-06-12T08:13:43Z,8,37744
toyota-86,2018,VT/VTX AT,114900,124900,119900,"AED 114,900 - 124,900",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2018/,2026-06-12T08:13:43Z,8,43120
toyota-86,2019,VTX AT,116500,117000,116750,"AED 116,500 - 117,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2019/,2026-06-12T08:13:45Z,7,47713
toyota-aurion,2015,Sport,114000,115000,114500,"AED 114,000 - 115,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2015/,2026-06-12T08:14:22Z,11,28062
toyota-aurion,2015,Limited,117000,118000,117500,"AED 117,000 - 118,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2015/,2026-06-12T08:14:22Z,11,28797
toyota-aurion,2015,TRD,125725,126000,125862,"AED 125,725 - 126,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2015/,2026-06-12T08:14:22Z,11,30846
toyota-aurion,2016,Sport,114000,115000,114500,"AED 114,000 - 115,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2016/,2026-06-12T08:14:24Z,10,31888
toyota-aurion,2016,Limited,117000,118000,117500,"AED 117,000 - 118,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2016/,2026-06-12T08:14:24Z,10,32724
toyota-aurion,2016,TRD,125725,126000,125862,"AED 125,725 - 126,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2016/,2026-06-12T08:14:24Z,10,35053
toyota-avalon,2013,S/SE,128000,134000,131000,"AED 128,000 - 134,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2013/,2026-06-12T08:15:02Z,13,24863
toyota-avalon,2013,SE Plus/Limited,149000,154000,151500,"AED 149,000 - 154,000",AED,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2013/,2026-06-12T08:15:02Z,13,28753
