model_slug,year,trim_name,price_min_aed,price_max_aed,price_avg_aed,price_raw,currency,url,scraped_at,make,model_name,model,annual_dep_rate,car_age,depreciated_value
gmc-acadia,2022,3.6L SLE FWD,136900,137000,136950,"AED 136,900 - 137,000",AED,https://www.drivearabia.com/carprices/uae/gmc/gmc-acadia/2022/,2026-06-16T09:31:04Z,GMC,ACADIA,ACADIA,0.13424706159396183,4,76937.0
gmc-acadia,2022,3.6L AT4 4WD,151900,152000,151950,"AED 151,900 - 152,000",AED,https://www.drivearabia.com/carprices/uae/gmc/gmc-acadia/2022/,2026-06-16T09:31:04Z,GMC,ACADIA,ACADIA,0.13424706159396183,4,85364.0
gmc-acadia,2022,3.6L SLT 4WD,160000,161000,160500,"AED 160,000 - 161,000",AED,https://www.drivearabia.com/carprices/uae/gmc/gmc-acadia/2022/,2026-06-16T09:31:04Z,GMC,ACADIA,ACADIA,0.13424706159396183,4,90168.0
gmc-acadia,2022,3.6L Denali 4WD,194100,195000,194550,"AED 194,100 - 195,000",AED,https://www.drivearabia.com/carprices/uae/gmc/gmc-acadia/2022/,2026-06-16T09:31:04Z,GMC,ACADIA,ACADIA,0.13424706159396183,4,109297.0
gmc-acadia,2023,3.6L SLE FWD,136900,137000,136950,"AED 136,900 - 137,000",AED,https://www.drivearabia.com/carprices/uae/gmc/gmc-acadia/2023/,2026-06-16T09:31:06Z,GMC,ACADIA,ACADIA,0.13424706159396183,3,88868.0
gmc-acadia,2023,3.6L AT4 4WD,151900,152000,151950,"AED 151,900 - 152,000",AED,https://www.drivearabia.com/carprices/uae/gmc/gmc-acadia/2023/,2026-06-16T09:31:06Z,GMC,ACADIA,ACADIA,0.13424706159396183,3,98601.0
gmc-acadia,2023,3.6L SLT 4WD,160000,161000,160500,"AED 160,000 - 161,000",AED,https://www.drivearabia.com/carprices/uae/gmc/gmc-acadia/2023/,2026-06-16T09:31:06Z,GMC,ACADIA,ACADIA,0.13424706159396183,3,104149.0
gmc-acadia,2023,3.6L Denali 4WD,194100,195000,194550,"AED 194,100 - 195,000",AED,https://www.drivearabia.com/carprices/uae/gmc/gmc-acadia/2023/,2026-06-16T09:31:06Z,GMC,ACADIA,ACADIA,0.13424706159396183,3,126245.0
gmc-acadia,2024,3.6L SLE FWD,136900,137000,136950,"AED 136,900 - 137,000",AED,https://www.drivearabia.com/carprices/uae/gmc/gmc-acadia/2024/,2026-06-16T09:31:08Z,GMC,ACADIA,ACADIA,0.13424706159396183,2,102648.0
gmc-acadia,2024,3.6L AT4 4WD,151900,152000,151950,"AED 151,900 - 152,000",AED,https://www.drivearabia.com/carprices/uae/gmc/gmc-acadia/2024/,2026-06-16T09:31:08Z,GMC,ACADIA,ACADIA,0.13424706159396183,2,113891.0
gmc-acadia,2024,3.6L SLT 4WD,160000,161000,160500,"AED 160,000 - 161,000",AED,https://www.drivearabia.com/carprices/uae/gmc/gmc-acadia/2024/,2026-06-16T09:31:08Z,GMC,ACADIA,ACADIA,0.13424706159396183,2,120299.0
gmc-acadia,2024,3.6L Denali 4WD,194100,195000,194550,"AED 194,100 - 195,000",AED,https://www.drivearabia.com/carprices/uae/gmc/gmc-acadia/2024/,2026-06-16T09:31:08Z,GMC,ACADIA,ACADIA,0.13424706159396183,2,145821.0
gmc-acadia,2025,3.6L V6 AT4 4WD,199000,200000,199500,"AED 199,000 - 200,000",AED,https://www.drivearabia.com/carprices/uae/gmc/gmc-acadia/2025/,2026-06-16T09:31:10Z,GMC,ACADIA,ACADIA,0.13424706159396183,1,172718.0
gmc-acadia,2025,3.6L V6 Denali 4WD,231000,232000,231500,"AED 231,000 - 232,000",AED,https://www.drivearabia.com/carprices/uae/gmc/gmc-acadia/2025/,2026-06-16T09:31:10Z,GMC,ACADIA,ACADIA,0.13424706159396183,1,200422.0
gmc-acadia,2026,3.6L V6 AT4 4WD,199000,200000,199500,"AED 199,000 - 200,000",AED,https://www.drivearabia.com/carprices/uae/gmc/gmc-acadia/2026/,2026-06-16T09:31:12Z,GMC,ACADIA,ACADIA,0.13424706159396183,0,199500.0
gmc-acadia,2026,3.6L V6 Denali 4WD,231000,232000,231500,"AED 231,000 - 232,000",AED,https://www.drivearabia.com/carprices/uae/gmc/gmc-acadia/2026/,2026-06-16T09:31:12Z,GMC,ACADIA,ACADIA,0.13424706159396183,0,231500.0
gmc-canyon,2024,2.7TC I4 AT4X 4WD,232000,235000,233500,"AED 232,000 - 235,000",AED,https://www.drivearabia.com/carprices/uae/gmc/gmc-canyon/2024/,2026-06-16T09:31:16Z,GMC,CANYON,CANYON,0.722091218802908,2,18034.0
gmc-canyon,2025,2.7TC I4 AT4X 4WD,232000,235000,233500,"AED 232,000 - 235,000",AED,https://www.drivearabia.com/carprices/uae/gmc/gmc-canyon/2025/,2026-06-16T09:31:18Z,GMC,CANYON,CANYON,0.722091218802908,1,64892.0
