iter	MultiClass
0	2.2323353
1	1.89763356
2	1.671764604
3	1.502777847
4	1.371069166
5	1.261310125
6	1.167131628
7	1.085538409
8	1.013605009
9	0.9512454899
10	0.8952041527
11	0.8444223073
12	0.7973822328
13	0.7561549968
14	0.718639231
15	0.6834727752
16	0.6516503683
17	0.6225655724
18	0.5959249574
19	0.5711599832
20	0.5476024174
21	0.525770853
22	0.505240107
23	0.4868522602
24	0.4692308333
25	0.452968119
26	0.4372425188
27	0.4199263337
28	0.4038162156
29	0.3887416337
30	0.3746064739
31	0.3612720785
32	0.3482761639
33	0.336513457
34	0.3251743752
35	0.313739479
36	0.3040859118
37	0.2946486162
38	0.2857065907
39	0.277217332
40	0.2690308871
41	0.2611403153
42	0.2534051452
43	0.2464900944
44	0.2404372943
45	0.2341179067
46	0.2283782444
47	0.2229819087
48	0.217451939
49	0.2125092598
50	0.2078141212
51	0.2034490902
52	0.1989844392
53	0.1946948424
54	0.1910308857
55	0.1869401541
56	0.1833146497
57	0.179955486
58	0.1767264194
59	0.1739587671
60	0.1709955291
61	0.1682085029
62	0.1654571355
63	0.1629404071
64	0.1604593781
65	0.157970837
66	0.1556671036
67	0.1533876501
68	0.1510480396
69	0.1493206518
70	0.1476150371
71	0.1454428692
72	0.143274395
73	0.1414882139
74	0.1398089963
75	0.1385005649
76	0.1369661539
77	0.135568208
78	0.1340810449
79	0.1327749856
80	0.1313898051
81	0.129863845
82	0.1284198007
83	0.1274531721
84	0.1262689441
85	0.1248679793
86	0.1238597291
87	0.1227424937
88	0.1217307816
89	0.1203571287
90	0.1192093348
91	0.1182193921
92	0.1171518128
93	0.1163338351
94	0.1152923901
95	0.1145039867
96	0.1136806849
97	0.1124983178
98	0.1117501094
99	0.1110565034
100	0.1100639278
101	0.1091400449
