iter	Passed	Remaining
0	5085	3046137
1	7434	2222978
2	12061	2400197
3	16415	2445946
4	19304	2297184
5	25447	2519255
6	29023	2458700
7	34718	2569173
8	39986	2625755
9	45444	2681223
10	49784	2665726
11	54543	2672615
12	59652	2693525
13	63867	2673295
14	68535	2672881
15	73638	2687795
16	79230	2717153
17	83525	2700666
18	89696	2742823
19	95293	2763510
20	100471	2770136
21	106080	2787011
22	112090	2811997
23	117554	2821304
24	123641	2843753
25	130142	2873145
26	136345	2893563
27	141537	2891407
18551613
