=== CARS MISSING DEPRECIATION VALUES ===
Make                 | Model                          | Chassis/VIN         
---------------------------------------------------------------------------
NISSAN               | PATROL                         | JN8BY2NY3P9415755   
NISSAN               | PATROL                         | Z8NTANY62DS001475   
NISSAN               | PATROL                         | JN8AY2NY0R9500597   
NISSAN               | PATROL                         | JN100KY60Z0861302   
NISSAN               | PATROL                         | JN8AY2NY1G9212861   
NISSAN               | PATROL                         | JN8AY2NY7D9069894   
NISSAN               | PATROL                         | JN8BY2NY7M9346550   
NISSAN               | PATROL                         | JNBAY2NC2JX501268   
NISSAN               | PATROL                         | JN8BY14Y59X538516   
NISSAN               | PATROL                         | JN8FY1JY9PX020198   
NISSAN               | PATROL                         | JN8AY2NY1P9477652   
NISSAN               | PATROL                         | JN8BY2NY7R9458238   
NISSAN               | PATROL                         | JN8BY2NY6N9377466   
NISSAN               | PATROL                         | JN8BY2NY1N9372644   
NISSAN               | PATROL                         | JN8AY2NY6M9423792   
NISSAN               | PATROL                         | JN8BY2NY6L9312758   
NISSAN               | PATROL                         | JN8BY2NY0H9016836   
NISSAN               | PATROL                         | JN8AY2NY2F9130670   
NISSAN               | PATROL                         | JN8FY1JY2LX015404   
NISSAN               | PATROL                         | JN8FY15Y9AX581034   
NISSAN               | PATROL                         | JN8FY1JY7DX000060   
NISSAN               | PATROL                         | JN8BY2NY7L9312641   
NISSAN               | PATROL                         | WGY60365733          (Error: No module named 'shap')
NISSAN               | PATROL                         | JN1TASY61Z0401930   
NISSAN               | PATROL                         | WGY60354094          (Error: No module named 'shap')
NISSAN               | PATROL                         | JN10WGY60Z0860128   
NISSAN               | PATROL                         | JN8FY1NY3KX034634   
NISSAN               | PATROL                         | JN8AY2NY2L9405417   
NISSAN               | PATROL                         | JN8AY3NY3T9112051   
NISSAN               | PATROL                         | JN8AY3NY6T9104235   
NISSAN               | PATROL                         | WGY60320590          (Error: No module named 'shap')
NISSAN               | PATROL                         | JN8AY2NY4G9221148   
NISSAN               | PATROL                         | JN8BY3NY6S9012271   
NISSAN               | PATROL                         | JN8AY25Y4A9004853   
NISSAN               | PATROL                         | JN8BY14Y82X446595   
NISSAN               | PATROL                         | JN8AY3NY8S9005897   
NISSAN               | PATROL                         | JN8BY3NY319061879   
NISSAN               | PATROL                         | WGY60360529          (Error: No module named 'shap')
NISSAN               | PATROL                         | JN10KYY60U0853823   
NISSAN               | PATROL                         | UGY60001350          (Error: No module named 'shap')
NISSAN               | PATROL                         | JN8FY1NY1KX030811   
NISSAN               | PATROL                         | JN8FY1NY9MX036097   
NISSAN               | PATROL                         | JN8FY1NYXGX019197   
NISSAN               | PATROL                         | JN8AY25Y4B9014140   
NISSAN               | PATROL                         | JN8AY2NY1M9426390   
NISSAN               | PATROL                         | JN8BY14Y06X526690   
NISSAN               | PATROL                         | JN8BY3NY6T9052142   
NISSAN               | PATROL                         | JN100KY60Z0851086   
NISSAN               | PATROL                         | JN8BY2NYXK9186354   
NISSAN               | PATROL                         | JN8AY2NY5L9405945   
NISSAN               | PATROL                         | JN8AY2NYXN9448051   
NISSAN               | PATROL                         | JN8BY2NY9K9199533   
NISSAN               | PATROL                         | JN8AY2NY9F9111727   
NISSAN               | PATROL                         | JN8AY3NY7T9111761   
NISSAN               | PATROL                         | JN8AY2NY9G9214776   
NISSAN               | PATROL                         | JN8FY1NYONX100397   
NISSAN               | PATROL                         | JN8FY15Y3CX590900   
NISSAN               | PATROL                         | JN10WGY60Z0861972   
NISSAN               | PATROL                         | JN8AY2NY9P9474871   
NISSAN               | PATROL                         | JN8AY2NY1P9474072   
NISSAN               | PATROL                         | WGY60355149          (Error: No module named 'shap')
NISSAN               | PATROL                         | JN8FY15Y96X550633   
NISSAN               | PATROL                         | JN8FY15Y5CX590056   
NISSAN               | PATROL                         | JN8FY15Y47X559886   
NISSAN               | PATROL                         | JN8AY2NY3F9126255   
NISSAN               | PATROL                         | JN8FY15Y89X574622   
NISSAN               | PATROL                         | JN10WGY60Z0853343   
NISSAN               | PATROL                         | JN8FY15Y98X562459   
NISSAN               | PATROL                         | JN1TANY62U0001280   
NISSAN               | PATROL                         | JN8BY2NY4M9350751   
NISSAN               | PATROL                         | JN8AY2NYXE9070748   
NISSAN               | PATROL                         | JN8AY2NY8H9300730   
NISSAN               | PATROL                         | JNBAY2NY3E9086676   
NISSAN               | PATROL                         | JN8FY1NY8EX001276   
NISSAN               | PATROL                         | JN8BY14Y21X435185   
NISSAN               | PATROL                         | JN8FY1NYXLX034793   
NISSAN               | PATROL                         | JN8AY2NY9R9498090   
NISSAN               | PATROL                         | JN8BY2NY7H9019247   
NISSAN               | PATROL                         | JN8AY3NYOT9108913   
NISSAN               | PATROL                         | JMYSRCS1A6U801476   
NISSAN               | PATROL                         | JN8BY2NY7J9103722   
NISSAN               | PATROL                         | JN8FY15Y28X562643   
NISSAN               | PATROL                         | JN8BY14Y86X526713   
NISSAN               | PATROL                         | JN8BY14Y44X510859   
NISSAN               | PATROL                         | WGY60812008          (Error: No module named 'shap')
NISSAN               | PATROL                         | JN8AY3NY9T9102267   
NISSAN               | PATROL                         | JN8BY3NY0T9051522   
NISSAN               | PATROL                         | JN8AY25Y3C9026622   
NISSAN               | PATROL                         | JN8FY15Y05X542015   
NISSAN               | PATROL                         | JN8AY3NY0T9105123   
NISSAN               | PATROL                         | INBBY2NY3H9001411   
NISSAN               | PATROL                         | JN8AY3NY0T9103288   
NISSAN               | PATROL                         | JN100KY60Z0861100   
NISSAN               | PATROL                         | JN10WGY60Z0865926   
NISSAN               | PATROL                         | JN100KY60Z0850101   
NISSAN               | PATROL                         | JN8BY2NY1L9318886   
NISSAN               | PATROL                         | JN8AY2NY6J9352878   
